weight logl C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
1.000000000000000000e+00 -9.999999999999999673e+98 2.687655669793028892e+02 7.266248822605165802e-01 1.212343938924349231e+03 1.217578056718027483e+03 1.219729618071349933e+03 7.848768146994089534e-02 1.102072300637348548e+02 6.691839651155358126e+01 6.593259555097864544e-01 1.218388242320052541e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.128782573647835221e+02 1.048539234634097150e+00 1.213463393575244254e+03 1.217315386000372882e+03 1.217344586906087443e+03 2.779455811580484124e+02 2.735933991127721399e+01 7.872156713020905272e+01 3.402129844709542272e+00 1.214533428075626261e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.653523119523350147e+02 8.679879424277688882e-01 1.214234637953147967e+03 1.219434451437947018e+03 1.219895882203387828e+03 4.405866814114620666e+01 4.475594888370086721e+01 4.254024258685231530e+01 4.950205959965200964e-01 1.217839782762247296e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.611184820797675457e+02 2.233550149593896972e+00 1.210555204048145697e+03 1.216105498448041089e+03 1.217451141493579371e+03 1.594905117912090873e+02 6.042935080873954234e+01 1.797498676483559450e+02 1.530606822868294081e+00 1.214495819039260141e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.317676571911986230e+02 1.836634401488450030e-01 1.210291165286127125e+03 1.216517221394717808e+03 1.218033823023832610e+03 7.804326161968062081e+01 2.754392147354561757e+02 2.009234980455918844e+02 4.207451101572442731e+00 1.216190419683257460e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.841533533976927970e+02 1.895426230387006417e+00 1.212928184685652468e+03 1.215679489448291633e+03 1.217575293738156233e+03 3.028228093882772782e+02 3.455990482510955530e+01 1.320614173804434017e+02 2.549202189004025065e+00 1.214438031313259216e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.895513500069391739e+02 3.707800551824668167e-01 1.210349925139615380e+03 1.213137474926681307e+03 1.217459301601057632e+03 2.470201758839581601e+02 2.350167640030952612e+02 2.348403984541986844e+01 2.666934209194326666e+00 1.211976124335117447e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.605424047972745711e+02 1.623163978461949597e+00 1.216194751907826230e+03 1.218933750371172437e+03 1.219070424981799533e+03 2.148702181905539987e+02 2.510615035643394037e+02 2.669477729928093481e+02 2.812899095323653231e+00 1.218180496639191233e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.215310754802733584e+02 2.260670709234311460e+00 1.211680030487522799e+03 1.212339821045894951e+03 1.218882441895185366e+03 2.527072049373366838e+02 9.040648306628851216e+00 2.845635484295297601e+02 2.466071184320786536e+00 1.215442552513443161e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.869747461693084460e+02 1.729086321341842147e+00 1.210622316826909127e+03 1.212494332738908270e+03 1.214845002492353160e+03 1.748242439947735534e+02 2.950173965259723445e+02 5.204038356129112231e+01 1.818564285005547898e+00 1.212101630937525670e+03
