C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
1.976568791164422692e+02 6.049212751544533750e-01 1.215655341363761636e+03 1.212270705843104679e+03 1.212745383617080734e+03 5.321424771471189530e+01 2.384202085413254792e+02 1.319889176658016439e+01 1.542234954762369714e+00 1.212882108941853403e+03
1.923740997986574826e+02 7.212351789881940034e-01 1.215287885775149107e+03 1.215729936997563755e+03 1.212726830490279099e+03 2.966722620283482001e+02 8.434393925965860461e+00 2.516145235511407066e+02 2.893950797368928907e+00 1.214137093790345261e+03
1.923939018114488135e+02 6.388979494744265741e-01 1.210632608845784262e+03 1.215679739972049447e+03 1.212138577746477040e+03 1.887052240712704361e+02 5.151137941221777083e+01 2.446789980405183087e+02 2.520327291866127695e+00 1.211928689169290465e+03
2.085246363298697361e+02 7.494216697520900139e-01 1.215639109737375975e+03 1.210466477293067783e+03 1.217821485648494672e+03 3.920025780684953247e+02 2.847077376303546998e+02 4.696136883538958529e+01 3.470437341463324721e+00 1.213745708143813772e+03
1.977394009119001907e+02 5.400025757031980955e-01 1.215914106098345201e+03 1.215330669800013084e+03 1.214763119159717007e+03 3.442201887289949127e+02 1.205295060403221328e+02 1.057285931668622680e+02 2.885000588174874370e+00 1.215577522703886643e+03
1.999437878979637162e+02 7.009165792722810151e-01 1.218346766038594069e+03 1.215673717985944677e+03 1.216800166305724133e+03 1.607353761265920014e+02 6.416006161955071896e+00 2.491628740954579939e+02 2.082156493886474280e+00 1.217379935042244824e+03
2.008104453501114222e+02 7.492395983759877476e-01 1.215574867666945011e+03 1.216766196882125087e+03 1.214352253978766839e+03 2.089907729406120040e+02 2.696810560643869508e+02 2.127697629630502263e+01 2.489655378382569229e+00 1.216165458934043500e+03
2.131429955944408334e+02 8.297866247364287240e-01 1.210409796820690644e+03 1.215696350616053905e+03 1.212402921514161562e+03 1.164061135698069052e+02 5.911598417059889243e+01 3.164893171001429550e+02 2.308363047391557288e+00 1.212327074499952460e+03
2.044645178907704235e+02 7.097411532477607699e-01 1.215610502089796000e+03 1.215684231295320842e+03 1.219727867857378214e+03 2.760896526738443981e+02 6.291974167943646989e+01 2.140064263119040220e+02 2.704703125852958578e+00 1.217212231594097602e+03
1.951634361346203548e+02 7.398470094959522791e-01 1.210790708124646471e+03 1.215689590826988933e+03 1.216886167279566735e+03 8.697380890436281220e+01 3.297420559917600258e+01 2.647950657734994593e+02 1.971389148998428098e+00 1.215405695019281438e+03
2.104537948180261537e+02 7.733817784661621841e-01 1.215671139355189780e+03 1.212648709311774383e+03 1.216407321169025636e+03 3.623248247223061185e+02 2.999409848698961127e+02 8.237717230528691914e+01 3.538273009243488421e+00 1.214535150581562220e+03
1.961173647650229839e+02 6.205986733695467716e-01 1.215246241304127807e+03 1.215761636284075621e+03 1.213915638988589080e+03 2.597321304447229977e+02 5.964455047433568069e+01 1.872498243101302933e+02 2.583282239368252409e+00 1.214815125786757335e+03
1.909197424545148465e+02 6.243660403963765537e-01 1.217466622977650786e+03 1.215800900094723829e+03 1.218974897720059971e+03 2.351318691746364209e+01 1.745980889596573249e+01 2.046293903982044355e+02 1.286416915579836839e+00 1.218604861665779026e+03
2.090509415743474904e+02 6.249512382938245958e-01 1.215829298230530185e+03 1.214212210012885180e+03 1.212681765754886555e+03 8.500820196866146716e+01 2.572424974641139102e+02 4.259312307020590538e+01 1.840909299928287224e+00 1.214400024801501331e+03
2.018599626381709413e+02 5.705292568403562692e-01 1.216509940018654788e+03 1.215707588284751637e+03 1.213162434707903003e+03 8.599789486244426939e+01 5.652279582960753501e+00 2.348061326046280044e+02 1.617241491494764594e+00 1.214088329912975951e+03
1.937193120084373561e+02 6.894607682247487768e-01 1.212576365187510874e+03 1.215725500395166364e+03 1.211539366311144704e+03 3.061156394547881376e+01 1.116142528447726612e+01 2.300710834551337882e+02 1.403288447943950246e+00 1.211828014797940114e+03
2.016630640766643410e+02 6.558767386268605781e-01 1.214984966307841432e+03 1.215764092265660111e+03 1.216632631181406168e+03 3.155328817622238375e+02 5.722447043953368251e+01 1.861165048453466966e+02 2.771324831376371201e+00 1.215613449271102809e+03
1.935434153086990818e+02 7.019287673538811001e-01 1.215701635429404178e+03 1.210021581553161923e+03 1.213250409176826906e+03 1.810129774891238128e+02 2.149225828010430348e+02 4.052983882160388873e+01 2.255129157536124307e+00 1.212677066569765202e+03
2.001018230330064398e+02 6.633568982857603880e-01 1.215745045259037852e+03 1.212081533333826883e+03 1.213369882432861687e+03 1.590326759494876363e+01 2.398329766545310804e+02 2.434864821293634307e+01 1.399711847783698948e+00 1.212401548343147169e+03
1.981175976503941456e+02 6.548320644627441123e-01 1.215850221314074133e+03 1.213413808448324744e+03 1.212905391788201086e+03 3.847291841443826002e+02 2.419584288682584088e+02 2.656177901500305083e+01 3.297281007719429446e+00 1.214828053443237422e+03
2.068237247613905652e+02 7.435913645910496861e-01 1.215756665049242883e+03 1.212252926796569682e+03 1.214017379289710561e+03 3.620086932230574348e+02 2.733547611680833711e+02 4.982800839942835580e+01 3.312924876394447438e+00 1.214232377699782774e+03
2.069444767646410241e+02 7.454741866912277803e-01 1.215793441031162502e+03 1.212290400900763416e+03 1.219427458334512039e+03 3.686988193571281158e+02 2.878555016793109758e+02 5.760150345297633123e+01 3.450953780716884634e+00 1.214674575250766338e+03
1.957885071729966455e+02 5.861204409862177389e-01 1.215601954981282006e+03 1.210604135016091504e+03 1.211765395479873405e+03 3.241285348409025460e+02 2.318078427424879919e+02 3.206276712712025301e+01 3.003236263459330591e+00 1.213422454228708375e+03
1.954789021024093074e+02 6.445950337861926505e-01 1.215716894515070180e+03 1.211790718153008356e+03 1.214139596753930391e+03 3.812466954512142365e+02 2.488513932177488641e+02 1.363792710303424416e+00 3.230332657835628840e+00 1.214166229948006503e+03
1.983830037696289139e+02 8.073615013223561787e-01 1.215549592099827805e+03 1.210017584061727121e+03 1.214772786559252609e+03 1.363445742593125658e+02 2.363874397014067767e+02 3.801464779247098846e+01 2.070473044304578902e+00 1.212293991190365205e+03
1.984484858928232711e+02 6.587164234052577116e-01 1.211059086042902209e+03 1.215620852451215342e+03 1.212262271476415663e+03 1.703627745335980705e+02 9.378953778087961268e+00 2.437879350010965140e+02 2.134204558968112231e+00 1.211852670808419361e+03
2.002213482672306384e+02 5.902332739984303966e-01 1.216449236272385178e+03 1.215535894521833825e+03 1.212797141257966814e+03 2.620310662511600981e+02 7.402437514762755200e+01 1.947041235118655607e+02 2.650864003783758083e+00 1.214982117142320476e+03
2.059257512257016742e+02 6.024693730524660618e-01 1.214772656036786429e+03 1.215752098436380493e+03 1.212365093788195054e+03 3.805886447629561644e+02 3.091172860209842099e+01 2.217252015475527855e+02 3.075018889786981902e+00 1.213977456052580237e+03
1.989586895872767514e+02 7.441551244177456725e-01 1.216196628868459129e+03 1.215700527780933044e+03 1.212256471803969362e+03 3.842549926640963349e+02 2.273429015629061922e+01 2.625717909782012498e+02 3.365327119853558813e+00 1.214634631547892241e+03
1.960211118158465524e+02 7.419796306116690499e-01 1.215784152841033801e+03 1.210331234867974899e+03 1.213224489566733155e+03 3.990920556251934386e+02 2.562862851992143760e+02 4.741707559269394068e+01 3.585304714919421265e+00 1.213622955140678869e+03
2.086573576958700187e+02 7.697374791129413252e-01 1.215362022798758971e+03 1.215852507298351838e+03 1.211394432668193303e+03 2.195850167184177337e+02 1.258006146838838220e+02 1.887792138767074732e+02 2.560009630993145713e+00 1.214075350153852014e+03
2.072238000220243066e+02 7.503747854804437845e-01 1.210387502294991464e+03 1.215615791396397071e+03 1.212220281033210767e+03 2.695924092905261773e+02 3.662262613483668616e+01 3.045751147473882270e+02 2.947490346706481912e+00 1.211614916442671074e+03
2.056514905983702306e+02 7.690724324698066106e-01 1.215659616504890209e+03 1.211890563539338018e+03 1.219117386063039248e+03 3.965925103775780372e+02 2.922567848916299909e+02 3.916222338885390286e+01 3.540025489432710337e+00 1.214332553219248666e+03
