weight logl C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
0.000000000000000000e+00 -8.246666428107066167e+03 1.062595367755834843e+02 1.254814022490829073e+00 1.218693716408635282e+03 1.210113698303949832e+03 1.217389523705975989e+03 1.702088392213046859e+02 3.969693999645791109e+02 3.207687182560559336e+02 8.356397782132754415e+00 1.214386759975887571e+03
0.000000000000000000e+00 -7.601094141862114157e+03 1.040581656493990721e+02 3.535355135813459393e-01 1.211357679399078052e+03 1.219766655432498055e+03 1.216827510313101129e+03 8.943963051367158812e+01 1.737184570114742996e+02 3.206293190698056037e+02 5.610202745278961345e+00 1.216864105996582111e+03
0.000000000000000000e+00 -7.498936488416077736e+03 1.049073918296376036e+02 9.800869488596664070e-01 1.215256260586526423e+03 1.218947162351758152e+03 1.212630445794596426e+03 2.179106894692635024e+02 1.768830433650205407e+02 3.596642719690007652e+02 7.191657247836956479e+00 1.214869819158888049e+03
0.000000000000000000e+00 -7.442511613166554525e+03 1.469465110880934162e+02 5.371472703109259061e-01 1.218391206855945711e+03 1.217111500310721794e+03 1.214351437593432365e+03 2.203952922901696070e+02 1.862059935128907284e+02 2.317404264765911250e+02 4.344041294706003420e+00 1.216551335110410037e+03
0.000000000000000000e+00 -6.949512726016400848e+03 1.003163514015307953e+02 6.954106417753611602e-01 1.212772392571530418e+03 1.213733548618092300e+03 1.216771296072931818e+03 2.878648988085940914e+02 3.034450830090007116e+02 3.627570130041037544e+01 6.256065679721564798e+00 1.213468267440934596e+03
0.000000000000000000e+00 -6.815703971023377562e+03 1.103095812543986085e+02 1.125415962063057718e+00 1.212393169900321027e+03 1.218852159279387706e+03 1.215924944750157010e+03 3.523208381647973511e+02 3.955865416024641945e+02 2.225159178682850438e+02 8.797271158137505154e+00 1.215835961722475076e+03
0.000000000000000000e+00 -6.624716422387795319e+03 1.865182159051480255e+02 8.983917322959754648e-01 1.213595746837467686e+03 1.214536768586279777e+03 1.216289338780290336e+03 7.466270738919780570e+01 3.920925173732749727e+02 2.355434415007970017e+02 3.765308727917581422e+00 1.215024520023019932e+03
0.000000000000000000e+00 -6.548661705777441057e+03 1.382711604625170025e+02 6.165505201656679146e-01 1.219192232905849323e+03 1.216193506438154145e+03 1.210525121328914793e+03 2.195067290452400641e+02 3.904166972813691245e+02 1.409904198632437726e+02 5.430733666210989519e+00 1.216005805333708850e+03
0.000000000000000000e+00 -6.196744242559965642e+03 1.102456712770080145e+02 5.678966585517295496e-01 1.219696795978280079e+03 1.217325957037741546e+03 1.216814570567801411e+03 1.354692714060573451e+02 8.816672315922073722e+01 3.396396306142263484e+02 5.109276569818273828e+00 1.217587798142790689e+03
0.000000000000000000e+00 -6.168014241099500396e+03 1.540138816624289575e+02 2.433071365462722846e-01 1.211835340571890129e+03 1.214038960455073038e+03 1.210873857125371387e+03 9.899291672186384972e+01 3.122904750683478028e+02 1.687722851133021322e+02 3.766255811764375405e+00 1.212741973784461834e+03
0.000000000000000000e+00 -6.160540273907255141e+03 1.412710346741078808e+02 9.341354315027533550e-01 1.213830176482545767e+03 1.212568802091725274e+03 1.211646904940031845e+03 3.166045666582465969e+02 1.396272555044102432e+02 3.387676493308072736e+02 5.627476809576815064e+00 1.212678296455579357e+03
0.000000000000000000e+00 -6.040780851622121190e+03 1.335206745575029856e+02 3.788835528796872243e-01 1.212055428428300502e+03 1.216555275239234788e+03 1.219460154621065840e+03 3.906035754786802272e+02 1.819399787702078868e+02 3.143470632593713390e+02 6.642346741038255509e+00 1.215603054149075206e+03
0.000000000000000000e+00 -6.010087088931087237e+03 1.177939710444792638e+02 6.451674971559017147e-01 1.216688053987829790e+03 1.216761570997920671e+03 1.216726439369223044e+03 3.654069746864636841e+02 3.723696062874469135e+02 2.070899068713527242e+02 8.021348456692061646e+00 1.216725439931363098e+03
0.000000000000000000e+00 -5.948370090703961978e+03 2.406115956126914455e+02 4.481949844825212637e-01 1.213173802386511397e+03 1.212417773816250929e+03 1.212774869609632105e+03 2.814211201836185410e+02 3.683370086329136370e+02 3.535998640172415435e+02 4.170031748797605076e+00 1.212755670592412343e+03
0.000000000000000000e+00 -5.734622860215227774e+03 1.106815822886775038e+02 1.885963640786714746e-01 1.210392986358254120e+03 1.213716315959712347e+03 1.212916715321575793e+03 2.993265462535275105e+02 2.769053393515073367e+02 3.961155277139747568e+02 8.785087755458288683e+00 1.212367523354890409e+03
0.000000000000000000e+00 -5.571188912554920535e+03 2.695162222560302325e+02 3.209437563180821407e-01 1.212188259309116575e+03 1.211408259999586335e+03 1.212630178148353480e+03 2.343744205529412028e+01 3.315073765466971167e+02 2.627917680706848387e+02 2.292020055423045211e+00 1.211957670908207547e+03
