weight logl B
0.000000000000000000e+00 -3.076150238360513868e+03 1.159838397908348284e+01
0.000000000000000000e+00 -2.951017457841546275e+03 1.217228422763445650e+01
0.000000000000000000e+00 -2.942622446774221316e+03 1.221202994898314920e+01
0.000000000000000000e+00 -2.871873823376936343e+03 1.255348419786750469e+01
0.000000000000000000e+00 -2.866977476235128961e+03 1.257755356525649404e+01
0.000000000000000000e+00 -2.854777175900516340e+03 1.263777925349400810e+01
0.000000000000000000e+00 -2.849551697426008104e+03 1.266368479891771770e+01
0.000000000000000000e+00 -2.844134801114801121e+03 1.269060959351497786e+01
0.000000000000000000e+00 -2.800940022061284253e+03 1.290790229901451802e+01
0.000000000000000000e+00 -2.755023637790187422e+03 1.314404984762703776e+01
0.000000000000000000e+00 -2.744149379020713241e+03 1.320077388462743784e+01
0.000000000000000000e+00 -2.702120938590000151e+03 1.342294989297787566e+01
0.000000000000000000e+00 -2.686842109100787638e+03 1.350489583591327758e+01
0.000000000000000000e+00 -2.649436535728696072e+03 1.370822616877328493e+01
0.000000000000000000e+00 -2.630977156623562223e+03 1.381001146079390196e+01
0.000000000000000000e+00 -2.621113137239103708e+03 1.386479917232326109e+01
0.000000000000000000e+00 -2.593594710240718086e+03 1.401912824255316892e+01
0.000000000000000000e+00 -2.540254834843704884e+03 1.432463227686386986e+01
0.000000000000000000e+00 -2.497056602597078381e+03 1.457839894631732847e+01
0.000000000000000000e+00 -2.471704633148700850e+03 1.473005799912503377e+01
0.000000000000000000e+00 -2.457624669986018489e+03 1.481517727278211005e+01
0.000000000000000000e+00 -2.456864871338595549e+03 1.481978885878256769e+01
0.000000000000000000e+00 -2.451375423234738264e+03 1.485316290847619136e+01
0.000000000000000000e+00 -2.429700378946463388e+03 1.498590716781653676e+01
0.000000000000000000e+00 -2.417123557726790750e+03 1.506364631615459970e+01
0.000000000000000000e+00 -2.410753630284036262e+03 1.510322226639964072e+01
0.000000000000000000e+00 -2.313709881592963029e+03 1.572352706344056728e+01
0.000000000000000000e+00 -2.301288375986313440e+03 1.580535590065446172e+01
0.000000000000000000e+00 -2.300544906541178534e+03 1.581027166904076608e+01
0.000000000000000000e+00 -2.283676074268477350e+03 1.592235924598386276e+01
0.000000000000000000e+00 -2.270237874215094052e+03 1.601241484966416806e+01
0.000000000000000000e+00 -2.251006001513698720e+03 1.614249089820215488e+01
0.000000000000000000e+00 -2.223041582946601011e+03 1.633418286923605933e+01
0.000000000000000000e+00 -2.221481120954774269e+03 1.634496997638768079e+01
0.000000000000000000e+00 -2.182660659848324940e+03 1.661646324237312555e+01
0.000000000000000000e+00 -2.163095753209106988e+03 1.675561779733569878e+01
0.000000000000000000e+00 -2.161771644949070833e+03 1.676509278527931102e+01
0.000000000000000000e+00 -2.123586506217232454e+03 1.704151862597156253e+01
0.000000000000000000e+00 -2.105408259090247157e+03 1.717531201203941293e+01
0.000000000000000000e+00 -2.097097010342702561e+03 1.723696542617276606e+01
0.000000000000000000e+00 -2.083770457193184484e+03 1.733646169324482145e+01
0.000000000000000000e+00 -2.073208228942201458e+03 1.741588416896290425e+01
0.000000000000000000e+00 -2.071029188297525252e+03 1.743233206418071290e+01
0.000000000000000000e+00 -2.063590117834610282e+03 1.748864630900994754e+01
0.000000000000000000e+00 -2.002445164684986594e+03 1.796125367596487266e+01
0.000000000000000000e+00 -1.998880733526131735e+03 1.798935210508821925e+01
0.000000000000000000e+00 -1.994083439655516486e+03 1.802726661788345197e+01
0.000000000000000000e+00 -1.977680603920824069e+03 1.815775469175644474e+01
0.000000000000000000e+00 -1.917059181590762819e+03 1.865175422713468834e+01
0.000000000000000000e+00 -1.894105061974674754e+03 1.884379326265688093e+01
0.000000000000000000e+00 -1.883575335388512030e+03 1.893283324165253489e+01
0.000000000000000000e+00 -1.846532850280038474e+03 1.925091098501633269e+01
0.000000000000000000e+00 -1.831034693992327448e+03 1.938627918288681329e+01
0.000000000000000000e+00 -1.814517534136122777e+03 1.953207013317188512e+01
