weight logl C sigma mu1 a1 W lam0
1.000000000000000000e+00 -9.999999999999999673e+98 1.464899750880588556e+02 2.774584460591548840e+00 1.219921678352034405e+03 3.709232182094103223e+02 2.532072368682150021e+00 1.219921678352034405e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.268049864084583760e+02 2.411739818245505429e+00 1.210411740014656743e+03 5.105872952994583613e+01 2.251217239024585759e-01 1.210411740014656743e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.663175686940330138e+02 1.568176749543805648e-01 1.217997543746640531e+03 1.336648712637478695e+02 8.036725904143364740e-01 1.217997543746640531e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.617540383155883887e+02 7.837754506142540212e-01 1.216490662860640441e+03 1.704435066064087607e+02 6.511590335080543746e-01 1.216490662860640441e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.950313271391154899e+02 9.349563838250002368e-01 1.219560210388920495e+03 3.813998598808569227e+02 1.955582549098920486e+00 1.219560210388920495e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.646738676669704091e+02 1.250263234629611864e+00 1.216596215110863113e+03 2.093496630181097373e+01 1.271298633985386284e-01 1.216596215110863113e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.621675664163192323e+02 2.659593185077196775e+00 1.210521556642928317e+03 3.614363518353421227e+02 1.378646324470911733e+00 1.210521556642928317e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.718110982286623027e+02 6.644512865846493588e-01 1.213822169858583038e+03 1.752887130050371240e+02 1.020240920477363478e+00 1.213822169858583038e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.216689246494047438e+02 2.195696207880450501e+00 1.218214074416979201e+03 3.727243088004969707e+01 3.063430616112710614e-01 1.218214074416979201e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.769105188934122452e+02 1.653197370524778664e+00 1.210809108482216516e+03 3.728588881210281443e+02 1.346495935261123655e+00 1.210809108482216516e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.519847037857338705e+02 1.792154035369189824e+00 1.218717879126022126e+03 3.442843472317061071e+01 2.265256559746129938e-01 1.218717879126022126e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.690507921911261633e+02 2.920435241301217122e+00 1.213910041326932514e+03 9.762326609280505352e+01 5.774789033962864915e-01 1.213910041326932514e+03
