weight logl C sigma mu1 mu2 a1 a2 W lam0
1.000000000000000000e+00 -9.999999999999999673e+98 2.535647375760930231e+02 1.150161795648334984e+00 1.212794598043868973e+03 1.219144891608183343e+03 3.878700128736423380e+02 2.931579797172628332e+02 2.685815066799394302e+00 1.215528170308415156e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.293842878311392042e+02 2.702868955269113194e-01 1.212705160333713366e+03 1.216440253671345772e+03 5.582862969899804284e+01 3.135693247636575620e+02 2.855044925893635455e+00 1.215875753677995135e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.520697852796424741e+02 2.080356976136671143e+00 1.211191078534491908e+03 1.211625670336995427e+03 3.117502817309320449e+02 9.222440446495552635e+01 2.656508559231637978e+00 1.211290292597998359e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.563852870435744933e+02 2.342653094006105885e+00 1.212240164092136638e+03 1.213427785467579042e+03 2.791348411275533792e+01 1.648404976146037484e+02 1.232558288387135548e+00 1.213255801210246091e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.599518487254877641e+02 2.486803373663621475e+00 1.210614301024521183e+03 1.219790756468102245e+03 1.903152981677361595e+02 3.651385864456636341e+02 3.472631851643551926e+00 1.216646625330944516e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.733281806575671453e+02 1.185525042184387257e+00 1.210025095138318193e+03 1.212707009095594458e+03 3.326221635644621699e+00 1.919404845589367525e+00 3.026412936046113389e-02 1.211006422852646438e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.953033766557508670e+02 1.133714545127669115e+00 1.213312945553018608e+03 1.215811421446773238e+03 3.147011681143961823e+02 3.821933396320877705e+02 2.359927325039993917e+00 1.214683168499547719e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.463452561640763179e+02 2.536284165137261404e+00 1.210398850102221104e+03 1.212796829463150971e+03 8.204262139589415881e+01 9.541159661703110828e+01 7.203476160902131387e-01 1.211688168789840802e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.993908291446528267e+02 2.972906842239264602e+00 1.210292622497361663e+03 1.219621491969259750e+03 1.513882784069949707e+02 2.367973941644587796e+02 1.946858209260142303e+00 1.215983332220913326e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.989746324632488950e+02 2.016610032619435167e+00 1.211893209625180361e+03 1.218175924954222864e+03 7.510358132938765863e-01 2.719666400275665978e+02 9.121766405194392524e-01 1.218158623016597403e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.840487993100219910e+02 1.747455325822213856e+00 1.211831746981267315e+03 1.217631047987556030e+03 3.053843190459937063e+01 3.722629591596855221e+02 1.418071092159948421e+00 1.217191373341927601e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.896147991552212773e+02 1.915738696399901686e+00 1.212089233664115682e+03 1.217651740080072386e+03 3.674621113554260319e+02 1.900262017367579404e+02 2.940109714937473750e+00 1.213985276938095240e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.107605115570563044e+02 2.010103955172367840e+00 1.214085350417635482e+03 1.214723560760731289e+03 1.884184931967528200e+02 3.668511488669304867e+02 2.634599992007339075e+00 1.214506998171893201e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.896456063350111094e+02 3.618496488253902799e-01 1.215611900303440279e+03 1.216049972778987694e+03 1.433705194680345016e+02 9.522871971280690673e+01 8.237626739791514829e-01 1.215786741938019759e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.794415584578927678e+02 2.237505177292166691e-01 1.214630275797807371e+03 1.218822918767036072e+03 2.859644826235124242e+02 7.370563420886431061e+01 1.287103173977513615e+00 1.215489455903677481e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.867790340334089478e+02 2.838632524382238564e+00 1.216330251307748767e+03 1.217258753386953231e+03 3.286981134076031594e+02 8.519206493548647785e-01 1.149142702037856623e+00 1.216332651580886250e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.633572733891749067e+02 1.324626177805289906e+00 1.217213531005187633e+03 1.218190723438338637e+03 2.358264317070079983e+02 2.679794162583171158e+01 9.972170882280810833e-01 1.217313242792972233e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.250027290313821595e+02 2.457503164737054213e+00 1.217636841951053839e+03 1.219944166809509625e+03 2.130979768887586374e+02 9.658791048654991584e+01 1.376365027697576293e+00 1.218356473345241056e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.614711078366457571e+02 2.836570081360350937e+00 1.212191095947079475e+03 1.214843018792143766e+03 1.212949406366893470e+02 4.604761543503776977e+00 7.797042075636286818e-01 1.212288089602519904e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.946667654990998244e+02 1.712918683267611542e+00 1.210861977517901551e+03 1.211883331109389928e+03 3.315387053848635333e+02 3.479572155554053552e+02 2.305980858714603343e+00 1.211384993684503570e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.268506660745916577e+02 2.183762070993644056e+00 1.212108405824182682e+03 1.218887751736175915e+03 9.563519318665716185e+01 2.766427912098382649e+02 2.934773587846876364e+00 1.217146192785211724e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.003274363883927407e+02 9.855138214030150223e-01 1.212705046630302377e+03 1.218024527039477334e+03 1.480796775299106969e+02 3.148705066287482879e+01 1.789806803172340199e+00 1.213637818256926039e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.764342800708301411e+02 2.609601105953871514e+00 1.210867657188613066e+03 1.211942964490677923e+03 1.734441336355318128e+02 1.326236864002285927e+02 1.734741230065316220e+00 1.211333603652361944e+03
