A lam0 gamma C W
4.678673856337212555e+02 1.215672210397402978e+03 8.821493829063264958e-01 2.169964099556457597e+02 2.156106572128791310e+00
2.756090645410270668e+02 1.215740698803597979e+03 6.734066091795603004e-01 1.894852440785722365e+02 1.454514655646444998e+00
3.405168298664062831e+02 1.215645973707272105e+03 6.711653684236723594e-01 1.982464113411273559e+02 1.717644357659876109e+00
5.047339610127962715e+02 1.215738916053380990e+03 9.504051727977507191e-01 2.133348661726585647e+02 2.365923442651419961e+00
4.437559886800603977e+02 1.215615282655729970e+03 8.748867196398326662e-01 2.080185700572459950e+02 2.133251798423286161e+00
4.023036375374083491e+02 1.215716619939859129e+03 8.010596826911312585e-01 2.018892904283459302e+02 1.992694296383160646e+00
4.055010235185504257e+02 1.215618484964523986e+03 7.723134804211111426e-01 2.136421268537933997e+02 1.898038694381919411e+00
3.603149338863739786e+02 1.215569920754091299e+03 6.749031910095482090e-01 2.057996592973088639e+02 1.750804326482602757e+00
2.662981819509365096e+02 1.215710968219878623e+03 5.933119595343492314e-01 2.033659153708437657e+02 1.309453363732727249e+00
3.472351205459707444e+02 1.215761741375753672e+03 7.778180759035986380e-01 1.940763960417124849e+02 1.789167192033698672e+00
3.454466594666732817e+02 1.215566600000008748e+03 6.483098376435134647e-01 2.097532212516975392e+02 1.646919448508243455e+00
2.981931068039344837e+02 1.215831454723398565e+03 5.869933558135429497e-01 1.999132103684995059e+02 1.491612816653166140e+00
4.533728989400720479e+02 1.215623380228483938e+03 8.804564450241976203e-01 2.134476699568120068e+02 2.124047074544338720e+00
3.786094645956882800e+02 1.215625039094586100e+03 6.999982658311170169e-01 2.117526069210546211e+02 1.787980181688346493e+00
3.350859193456847152e+02 1.215727708649718352e+03 6.786180016230196621e-01 1.967599953392081318e+02 1.703018536710203534e+00
4.784844745204724745e+02 1.215747131749859136e+03 9.226006285470058632e-01 2.188854606253328825e+02 2.186003918001188318e+00
5.201048577859717170e+02 1.215659270110009174e+03 9.990394880759410068e-01 2.207660417324255491e+02 2.355909693830326113e+00
