weight logl A lam0 gamma C W
0.000000000000000000e+00 -1.037564479453412059e+04 7.794420465020861002e+02 1.211690551355097114e+03 1.500138202321004144e+00 1.018320206578713538e+02 7.654194048852327015e+00
0.000000000000000000e+00 -7.961887594299812918e+03 6.787297416596309176e+02 1.211621651842570145e+03 7.254623906420106794e-01 1.244587205820808435e+02 5.453452666757947043e+00
0.000000000000000000e+00 -7.465462290510240564e+03 6.988570584218045951e+02 1.219136772233846159e+03 1.105405423145868760e+00 1.390554511539654641e+02 5.025743705998362287e+00
0.000000000000000000e+00 -7.458810593460090786e+03 6.765664797132500325e+02 1.211604731997869067e+03 1.119358540308623917e+00 1.277221796858866583e+02 5.297172984184601141e+00
0.000000000000000000e+00 -7.438130269168805171e+03 6.222059155066726817e+02 1.213474751660498441e+03 1.387057214154069573e+00 1.037500411399793165e+02 5.997163072612124779e+00
0.000000000000000000e+00 -7.193537335814900871e+03 7.617740604802388589e+02 1.213688720744587727e+03 1.271645590594160380e+00 1.298446373302034544e+02 5.866811877205196701e+00
0.000000000000000000e+00 -7.028847106938368597e+03 6.109140296518655759e+02 1.213156504241911762e+03 1.156421310045460782e+00 1.122752292117348247e+02 5.441218280657171391e+00
0.000000000000000000e+00 -7.011821761524848625e+03 7.144252721402003772e+02 1.213150934027695257e+03 1.327447682399313766e+00 1.239876545851566902e+02 5.762067800464132361e+00
0.000000000000000000e+00 -6.924412434860363646e+03 7.742404571673167766e+02 1.213720878984654746e+03 4.367101417632242022e-01 1.283205615600458600e+02 6.033642993410853528e+00
0.000000000000000000e+00 -6.817971984124167648e+03 7.914025258672000973e+02 1.210509831359775262e+03 5.525983899709897562e-01 1.238918427494790677e+02 6.387850146578982091e+00
0.000000000000000000e+00 -6.566644449890212854e+03 5.138541061080354666e+02 1.213588430402860013e+03 9.532593983376292934e-01 1.046227933867846218e+02 4.911492892455523673e+00
0.000000000000000000e+00 -6.540540942706655187e+03 5.283067385644042133e+02 1.218394771110121155e+03 4.716650062888282369e-01 1.343862738811004647e+02 3.931255204172329432e+00
0.000000000000000000e+00 -6.314036550435287609e+03 7.755215586354468087e+02 1.212137997159536781e+03 1.315867076934631674e+00 1.430769940166005938e+02 5.420309281487046604e+00
0.000000000000000000e+00 -6.171956059683710009e+03 7.711981229442135373e+02 1.216715359876776574e+03 8.008033799516653950e-01 1.214464627635845773e+02 6.350107737970738242e+00
0.000000000000000000e+00 -6.117959626541083708e+03 5.660939741572049115e+02 1.212044437581256489e+03 6.767944449865073153e-01 1.318501699570525716e+02 4.293464121749696716e+00
0.000000000000000000e+00 -6.105602114121363229e+03 7.290158462482785353e+02 1.210425962905117785e+03 5.596179067224978931e-01 1.101219856625093456e+02 6.620075381518201851e+00
0.000000000000000000e+00 -6.093694697906187685e+03 6.584023611391747863e+02 1.212121796567701494e+03 3.794691217141469286e-01 1.218427485370441588e+02 5.403705752246708904e+00
0.000000000000000000e+00 -6.082860603706601069e+03 5.378592800724925382e+02 1.217544305924257742e+03 7.608949264427924408e-01 1.229179092870141119e+02 4.375760075910400282e+00
0.000000000000000000e+00 -6.065423894966576881e+03 6.610781306416927237e+02 1.219550310053095245e+03 1.075899834721159021e+00 1.322939040417801095e+02 4.997041514724032574e+00
0.000000000000000000e+00 -6.048732525777290903e+03 7.484495495742622779e+02 1.211928298985456649e+03 7.891056038890470470e-01 1.728108689607198585e+02 4.331032845766118022e+00
0.000000000000000000e+00 -5.995018551641964223e+03 7.830594342262839973e+02 1.211128338995722743e+03 9.185141550188320458e-01 1.763396542106360130e+02 4.440631562603196691e+00
0.000000000000000000e+00 -5.978644860130523739e+03 7.438998560219631599e+02 1.219101103772735996e+03 1.366420596984754265e+00 1.396158864659897745e+02 5.328189182849016881e+00
0.000000000000000000e+00 -5.889022313271271742e+03 6.615965900043872807e+02 1.212994790640643942e+03 6.897708924142897935e-01 1.487225593574982838e+02 4.448528810037795544e+00
0.000000000000000000e+00 -5.807538737496730391e+03 6.056916883839991215e+02 1.211656377984482788e+03 9.933913153180231603e-01 1.357070516955197377e+02 4.463229292925501746e+00
0.000000000000000000e+00 -5.720515633029819583e+03 6.020528659120575412e+02 1.213969380754048188e+03 7.029833246068621921e-01 1.422327513158265901e+02 4.232870842631767161e+00
0.000000000000000000e+00 -5.711567493973400815e+03 4.136490185512924995e+02 1.218151875620709689e+03 3.864726903914371681e-01 1.009016563296321465e+02 4.099526544935563344e+00
0.000000000000000000e+00 -5.573072556627685117e+03 6.655285175602739400e+02 1.211967854574062585e+03 2.220757641936574600e-01 1.076599737051398904e+02 6.181763701550117673e+00
0.000000000000000000e+00 -5.437887294025820665e+03 7.840063420129559972e+02 1.211343161228022382e+03 8.800173486155048463e-01 1.832522345217171278e+02 4.278290761688059440e+00
0.000000000000000000e+00 -5.372840188015628883e+03 7.478776364759715989e+02 1.213707844454299675e+03 3.834587920778159686e-01 1.770353883172035978e+02 4.224452769499169591e+00
0.000000000000000000e+00 -5.184386477671767352e+03 7.458609449270695677e+02 1.219642988124410749e+03 1.839358802569143858e+00 1.201780109298780275e+02 6.206301295519590866e+00
0.000000000000000000e+00 -5.161202152780164397e+03 6.290793705536838161e+02 1.210433790867797143e+03 6.474507437756342743e-01 1.353703732845799834e+02 4.647097849329356656e+00
0.000000000000000000e+00 -5.122076439397811555e+03 5.307358034668495748e+02 1.212143566572785403e+03 5.624630445632883280e-01 1.550920829786088575e+02 3.422068962347043275e+00
0.000000000000000000e+00 -5.106969229914098833e+03 6.913865775451730542e+02 1.215174219628168885e+03 6.852974701133465185e-01 1.037212400721111862e+02 6.665814803838570057e+00
0.000000000000000000e+00 -4.951353275544568532e+03 7.260864320068300231e+02 1.210685973088409355e+03 1.729988550755324483e-01 1.193112294203308750e+02 6.085650408050387483e+00
0.000000000000000000e+00 -4.857212497621448165e+03 7.252201586186217810e+02 1.212657321434593086e+03 1.637137962156291593e+00 1.271912793856182020e+02 5.701807247491402997e+00
0.000000000000000000e+00 -4.835737647302667028e+03 6.375871291181448441e+02 1.219742027306355567e+03 2.852773902394928340e-01 1.261607404490586362e+02 5.053768128252153602e+00
0.000000000000000000e+00 -4.729246985671607035e+03 6.695926713910643002e+02 1.219178904057649333e+03 4.248163165088694182e-01 1.784194051494998234e+02 3.752913932371898298e+00
0.000000000000000000e+00 -4.723042681655757406e+03 7.719266098020428899e+02 1.216814496051763399e+03 1.540547351594637071e+00 1.383765674992497168e+02 5.578448893135235842e+00
0.000000000000000000e+00 -4.664257481677831493e+03 6.551856310650762225e+02 1.218205970177488553e+03 4.046185539146412991e-01 2.537956248358646008e+02 2.581548170851249768e+00
0.000000000000000000e+00 -4.627023562644059894e+03 7.598930728391776483e+02 1.217816408983455631e+03 8.262261679217571819e-01 2.025511360426335159e+02 3.751611013819410534e+00
0.000000000000000000e+00 -4.624674647710251520e+03 6.264524999615621255e+02 1.218544349492215133e+03 3.335542693297254280e-01 2.036582253244769163e+02 3.075999012382001574e+00
0.000000000000000000e+00 -4.608707879068232614e+03 7.089694341137682159e+02 1.214250542625374919e+03 8.017065724501531987e-01 1.854656553032822046e+02 3.822645400057643528e+00
0.000000000000000000e+00 -4.591683544647843519e+03 7.825422536056893250e+02 1.211444823019389332e+03 7.839757246935671331e-01 2.354350776950994657e+02 3.323813347045599720e+00
0.000000000000000000e+00 -4.537080055086515131e+03 7.274754922835609250e+02 1.212568232400544503e+03 1.555310338797682768e+00 1.375336168305892386e+02 5.289437659300769923e+00
