m0 p a1 b1 m_100 m_200 m_300 m_400
1.510592480592450926e+01 9.942968345848694867e+01 1.271398874264162870e+00 8.605603140894668712e-01 1.640750561335740443e+01 1.643599716908665442e+01 1.646276134507679600e+01 1.648776338239544259e+01
1.508867196508715658e+01 1.006723689175087770e+02 1.401713421365231582e+00 7.458417509098431708e-01 1.645786203108068690e+01 1.642292791322645940e+01 1.638564454214454003e+01 1.634607756347059038e+01
1.516766081773337227e+01 9.956508175943636729e+01 1.276267196061077414e+00 9.108950954392103228e-01 1.646844471320193648e+01 1.649198160961795523e+01 1.651452097410106035e+01 1.653604582909116161e+01
1.511234383659779112e+01 9.934092543009715826e+01 1.342520495947729486e+00 7.840257515959443424e-01 1.648637119057744727e+01 1.651549075996452132e+01 1.654217244723265523e+01 1.656636989457910047e+01
1.506389363615648946e+01 1.002218472910690821e+02 1.339460163060214981e+00 7.950896873502539819e-01 1.639216632276182040e+01 1.638072191121050025e+01 1.636902277831825359e+01 1.635707118711275143e+01
1.517493153326032385e+01 1.006040846981591699e+02 1.401897390186523040e+00 5.912710971127861370e-01 1.655352922053067743e+01 1.652826746698928062e+01 1.650107961590728678e+01 1.647200436163382165e+01
1.500023072601446827e+01 9.977133932554997386e+01 1.060627900404348622e+00 8.570823650774457292e-01 1.607309030718105802e+01 1.608509952049582381e+01 1.609688377614064692e+01 1.610844063054013020e+01
1.507462649130266286e+01 9.967569544221700539e+01 1.219513499436608583e+00 9.205125646261436145e-01 1.631270185861234978e+01 1.633074633503196793e+01 1.634826587921496355e+01 1.636525316974725541e+01
1.516655877347093195e+01 1.008066377684020551e+02 1.198678772385653346e+00 5.732536070874942880e-01 1.633491354276673135e+01 1.630163682261930802e+01 1.626549148379075049e+01 1.622656887435556428e+01
1.509059095084957391e+01 9.980901287018855328e+01 1.339738536594648366e+00 7.944379334713147500e-01 1.643978398384042094e+01 1.644904345209675967e+01 1.645810655374140197e+01 1.646697197868765272e+01
1.501320255158899819e+01 1.025054209630807378e+02 1.513399105338582018e+00 2.075397865224637428e-01 1.647704300058751414e+01 1.639302813422032656e+01 1.627653461889350339e+01 1.613030450551405792e+01
1.502246560720969981e+01 9.969848175783182853e+01 1.202377296261108341e+00 8.397861357147569095e-01 1.624058269127309728e+01 1.625588264811345240e+01 1.627073724956829892e+01 1.628514113202052016e+01
1.508663139842196621e+01 1.005271675019549775e+02 1.219450838998488607e+00 7.540016230369968042e-01 1.628058108308315965e+01 1.625378383373713476e+01 1.622571957920214203e+01 1.619641878469852969e+01
1.512394442752487933e+01 9.945328941147008095e+01 1.188227659436316586e+00 6.642740070136063935e-01 1.633440263046749763e+01 1.635518925432915793e+01 1.637450716279984420e+01 1.639233331212020772e+01
1.507203316860999465e+01 9.976147044903420635e+01 1.148315667629599801e+00 8.323206812836758672e-01 1.623272281183885468e+01 1.624483483262931216e+01 1.625668216506190333e+01 1.626826213532479315e+01
1.501430951109558976e+01 9.825742439341564705e+01 1.183887955535553260e+00 1.237693954983480893e+00 1.632848724060513845e+01 1.644247591424079147e+01 1.653874956857977452e+01 1.661611402229937084e+01
1.505795021554586910e+01 9.950594629746724706e+01 1.363406965622866451e+00 8.427825801238633119e-01 1.644698133819237995e+01 1.647125377521662770e+01 1.649415087179264461e+01 1.651565034586867142e+01
1.498886788523235936e+01 1.014905640887983793e+02 1.373253985803884802e+00 4.789237311601990399e-01 1.631214694540535959e+01 1.625091164243501751e+01 1.617893704088984919e+01 1.609683560506152133e+01
1.505720963196540474e+01 9.980901906041225402e+01 1.376682388431941462e+00 6.727690946373954262e-01 1.644188079665740077e+01 1.644966942935282361e+01 1.645725679269667197e+01 1.646464178999395145e+01
1.519725532747806085e+01 9.954226861972648521e+01 1.227275486007652461e+00 8.168589584766152711e-01 1.644761630353652393e+01 1.646965810426252830e+01 1.649063781714317756e+01 1.651053793019369564e+01
1.496420368598569794e+01 1.005322415601708173e+02 1.301442332645169841e+00 7.766176071806558667e-01 1.623909686867613544e+01 1.621113713027305181e+01 1.618179773909885100e+01 1.615111115732906555e+01
1.502978243709536521e+01 1.006699838891780985e+02 1.381596557619175769e+00 6.433228592668083223e-01 1.638327778910166188e+01 1.635281021735282536e+01 1.632002954705400555e+01 1.628499308986718574e+01
1.511478775352055770e+01 1.007182761720619482e+02 1.407006549278541740e+00 5.307565415952772980e-01 1.649660743569798171e+01 1.646864657921082298e+01 1.643796786448130121e+01 1.640463287872672993e+01
1.513033719019816914e+01 9.954744117161513373e+01 1.159866352736024453e+00 7.513528310695054557e-01 1.631118940348667223e+01 1.633121184408803472e+01 1.635025452906263865e+01 1.636830192208644519e+01
1.500228852615190078e+01 1.005775079600884538e+02 1.379766865946123744e+00 6.766959640456811087e-01 1.635674931154080625e+01 1.632968047063169337e+01 1.630088409806098326e+01 1.627039767081168620e+01
1.506938372751945110e+01 1.001284079693839431e+02 1.306961494450114003e+00 7.240888035502397457e-01 1.637046831983782980e+01 1.636450694191739785e+01 1.635846147526387995e+01 1.635233231239254792e+01
1.504410111256389726e+01 1.021728561136615951e+02 1.359610375148411876e+00 3.540778573253628991e-01 1.634442023701902968e+01 1.626194680600984555e+01 1.615776153678229221e+01 1.603372185160454677e+01
1.504018295703188457e+01 1.002693238471455857e+02 1.218397079250770787e+00 7.125139600941352569e-01 1.624638223985634511e+01 1.623384089976789468e+01 1.622095958797921611e+01 1.620774197328127642e+01
1.510037427906688734e+01 1.008063720655979694e+02 1.318328388653089434e+00 5.755501900943436056e-01 1.638812258789824838e+01 1.635429018052482064e+01 1.631729089247614439e+01 1.627721816887894946e+01
1.506396816089741897e+01 1.006882317152520869e+02 1.232502349446090051e+00 5.868419111696709933e-01 1.627013850119941196e+01 1.624158208858802510e+01 1.621085393586965395e+01 1.617801071149914094e+01
1.502742566555226489e+01 1.004417971639713301e+02 1.416087405089152540e+00 6.546122362558275398e-01 1.642488319712958145e+01 1.640518602091213296e+01 1.638443658563011240e+01 1.636265073858329089e+01
1.506999199331104222e+01 1.007256019785415475e+02 1.203185686212997041e+00 6.215174372112031165e-01 1.624382358762305856e+01 1.621206508553833459e+01 1.617796722558759726e+01 1.614159985189678892e+01
1.506485545501463008e+01 9.936824523273944010e+01 1.237185065868423806e+00 8.673599935051363730e-01 1.633569248533642337e+01 1.636731679667195039e+01 1.639686299748876408e+01 1.642428394606469766e+01
1.506462569475940860e+01 9.937728870310237994e+01 1.232716790803747742e+00 8.961966001520664804e-01 1.633166248051079705e+01 1.636401869894542216e+01 1.639436099206114861e+01 1.642264233242890370e+01
1.507221180492314616e+01 1.005142518556198041e+02 1.315120137399009792e+00 6.152602675483542782e-01 1.636687769468233000e+01 1.634508569233057074e+01 1.632197845254647461e+01 1.629757985162056144e+01
1.508812603203156044e+01 9.978909953933801091e+01 1.251444019681599684e+00 7.990928773089596149e-01 1.635007077453727220e+01 1.636034897044867620e+01 1.637040282702632865e+01 1.638023057140840777e+01
