weight logl m0 p a1 b1 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -1.904660085601105311e+04 1.020648886664151433e+01 8.283548949930860772e+01 -2.852807184494547954e+00 9.600585373170723358e+00 1.870444951112405363e+01 1.757371554301068173e+01 5.622261540099648514e+00 4.039572902006209887e-01
0.000000000000000000e+00 -1.880822471121386843e+04 1.837321468338098640e+01 1.683622260018246379e+02 9.975463116024041454e+00 9.931933454957341922e+00 4.557505025048268266e+00 3.135240719842475343e+01 1.062413310621830931e+01 1.826903933790674017e+01
0.000000000000000000e+00 -1.858348944388520613e+04 1.946291995805448138e+01 1.244267954978308239e+02 -7.282477952291158019e+00 -7.279515795772564246e+00 2.392203786107856445e+01 2.969693217235115412e+01 2.177779600298015694e+01 1.076114710308498168e+01
0.000000000000000000e+00 -1.843279086116572580e+04 1.076725022923790753e+01 8.712266295755016188e+01 -8.775536692132622107e+00 9.877508032113567538e+00 1.342210149946463815e+01 2.272264408817623149e+01 2.243201274328288264e+01 1.278336546964159481e+01
0.000000000000000000e+00 -1.815400916906398561e+04 1.760631597034362983e+01 1.383236940833045878e+02 -9.157317574665713167e+00 7.620384162423832208e+00 1.164514925185171634e+01 2.878080875212549117e+01 1.978619106322383203e+01 5.694184031728998008e+00
0.000000000000000000e+00 -1.786593158991439850e+04 1.176015011016517597e+01 1.845844096173850630e+02 9.759725951126554833e+00 7.018365344978299447e+00 5.140648711161350803e-01 2.372286424416495976e+01 -1.004133652212590988e-01 2.270677500334365817e+01
0.000000000000000000e+00 -1.768828551350900671e+04 1.879441439020757798e+01 1.359465054920837304e+02 -9.623245933841133137e+00 -7.734588321474317851e+00 2.736779268799148568e+01 2.686659880470062234e+01 8.760648578013153553e+00 1.253749899859994166e+01
0.000000000000000000e+00 -1.747375750796072680e+04 1.035555645629185406e+01 6.672023343918077387e+01 -3.776943891556632238e+00 9.856939320426452156e+00 1.420697644908633173e+01 6.429880876636360654e+00 1.435526285690236215e+01 6.282048239292461034e+00
0.000000000000000000e+00 -1.744788022568563247e+04 1.073300010559971973e+01 1.865989580104501044e+02 6.568803136991718361e+00 7.387925502952942480e+00 2.677916602605138863e+00 1.986605830297440178e+01 9.849145513694264054e-01 2.060199043958552778e+01
0.000000000000000000e+00 -1.735982440007085825e+04 1.999697396378657643e+01 1.930643709652935627e+02 6.768392308162518134e+00 9.936132701495974828e+00 1.215264413286510603e+01 2.881743408380337712e+01 1.031261057000838122e+01 3.042202175336465331e+01
0.000000000000000000e+00 -1.696129149794807745e+04 1.110747625629970514e+01 1.162866127872708262e+02 -5.262047689389146576e+00 7.874034835888416239e+00 1.685935183181076269e+00 4.363581005772590338e+00 1.193521925092629843e+01 1.890617083161632195e+01
