weight logl A lam0 gamma C W
0.000000000000000000e+00 -5.546632097536952642e+03 7.131063238460062621e+02 1.219369175172277892e+03 4.445975740262830822e-01 1.910080218535217682e+02 3.733384163272816636e+00
0.000000000000000000e+00 -5.506892238577773242e+03 4.647044096163672293e+02 1.214199191048601961e+03 4.176900115284156723e-01 1.145537218688529606e+02 4.056650469623194866e+00
0.000000000000000000e+00 -5.401398619328206223e+03 6.016704485966930633e+02 1.214078360868385516e+03 1.308488519081658419e+00 1.157267018607238640e+02 5.199063301059063669e+00
0.000000000000000000e+00 -5.360041455502977442e+03 4.812602169066549322e+02 1.211302233654296970e+03 3.920602642316021180e-01 1.171032187717738537e+02 4.109709553283911632e+00
0.000000000000000000e+00 -5.346531055719239703e+03 5.841847440949104566e+02 1.212671988245949933e+03 1.090581459585051816e+00 1.330928799207808879e+02 4.389301249192496535e+00
0.000000000000000000e+00 -5.229559758102288470e+03 7.517472043513317885e+02 1.213382316038472482e+03 5.520373084981681222e-01 1.972766998795923712e+02 3.810623377267360556e+00
0.000000000000000000e+00 -5.201248066214709979e+03 5.553744026706924615e+02 1.212627126717887904e+03 2.910732074684548865e-01 1.208818796309563339e+02 4.594356113308384337e+00
0.000000000000000000e+00 -5.175605203337976491e+03 6.684419881832620831e+02 1.213113444489662697e+03 1.128337440822457571e+00 1.536758907500904456e+02 4.349686765572684521e+00
0.000000000000000000e+00 -5.059497272093250103e+03 4.718024411500720134e+02 1.212859513223000477e+03 5.378486944401860148e-01 1.381665960846121948e+02 3.414735938498070222e+00
0.000000000000000000e+00 -5.041046794254655651e+03 6.053090089443572879e+02 1.214677041227186692e+03 7.599163585604274962e-01 1.327312672235938180e+02 4.560410079749165568e+00
0.000000000000000000e+00 -4.827561296385189053e+03 6.352387104191249136e+02 1.219007674296933828e+03 6.825499623357258461e-01 2.093551322922166094e+02 3.034263853309612902e+00
0.000000000000000000e+00 -4.801876974334789338e+03 4.675150858053939942e+02 1.219565531650333469e+03 6.446757815213002285e-01 1.560638144699527174e+02 2.995666147167033611e+00
0.000000000000000000e+00 -4.718910017939714635e+03 5.291678946306967646e+02 1.213756044650270042e+03 8.183217210762381288e-01 1.414984396640616069e+02 3.739743674114147431e+00
