A lam0 gamma C W
4.454847429818734099e+02 1.215691022109185724e+03 7.861984459736192088e-01 2.156169890978462149e+02 2.066092958842468796e+00
3.443101156426371290e+02 1.215682598026668074e+03 6.642003715782882622e-01 1.968881791197883899e+02 1.748759713162647556e+00
4.514270050057825756e+02 1.215768115831467867e+03 7.960965102743043920e-01 2.161508760508696696e+02 2.088481033495983574e+00
4.230738190481539505e+02 1.215653176499935398e+03 9.441657172373163487e-01 2.048028708597200307e+02 2.065761174500033714e+00
3.305661627600574661e+02 1.215713258863290093e+03 6.386233044880387233e-01 2.031289965537232263e+02 1.627370628361420879e+00
3.792486553030410050e+02 1.215732666974943868e+03 7.507854611475275330e-01 2.092814217590713781e+02 1.812146783576609188e+00
3.913634172568013128e+02 1.215646358908453294e+03 7.672870742868870275e-01 2.057242320426423703e+02 1.902369076170277173e+00
4.028900269148332995e+02 1.215691638013295233e+03 8.936124937043409266e-01 2.075897138443807819e+02 1.940799567828582317e+00
4.124199157092199926e+02 1.215591717791556448e+03 8.186611274686708128e-01 2.088828001793567068e+02 1.974408210513726614e+00
3.197814145842091875e+02 1.215611424459053069e+03 6.928381499455125159e-01 2.068630945953771914e+02 1.545860150693865842e+00
3.953976892101841258e+02 1.215691231835362260e+03 7.599992062251714753e-01 2.000946615835018747e+02 1.976053164442770349e+00
5.071668103726344157e+02 1.215726271791816316e+03 9.270683363184893944e-01 2.157665830403688858e+02 2.350534560199926570e+00
3.851774537532781437e+02 1.215669496051221586e+03 7.640098643410460078e-01 2.056135051855779352e+02 1.873308143867463693e+00
3.774306250321872085e+02 1.215748765761330787e+03 7.252235520500665000e-01 2.087993654312438139e+02 1.807623429566755480e+00
3.153159378393115730e+02 1.215682333505233373e+03 6.348665776967917784e-01 1.957834357038136943e+02 1.610534296253385733e+00
3.998416199079583180e+02 1.215712724744484376e+03 8.770100376662136599e-01 2.025299655979892464e+02 1.974234374293144079e+00
4.066942263340741874e+02 1.215723833704262233e+03 7.983613188940132943e-01 2.129745312059706066e+02 1.909590898175306251e+00
3.795688114326048321e+02 1.215731901839676311e+03 6.967621718699662514e-01 2.061731156061498496e+02 1.841019913370717020e+00
3.903616349522197879e+02 1.215669337296899357e+03 7.465978960950417909e-01 2.138009989021479669e+02 1.825817638629835260e+00
3.548652041603868383e+02 1.215668818237896176e+03 6.675565303099693093e-01 2.073065786527716909e+02 1.711789401313542403e+00
4.033994074608796723e+02 1.215777337097535792e+03 7.943121752697234195e-01 2.062538796507591314e+02 1.955839124790954786e+00
4.744321833840181171e+02 1.215720440488677468e+03 8.554569899789138399e-01 2.176536013477326890e+02 2.179758021214843300e+00
3.775615501468882940e+02 1.215535750849092210e+03 8.406562594407808175e-01 1.961615056073929395e+02 1.924748431032937246e+00
5.224409187817853990e+02 1.215745966739232927e+03 9.923363455770400909e-01 2.118848581213801481e+02 2.465683123437260704e+00
5.022060164827700532e+02 1.215628711268839197e+03 9.270818589465836812e-01 2.152047893223325161e+02 2.333619145113767335e+00
3.448929044043634349e+02 1.215622213184574321e+03 6.482590150141059882e-01 2.033358510889322872e+02 1.696173609116863767e+00
4.247542069120777342e+02 1.215721483869818030e+03 8.756020413875714725e-01 2.051798217551489643e+02 2.070155843194744438e+00
4.384484142820130046e+02 1.215676455671412214e+03 8.665141352239161820e-01 2.062277496991449937e+02 2.126039851191911634e+00
3.831119330799061231e+02 1.215653659813110835e+03 7.507653722305466237e-01 2.026339993293748307e+02 1.890659683704758898e+00
3.518908847962422897e+02 1.215579494020852280e+03 7.160415548245193662e-01 2.047303581926232710e+02 1.718801685801580437e+00
4.325764168328070127e+02 1.215701774872557962e+03 9.585443109401731165e-01 2.111376156150310521e+02 2.048788964357384668e+00
4.751092569291114387e+02 1.215784513011674790e+03 8.424138543638416410e-01 2.203151137279771774e+02 2.156498702652457577e+00
3.945700096104842487e+02 1.215713575529984155e+03 7.840411981140601450e-01 2.012055051029753088e+02 1.961029890352883776e+00
4.240854361837290298e+02 1.215636602843530227e+03 9.018574730868628153e-01 2.028603599630469603e+02 2.090528855716220047e+00
3.909248537386585554e+02 1.215685079777905457e+03 8.207175724618964718e-01 2.040652268592834844e+02 1.915685782214268107e+00
