A w B x0 f sigma_v
5.903277150200747769e+01 4.286201586766207328e+00 5.912564834324300023e+01 5.812515263218607231e-01 2.530263588831113708e+01 4.286201586766207328e+01
6.318256328883252593e+01 4.338438625665585135e+00 5.941839717958501410e+01 5.630421963912617400e-01 2.741136730408314293e+01 4.338438625665585135e+01
5.039311895602654801e+01 4.840998455996221139e+00 6.056031872351363177e+01 1.380627056498882510e+00 2.439530110589584311e+01 4.840998455996221139e+01
5.421874233155845957e+01 4.951410439685404619e+00 6.133085541991674461e+01 3.232561163409499727e-01 2.684592468070915317e+01 4.951410439685404441e+01
5.191675198816241021e+01 4.557158556117199666e+00 6.038725266929860425e+01 1.504746612408993656e-01 2.365928705286689393e+01 4.557158556117200021e+01
5.132867519849455817e+01 5.251236936197095417e+00 5.686386712199990967e+01 6.547692344759692418e-01 2.695390350883983999e+01 5.251236936197095417e+01
5.313902472232576457e+01 5.013044922680145454e+00 5.752390235604644175e+01 5.732327244904276142e-01 2.663883180804298689e+01 5.013044922680145277e+01
5.498197295689902830e+01 5.087818647132039018e+00 6.128019613211181138e+01 1.045868969202764731e+00 2.797383072662203674e+01 5.087818647132039018e+01
5.339837554384481422e+01 4.180034062701583508e+00 6.147934790501202684e+01 8.962100535689287995e-01 2.232070286662025183e+01 4.180034062701583508e+01
6.076177086125426996e+01 4.504971498241354233e+00 5.834843914112332186e+01 1.099519754067337374e-01 2.737300459126225149e+01 4.504971498241354055e+01
4.973484857820690053e+01 4.834562905627818097e+00 6.072418938682515943e+01 1.245963540397720948e-01 2.404462540532155046e+01 4.834562905627818452e+01
6.065374184518162792e+01 4.437855488635852552e+00 5.835908694627966753e+01 2.480646123950371873e-01 2.691725411539413670e+01 4.437855488635852907e+01
5.345888938197015250e+01 5.389460155386426976e+00 5.681119211617736653e+01 1.827663681408857599e-01 2.881145542753386479e+01 5.389460155386426976e+01
5.028834898731121683e+01 4.718967648174109186e+00 5.784881061747200448e+01 1.479660828110027637e-01 2.373090919512108599e+01 4.718967648174108831e+01
6.155680543479014943e+01 4.646336325664252698e+00 5.736462105443467152e+01 3.155007161069693922e-01 2.860136211835121500e+01 4.646336325664252342e+01
5.414392394216937276e+01 5.050468919539564006e+00 5.924980556591386005e+01 3.338652755464295296e-01 2.734522050518405223e+01 5.050468919539564183e+01
5.389506659297573776e+01 5.416288405845728349e+00 5.962227689755160753e+01 2.589814392544553812e-02 2.919112243198178902e+01 5.416288405845727993e+01
4.522742398253188867e+01 5.491096259168684490e+00 6.089727193352744194e+01 1.238943292274790053e-01 2.483481386423169113e+01 5.491096259168684668e+01
5.506284214789121023e+01 5.136264681827522161e+00 5.768059626827741937e+01 4.839637166001260482e-01 2.828173314052575194e+01 5.136264681827522338e+01
5.245275690827195803e+01 5.129484887217470757e+00 5.985938589199037096e+01 1.206755046921124119e-01 2.690556238538728095e+01 5.129484887217471112e+01
