weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -2.681597785347012177e+03 2.133378267301179321e+01 4.303504941045583010e+00 1.436929858665053672e+01 -7.452089684988907337e+00 9.181003914449890502e+00 4.303504941045582655e+01
0.000000000000000000e+00 -2.347156308976936998e+03 7.093883277927670150e+00 2.402900583656562894e+00 1.906735407599362730e+01 2.771132736596584323e-01 1.704589626892393017e+00 2.402900583656563072e+01
0.000000000000000000e+00 -2.329883664484763358e+03 1.512792270309903842e+01 3.756874700449375659e+00 1.690158415573970174e+01 1.054876006796748200e+00 5.683371007362650218e+00 3.756874700449375837e+01
0.000000000000000000e+00 -2.323671051281811742e+03 1.588544520831225437e+00 6.122219971096952484e+00 1.988426032535230803e+01 5.116509853359225701e+00 9.725418990409566700e-01 6.122219971096952662e+01
0.000000000000000000e+00 -2.234251779754767995e+03 1.704411145822037899e+00 1.928114028727196683e+01 1.980665422080196691e+01 4.188334141122611598e+00 3.286299040978467367e+00 1.928114028727196683e+02
0.000000000000000000e+00 -2.160849784044505213e+03 8.310510800502601825e+00 4.212467061366552912e+00 1.944449523882324371e+01 1.525124834560605436e+00 3.500775301024819264e+00 4.212467061366552912e+01
0.000000000000000000e+00 -2.122804608792657746e+03 3.674195353491543869e+01 8.138031104191469467e+00 9.350888140456303788e+00 -2.674838349231847268e+00 2.990071606958995432e+01 8.138031104191469467e+01
0.000000000000000000e+00 -2.077641241339058979e+03 8.754881369732542851e+01 8.881012455645311832e+00 6.600551752859007415e+00 -9.302944415154200897e+00 7.775221049229180892e+01 8.881012455645311832e+01
0.000000000000000000e+00 -2.065930054082622519e+03 5.739448570602510102e+01 6.202843141912641300e+00 1.318376219132531091e+01 -8.865728897336023095e+00 3.560089920452209356e+01 6.202843141912641300e+01
0.000000000000000000e+00 -1.946109393182909116e+03 4.260261139851751011e+01 5.406877325912218701e+00 1.438458715413143452e+01 -4.333472575207695243e+00 2.303470935952937637e+01 5.406877325912218879e+01
0.000000000000000000e+00 -1.839017225482180947e+03 2.086897841467901671e+01 1.258350829672703064e+00 2.322398483859290508e+01 2.953798925518595908e+00 2.626049630253306955e+00 1.258350829672703064e+01
0.000000000000000000e+00 -1.835974991227501960e+03 6.381879950446185035e+01 6.648092555033917606e+00 9.141066320675061974e+00 2.225876111957214576e+00 4.242732858568150789e+01 6.648092555033917961e+01
0.000000000000000000e+00 -1.791967519129309949e+03 7.575398949755079059e+01 4.482571235352125427e+00 1.847666556094724655e+01 -8.953734945247816768e+00 3.395726542848881735e+01 4.482571235352125427e+01
0.000000000000000000e+00 -1.759488387873481770e+03 5.479917375844809158e+01 6.622799660250404230e+00 1.260762382849505059e+01 8.440839676363147248e+00 3.629239493494528546e+01 6.622799660250404941e+01
0.000000000000000000e+00 -1.689483442315407956e+03 9.363661839991477720e+00 1.855002217670551090e+01 1.978579267626730953e+01 -8.481631573256862566e+00 1.736961347870130368e+01 1.855002217670551090e+02
0.000000000000000000e+00 -1.680186312196468862e+03 9.500699453060703092e+01 1.796641599117286248e+01 8.971852410417901069e+01 8.681906563108736208e+00 1.706935185807970754e+02 1.796641599117286319e+02
0.000000000000000000e+00 -1.672730090996676154e+03 3.158556135403369680e+01 1.316445319628580357e+01 6.918530120512067505e+00 3.961034793878441818e+00 4.158066441235902744e+01 1.316445319628580251e+02
0.000000000000000000e+00 -1.651566551574458572e+03 9.970244274071293944e+01 1.849741206938618276e+01 8.078365937450838885e+01 3.411811833212318845e+00 1.844237167699348277e+02 1.849741206938618348e+02
