weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -1.839017225482180947e+03 2.086897841467901804e-01 1.359741208803699752e-02 2.322398483859290375e-01 6.476899462759297954e-01 2.784379282265603273e-02 4.365792874688005920e-01
0.000000000000000000e+00 -1.835974991227501960e+03 6.381879950446185390e-01 2.972680292123114354e-01 9.141066320675061974e-02 6.112938055978607288e-01 4.011207536375505089e-01 1.817361680164302218e-01
0.000000000000000000e+00 -1.791967519129309949e+03 7.575398949755078881e-01 1.832932229132697710e-01 1.847666556094724744e-01 5.231325273760911720e-02 5.646903075574589703e-01 9.471760496842478450e-01
0.000000000000000000e+00 -1.759488387873481770e+03 5.479917375844809424e-01 2.959368242237054858e-01 1.260762382849505148e-01 9.220419838181572736e-01 6.421666979100547623e-01 5.720542249570590432e-01
0.000000000000000000e+00 -1.689483442315407956e+03 9.363661839991477276e-02 9.236853777213427374e-01 1.978579267626731086e-01 7.591842133715687169e-02 7.926281243324831971e-01 5.076824202946228493e-01
0.000000000000000000e+00 -1.680186312196468862e+03 9.500699453060702515e-01 8.929692626933085631e-01 8.971852410417900936e-01 9.340953281554368326e-01 4.922943535256292247e-01 7.562120792549629211e-01
0.000000000000000000e+00 -1.672730090996676154e+03 3.158556135403369769e-01 6.402343787518843810e-01 6.918530120512067505e-02 6.980517396939220909e-01 3.723596360208262235e-01 7.857224220729264186e-01
0.000000000000000000e+00 -1.651566551574458572e+03 9.970244274071293766e-01 9.209164247045359408e-01 8.078365937450838752e-01 6.705905916606159645e-01 4.378339511650379823e-01 6.124581091424305956e-01
0.000000000000000000e+00 -1.649608294790736181e+03 7.707993261583324651e-01 7.767031869500884422e-02 2.034374233762141770e-01 3.249204248257879790e-01 9.493755784284456656e-01 4.050739710413198136e-01
0.000000000000000000e+00 -1.621627657296525285e+03 2.515871608257803649e-01 5.661449880739425344e-01 1.464027931569394925e-01 1.696746340272488052e-01 6.763419333698206248e-01 9.047136471756449527e-01
0.000000000000000000e+00 -1.617704859786976158e+03 9.297841954656692609e-01 8.703085618215687935e-01 8.646125240894455555e-01 6.691165231616205133e-01 4.105290631171291116e-01 4.502632754328883546e-01
0.000000000000000000e+00 -1.601549996200372334e+03 8.808041255514305057e-01 6.422670725656498547e-01 9.902633686378105038e-01 4.412069599763291938e-01 9.365789477642991745e-01 3.045526119588772840e-01
0.000000000000000000e+00 -1.586824406569070561e+03 6.444239691865996100e-01 2.140372574329141298e-02 2.452759901193763969e-01 7.702501118280118408e-01 8.004049451082336786e-01 5.916445592403233311e-01
0.000000000000000000e+00 -1.570019525581430571e+03 4.598308827803465615e-02 8.037642243154653476e-01 2.434668036842243533e-01 3.814010363702146078e-01 3.601758900976657074e-01 4.262285712074426192e-01
0.000000000000000000e+00 -1.541255472761045894e+03 5.967059985978240277e-03 6.714345405942110379e-01 2.781050007480477815e-01 3.447280154582144096e-02 5.620907256100626803e-02 6.478205086594280848e-01
0.000000000000000000e+00 -1.536454440466724918e+03 7.853253419183948703e-01 7.457068616116622195e-01 9.989122841791701068e-01 8.143452652114742119e-01 5.037711719253286091e-01 9.210044417398447480e-01
0.000000000000000000e+00 -1.530471924908762958e+03 5.614014120554966514e-02 1.932758982271095549e-01 2.657273503675059434e-01 7.393651404258427817e-01 2.852183521102061858e-01 2.536050406285702552e-01
0.000000000000000000e+00 -1.519612071666630072e+03 1.955876360012930304e-01 6.351259285197069504e-01 1.576489539662297990e-01 4.585072432799639497e-01 7.777193790379485216e-01 9.978142055910994568e-01
0.000000000000000000e+00 -1.502264281665717135e+03 7.313481868413145293e-01 8.405402436716326031e-01 9.586093904475757599e-01 1.395763884005019051e-01 4.503760053318492940e-01 6.561435048664028269e-01
0.000000000000000000e+00 -1.486449700225663037e+03 9.488887547360596031e-01 6.271617339086504872e-01 9.229855742500417959e-01 5.576991608811820988e-01 3.525493809903182951e-01 9.924297598554506772e-01
0.000000000000000000e+00 -1.475890522482000961e+03 1.100958171273448416e-01 6.533690104210643224e-02 2.744675842545888367e-01 2.761901661328654001e-01 2.885939774529203694e-01 9.148393180787092183e-01
0.000000000000000000e+00 -1.450529251836196636e+03 3.938688189930151795e-01 6.600909543748917363e-01 4.672409328202586920e-02 6.818737886220025413e-01 8.828754008633531436e-01 9.993482144875308615e-01
0.000000000000000000e+00 -1.435774382242974752e+03 7.100390394944819938e-01 7.265773282945779954e-01 9.980320333596787163e-01 5.461659088141588292e-01 9.105885624512766174e-01 3.435716675816619103e-01
0.000000000000000000e+00 -1.429613815884957148e+03 1.371395996391323591e-01 2.681007394959677992e-02 2.815272805848353377e-01 6.362433107229096274e-01 9.727000006305668300e-01 2.149430828586200715e-01
0.000000000000000000e+00 -1.426611631706538901e+03 7.381019274434333921e-01 8.131059251850928371e-01 9.346219976814413855e-01 6.457736709130068586e-02 8.511251412259424054e-02 9.280066323726179345e-01
0.000000000000000000e+00 -1.401053094988257726e+03 7.757237861628634157e-01 8.108808284786624965e-01 9.002990113996136579e-01 4.293923463726015965e-01 3.940566793283654112e-01 2.569924593170594962e-01
0.000000000000000000e+00 -1.386938873359189529e+03 8.913313586623051732e-01 1.181284935763378119e-01 2.037201544408737686e-01 6.591497935305966616e-01 4.196445921617526498e-01 7.334191105437278813e-01
0.000000000000000000e+00 -1.375706482433444762e+03 9.593696009745091846e-01 4.956627456134058418e-01 9.591369613364064683e-01 3.872970670082487299e-01 5.341720664530119622e-01 2.650447826221452585e-01
0.000000000000000000e+00 -1.364084489053564539e+03 7.491366335330654769e-01 1.269051614990276411e-01 2.262762293972077066e-01 2.396879095129278436e-01 6.593667278234430773e-01 3.821650853490590194e-01
0.000000000000000000e+00 -1.360458135025601223e+03 6.686374659464435766e-01 1.655232112395281785e-01 1.873788089858330341e-01 5.013402586777715442e-01 5.778848324686841620e-01 1.430888032017083589e-01
0.000000000000000000e+00 -1.358614276307340333e+03 8.736211704952562274e-01 1.420987331583146718e-01 1.865783898473843960e-01 5.327278242865551849e-01 9.909341865752246958e-01 2.595231383795186808e-01
0.000000000000000000e+00 -1.344442961734548589e+03 2.937534661263241365e-02 7.537452618565769757e-01 2.856609228947513124e-01 7.213406651591866003e-01 8.017684339219818268e-01 6.075240624456422767e-01
0.000000000000000000e+00 -1.340699023073828357e+03 9.177090105786405161e-01 6.190435750608082044e-01 8.619228480578359219e-01 1.729637478376624404e-01 6.357883073552775821e-01 8.366370735806467618e-01
0.000000000000000000e+00 -1.333735261520747372e+03 4.927024959882519983e-02 4.438413100229818831e-01 2.838008966959018053e-01 9.522045768807257948e-01 3.730268849792703900e-01 6.443881770281880694e-01
0.000000000000000000e+00 -1.319046082310222118e+03 8.336368050956045606e-01 6.863567710783053943e-01 8.932249408509189692e-01 5.489969838334137764e-01 3.110193922342695538e-01 7.906122467460329206e-01
0.000000000000000000e+00 -1.312535638070907225e+03 2.213300069638226564e-01 3.336173778822290048e-01 2.195769416368843485e-01 6.396730692662383477e-01 8.493319782203065937e-01 3.858586689571564809e-01
0.000000000000000000e+00 -1.306926649852368428e+03 5.613965424305353835e-01 7.474266222354922773e-01 1.283991186538524509e-02 1.741881230041592010e-01 1.740532729771970821e-02 1.719019495333397041e-01
0.000000000000000000e+00 -1.282659674338528930e+03 5.359096831644497572e-01 4.017281488223972685e-01 1.220363118199954133e-01 4.191740075380043784e-01 8.584563732931402846e-01 6.995346465473164521e-01
0.000000000000000000e+00 -1.273727066344063132e+03 3.683365060931316215e-01 5.638556326575339117e-01 1.451908045009391302e-01 1.772975610341692709e-01 8.509605104618322979e-01 2.925333440851614064e-01
0.000000000000000000e+00 -1.272068733541413167e+03 8.225587133211967883e-01 3.662339548645628939e-01 1.106929633452216066e-01 3.229847455174328363e-01 4.256383526087168523e-01 8.831916483867991996e-01
0.000000000000000000e+00 -1.271580361214806544e+03 6.058779267054935636e-01 5.880607266845705450e-02 3.009696838009844333e-01 7.265118721205721108e-03 3.507949415711553165e-02 3.421737080407228904e-01
0.000000000000000000e+00 -1.265028246008972928e+03 9.607530658030628556e-01 5.347887469830294727e-01 8.989484375194946031e-01 6.028374048072324687e-01 7.666250388166773178e-02 6.527297339745570248e-01
0.000000000000000000e+00 -1.259666995025419965e+03 5.911793270172057690e-01 1.747224507177335129e-01 2.532377904864492324e-01 9.805090722125797686e-02 5.312637953266894364e-01 3.352066775163975443e-02
0.000000000000000000e+00 -1.254200951641698339e+03 4.364571736422127035e-01 7.169159340031384664e-01 9.978367798153020551e-02 7.338468936075592808e-02 7.318044877744156462e-01 8.567056091166052045e-01
0.000000000000000000e+00 -1.253756037665951226e+03 6.831692764964402143e-01 5.756010881076378816e-01 9.863271899407847210e-01 6.780551767632647664e-02 8.147450146464716436e-01 6.202827115912693534e-01
0.000000000000000000e+00 -1.243867718442386831e+03 8.427461355048664338e-01 2.769224119404378737e-02 2.968099698440397338e-01 8.539258811844659958e-01 8.453012076184152068e-01 2.853183344872488592e-01
0.000000000000000000e+00 -1.223334472159720463e+03 3.350809756111805537e-01 7.030667784945201504e-01 9.760219537098524523e-02 5.963027046613897930e-01 7.716658839043807339e-01 3.724564062468183057e-01
0.000000000000000000e+00 -1.223241980854509166e+03 7.940955986193453109e-01 9.979723766653859629e-01 7.516174266580185614e-01 2.240852277150161553e-01 7.756556095760537284e-01 9.606531377269144079e-01
0.000000000000000000e+00 -1.221163578380308536e+03 9.751934085012726738e-01 2.806201813524563660e-01 9.951650672985367097e-01 2.012973451828159455e-04 2.667995951995278947e-01 6.999071738589991432e-01
0.000000000000000000e+00 -1.208829693822121044e+03 2.049061468682080722e-01 2.118872958844079113e-01 2.853729514058684913e-01 1.017531710922626731e-01 4.481986179084385125e-01 8.060040954403078217e-01
0.000000000000000000e+00 -1.180772246951739362e+03 1.038734155391352054e-01 6.179765010694309169e-01 2.648423527883509987e-01 8.881044244321384395e-01 3.286333731818646964e-02 5.012224454598251944e-01
0.000000000000000000e+00 -1.173683634077056922e+03 9.317520860623629275e-01 7.746382145769109551e-01 6.978877803450237449e-01 4.520153602135856818e-02 1.481385224998834627e-01 4.486133184723694045e-01
0.000000000000000000e+00 -1.170800051537107720e+03 7.427533158850692097e-01 9.977614896944073664e-01 7.730518100980635632e-01 7.312741795562049951e-02 8.004013114279227015e-01 6.506681342215676622e-01
