weight logl C sigma mu1 mu2 a1 a2 W lam0
1.000000000000000000e+00 -9.999999999999999673e+98 1.948725042867676791e+02 1.403942705063164764e+00 1.213398518912674263e+03 1.218020040632190558e+03 3.816503356995410172e+02 3.225611890960462347e+01 2.123985916453637213e+00 1.213758678442606879e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.639948383723241250e+02 1.880512217319645796e+00 1.210998493140169785e+03 1.212826390446016831e+03 4.006488049891374459e+01 2.171157536074989309e+02 9.741881155407249304e-01 1.212541631496815626e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.436339744744312554e+02 7.323238796475257661e-01 1.216979192920909782e+03 1.211868377650800994e+03 2.097973086625395354e+02 3.878180048542457143e+02 2.452922728884445291e+00 1.213662567432234709e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.003663523032099079e+02 1.237836355590492099e+00 1.217160349110225752e+03 1.216427841973838213e+03 1.292684355283986974e+02 1.119966644051965261e+02 1.204119839285660909e+00 1.216820315031732889e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.063511949854874388e+02 2.988958171007038533e+00 1.216874121623441624e+03 1.219615386121986376e+03 3.557984673852216702e+02 4.710061873068398342e+01 1.952492139162272933e+00 1.217194587115757940e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.194593901052057561e+02 6.683987694049315920e-01 1.217087931658555135e+03 1.214213134067519150e+03 3.127941706753736639e+02 5.090885422119950476e+01 3.044574600425018485e+00 1.216685535633613654e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.375976199303711951e+02 1.705318659074495979e+00 1.218357622833212417e+03 1.211131090605332020e+03 2.486603948710675809e+02 9.986143875690434157e+00 1.088590613081710679e+00 1.218078611983503606e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.643707483520668404e+02 1.725242853983282032e+00 1.217856774205868533e+03 1.217178626003129011e+03 2.215058673355013923e+02 1.748818767857107730e+02 2.411546750837846975e+00 1.217557582739450027e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.784471605180661413e+02 2.035093753847333709e+00 1.215075731624609261e+03 1.217963694019191053e+03 8.833986142208493675e+01 2.395485268336362310e+02 1.177560538400416412e+00 1.217185617677156642e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.818615978638990214e+02 1.741604514449650587e-01 1.215364632534978682e+03 1.212520621031501378e+03 1.977961980826354420e+02 3.065925768818976849e+02 2.773475988823137506e+00 1.213635900931873039e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.919227469044816416e+02 1.333064548884069334e+00 1.212405504314702512e+03 1.210897189311431248e+03 1.018188056009846889e+02 3.800575798201163025e+02 1.650698311559711806e+00 1.211215891029858540e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.039958408330744675e+02 2.706941345002165544e+00 1.212601349393204146e+03 1.213809107833179723e+03 2.348386385268304934e+02 2.047577877237698374e+02 4.227057762398442442e+00 1.213163906164612399e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.537276304940414775e+02 1.171222521624511792e+00 1.218374859100698131e+03 1.217470705388136139e+03 2.215821921194177833e+02 3.528369895276978241e+02 2.263920490364588645e+00 1.217819482671422520e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.076084358449144815e+02 8.552886586017817150e-01 1.211537329340187625e+03 1.210036237397214109e+03 2.948620421343410953e+02 3.517834594451960015e+02 6.009245432314283875e+00 1.210720716040698790e+03
