C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
1.753100485728380136e+02 2.969788330991230740e+00 1.217315045417790543e+03 1.210366076392728019e+03 1.217572036833964830e+03 3.180010953173504618e+02 3.102111125759310539e+02 1.062345589870703435e+02 4.189416253428297487e+00 1.214417155279611961e+03
2.046099525285359846e+02 1.762561383376667790e+00 1.211726583659000653e+03 1.216053608825092397e+03 1.216096162900585114e+03 3.680740702171963221e+02 2.038110777687705877e+02 1.255623644936700458e+02 3.408668561136424913e+00 1.213777706271745501e+03
2.192222941388654931e+02 2.227092736954257468e+00 1.211159988988608120e+03 1.213031189986228583e+03 1.218733280369130398e+03 3.721501114748378996e+02 3.443531958087619955e+02 1.269322922865101901e+02 3.847398837254386361e+00 1.213063690088529484e+03
1.411824765229076775e+02 2.169526985279039533e+00 1.214906121797301466e+03 1.211391984624783163e+03 1.214870718796862775e+03 9.666365489693262703e+01 6.924452936780318169e+01 3.612319315489515361e+02 3.733750312335367916e+00 1.214420248191418523e+03
2.579949786068341382e+02 2.364471209715842459e+00 1.211187283142480510e+03 1.211137966353402589e+03 1.218619607210510821e+03 3.638594319963729617e+02 1.967698016953589502e+02 2.339753693056789814e+02 3.079922746125735245e+00 1.213363556357217249e+03
2.609361989378545559e+02 1.792559233230207827e+00 1.219452076485644966e+03 1.214571195877206492e+03 1.212469507655679990e+03 5.586705953585995132e+01 6.204402080996121072e+01 6.683001027294940855e+01 7.079933384894945281e-01 1.215286925126509004e+03
2.256006337280659864e+02 2.217424714319890189e+00 1.211393532419452868e+03 1.218644904457410121e+03 1.212404025439104998e+03 2.029858478879083350e+02 2.722642552333237518e+02 2.469957060673193894e+02 3.201435196583403808e+00 1.214472645951032746e+03
1.616230492275758479e+02 1.668437702520268351e+00 1.218624704405301600e+03 1.214050547125170624e+03 1.216416441821978196e+03 2.877382200156209251e+02 1.970549475315200993e+02 3.496359317737041010e+02 5.162810028079065638e+00 1.216619203554336082e+03
2.115184717471719864e+02 1.304388897153120563e+00 1.218612994921680411e+03 1.211604402149968791e+03 1.217524977203719573e+03 3.742816356255492565e+02 2.585186583601184225e+02 2.491624783779138284e+02 4.169672582628109581e+00 1.216251279374572277e+03
2.878917745544964646e+02 2.495338349646390341e+00 1.216675246175621623e+03 1.213200749899788889e+03 1.212194716581876492e+03 4.098525784772797209e+01 3.203815315762694809e+02 2.495106545843130448e+02 2.121899609509942497e+00 1.213022951706394679e+03
1.467260788874304467e+02 2.516807174671706004e+00 1.213771943964598449e+03 1.215966693062845707e+03 1.219416745997526050e+03 9.709653128336346128e+01 1.910823712824292784e+02 4.605222830150155033e+01 2.277925869767973399e+00 1.215804470295217243e+03
2.944951327865862822e+02 9.956522882341722891e-01 1.212210788293172527e+03 1.219387711533802303e+03 1.218967261557649863e+03 1.482023196566755701e+02 3.660278758809498356e+01 7.189983472781716500e+01 8.716780462331640278e-01 1.215126527671698341e+03
2.759276953905938399e+02 1.281036384064308198e+00 1.213183110765007768e+03 1.211271966114266888e+03 1.218909731570143776e+03 3.451316229777149829e+02 3.408414686351513012e+01 2.798232230214987339e+02 2.388448147366344365e+00 1.215515752342229462e+03
1.088381368515480858e+02 1.967484840687241832e+00 1.213584150443460430e+03 1.215867582234524662e+03 1.212856084911390326e+03 1.290620799234976062e+02 1.928462964812805751e+02 1.152522819070629367e+02 4.016612843236328168e+00 1.214399503205536121e+03
1.663103532541127265e+02 1.737720383351380460e-01 1.210263843319746456e+03 1.212338434623076864e+03 1.214018212385334891e+03 1.759954407383900445e+02 2.283884544897756257e+02 1.385867143680529807e+02 3.264803417058411039e+00 1.212094731322192501e+03
1.117512932731367528e+02 1.807244740935316951e+00 1.217928328005239109e+03 1.219895609917659840e+03 1.217399282329997504e+03 3.748373085714464423e+02 1.286599882492811560e+02 1.889026873959442909e+00 4.522420357672709557e+00 1.218427176261349132e+03
