A w B x0 k b f sigma_v
5.831669452091217209e+01 4.687831434107629036e+00 5.629736650684090904e+01 -5.922173713771687886e-01 6.623414691518945130e-01 3.789306222903043864e+00 2.733788337083841924e+01 4.687831434107629036e+01
6.061440920039088098e+01 4.624570809865421239e+00 5.711187371442056104e+01 1.603078004533458056e-01 4.535278743147719283e-01 2.005386894655938335e+00 2.803156274453656849e+01 4.624570809865421239e+01
4.664028372844249759e+01 5.104969140795058813e+00 4.602333159058785128e+01 4.328869869910043633e-01 5.078787558869983787e-01 1.653548562350081852e+01 2.380972091516248668e+01 5.104969140795058991e+01
5.653596272148610069e+01 4.648075784449175352e+00 4.052039851658206260e+01 -1.000026924244661330e+00 6.321729373388804696e-01 1.843351453865354017e+01 2.627834392762608218e+01 4.648075784449175529e+01
5.225339357896252324e+01 4.926681012995061337e+00 5.856291906301450467e+01 -6.012640495209957692e-01 7.203750972033839961e-01 1.085638981966114969e+00 2.574358020100327238e+01 4.926681012995061337e+01
5.525844839048977519e+01 5.153118293198846622e+00 5.424715750050428653e+01 -3.079978843099357988e-01 6.971328864839374528e-01 4.763152377649330305e+00 2.847533212548172443e+01 5.153118293198846800e+01
5.489316712644405527e+01 4.679986433292159020e+00 4.770859868451037045e+01 -1.193227378273057582e+00 5.884377794325914568e-01 1.094852587026747770e+01 2.568992774321973371e+01 4.679986433292158665e+01
5.246855197610732802e+01 5.030360525403383853e+00 5.394028968128512247e+01 9.230989842039090121e-01 5.203193702066617465e-01 5.033952063684057343e+00 2.639357326856859842e+01 5.030360525403384031e+01
5.653107013480966714e+01 4.898613306798937472e+00 4.750723216797430837e+01 3.786036030046524559e-02 6.641047198775003046e-01 1.255396463357949521e+01 2.769238524099626630e+01 4.898613306798937117e+01
5.344980774909709709e+01 5.618354734762302627e+00 4.205639284515256549e+01 -1.129782701176063497e+00 6.087163650028661888e-01 1.655426962331853957e+01 3.002999804392744565e+01 5.618354734762302627e+01
6.239966201942441870e+01 4.521721096399292428e+00 3.995581522578189038e+01 -5.384872994934077894e-01 6.432361392948648948e-01 1.932542490630326526e+01 2.821538681614170585e+01 4.521721096399292605e+01
5.317071655861263224e+01 4.616960985995993916e+00 4.970399832580016408e+01 -6.730470651352469247e-01 5.776365972830808104e-01 1.226619805438392063e+01 2.454871239485657242e+01 4.616960985995994093e+01
5.679522893069440670e+01 5.080339528431721874e+00 5.159743299611707812e+01 -6.155615050864593485e-01 5.413726414654138619e-01 7.368428289124516084e+00 2.885390465629357237e+01 5.080339528431721874e+01
6.771910127217914521e+01 3.631354969144097833e+00 4.277455926261198726e+01 1.764548991648950960e-01 5.686430587268513914e-01 1.813702203154847581e+01 2.459120949107001408e+01 3.631354969144097566e+01
5.569683774590144054e+01 5.169730713173596115e+00 5.581732341983411771e+01 -7.777905814604597623e-01 5.428517223878397413e-01 2.252930342854480905e+00 2.879376527216331283e+01 5.169730713173596115e+01
5.469221738312926817e+01 4.948617740876105842e+00 4.550290904431348338e+01 2.152152514715410803e-02 6.117762779723250333e-01 1.231921249025880272e+01 2.706508772300060173e+01 4.948617740876105842e+01
5.510545079664341728e+01 4.010584977683440577e+00 5.265023546473124583e+01 -8.548699816836631271e-01 7.134139044929583839e-01 1.111841015049830084e+01 2.210050931534920693e+01 4.010584977683440400e+01
4.780708207874116056e+01 5.665050949935634073e+00 4.447601652523581350e+01 -6.348498632405075170e-02 6.522210263553018805e-01 1.320281252161997543e+01 2.708295557438234624e+01 5.665050949935633895e+01
5.000432703248932853e+01 5.306044261449135213e+00 5.620005604230532725e+01 -6.463458731075952812e-01 5.817833030149690554e-01 3.024059365428009905e+00 2.653251724983658733e+01 5.306044261449135035e+01
5.564622645763878950e+01 4.784368323335813855e+00 5.744113054509961813e+01 -4.245765758884090246e-02 6.695788165121219215e-01 1.532898927440468073e+00 2.662320431770983120e+01 4.784368323335813500e+01
5.495343057453811753e+01 5.174016740692867877e+00 4.913424853776341195e+01 -3.375482764860677776e-01 4.582648680745973202e-01 6.917023849751963382e+00 2.843299697511634960e+01 5.174016740692867700e+01
5.197329910720137747e+01 4.707563737053606090e+00 6.159632770710300775e+01 -4.831614012700331529e-01 5.434887927649925121e-01 6.380115838098410208e-01 2.446676181721017684e+01 4.707563737053605735e+01
4.841716156298841156e+01 5.459171230134985286e+00 5.455751748828963343e+01 -6.729835135449206973e-01 8.626154979392797184e-01 3.796542997338937298e+00 2.643175754494637886e+01 5.459171230134985109e+01
6.232252393756929365e+01 4.720759948677674345e+00 4.644432112806543245e+01 -4.455141981961876496e-01 5.764827099897691376e-01 1.108437505398443435e+01 2.942096749049827764e+01 4.720759948677674345e+01
5.790337246506214086e+01 4.725531587595094507e+00 5.500842294379503272e+01 -5.011098525513570934e-01 4.986801227322905650e-01 4.638233823378352660e+00 2.736242156119352131e+01 4.725531587595094152e+01
5.522992210682604508e+01 5.412525473906250717e+00 4.211418332847492252e+01 -4.729187398292271638e-01 7.476015792515817715e-01 1.712382232266143589e+01 2.989333603250539539e+01 5.412525473906250539e+01
5.414739290007640449e+01 4.723882440074204325e+00 5.040102702081144770e+01 3.666022421847472401e-01 6.424836954316512916e-01 7.571699680960941592e+00 2.557859184964695842e+01 4.723882440074204681e+01
5.385287938160976751e+01 4.498392173300693742e+00 5.300116382160175021e+01 -4.054953134759973210e-01 7.589070655612013550e-01 8.228469174011888043e+00 2.422513711199396624e+01 4.498392173300693742e+01
5.786734897646652342e+01 4.972167996138216139e+00 4.340810596291043311e+01 -1.881283809910776483e-01 6.647303321752056071e-01 1.507910375668014424e+01 2.877261806021484247e+01 4.972167996138216495e+01
6.028736152835814011e+01 4.600413783674974333e+00 5.246372909908192383e+01 -8.762261009460488026e-01 7.002756254985020856e-01 5.784364537890953173e+00 2.773468089564551775e+01 4.600413783674974155e+01
5.647569544974577838e+01 4.500005750419675543e+00 5.100302136509505857e+01 1.495654541121922421e-01 5.645479851293575546e-01 7.214781653958414864e+00 2.541409542828063195e+01 4.500005750419675365e+01
5.891939889869358637e+01 4.405518443129075479e+00 5.080598868842681526e+01 -3.732774463990846670e-01 5.866463836850146496e-01 1.012514849049602006e+01 2.595704985062734949e+01 4.405518443129075479e+01
6.091476669556166001e+01 5.132832630322194056e+00 5.072949577176810720e+01 -3.276875444633073897e-01 7.107534185308832519e-01 8.716452993919570957e+00 3.126653021634425755e+01 5.132832630322194234e+01
5.782654164059447766e+01 4.501622456553676876e+00 3.924673832419567532e+01 -7.226353684775617126e-01 6.562449375703531818e-01 1.927077794278584477e+01 2.603132584341364009e+01 4.501622456553676699e+01
4.947242676500926706e+01 5.592240847755645561e+00 5.193295635602799365e+01 1.111017720321001434e-01 6.035103502204255399e-01 6.364659614701131396e+00 2.766617257928844964e+01 5.592240847755645916e+01
5.795650126014623282e+01 4.244115249870388240e+00 4.313285830392791098e+01 -1.503390792685070920e-01 6.830650575837331484e-01 1.826731204053129431e+01 2.459740708273189824e+01 4.244115249870388595e+01
5.489135401257571800e+01 4.595012053669636387e+00 4.262149486235937701e+01 -3.558279480655812677e-01 6.044684108578193271e-01 1.664097948242776681e+01 2.522264333300325845e+01 4.595012053669636032e+01
5.290459595902056122e+01 5.002213058739358509e+00 5.643825362632512110e+01 -4.721510495285201614e-01 6.340833351422041630e-01 3.239660587239718836e+00 2.646400607735421318e+01 5.002213058739358331e+01
5.050009929936963005e+01 4.981584790360901849e+00 4.808887172521618680e+01 -6.773915231269072024e-01 5.323643512146256640e-01 1.282075626442264493e+01 2.515705265814549918e+01 4.981584790360901849e+01
5.573835356618461390e+01 4.977746174078610863e+00 4.958250489975227282e+01 1.601348121444079453e-01 5.088615190721372805e-01 8.884587187997555091e+00 2.774513762135163830e+01 4.977746174078610863e+01
5.408212050709740026e+01 4.275172867493217232e+00 5.151436688287785159e+01 -9.064419446731442065e-02 5.348872516598386362e-01 6.598354652722838054e+00 2.312104142084412928e+01 4.275172867493217410e+01
