weight logl A w B x0 k b f sigma_v
0.000000000000000000e+00 -8.591573688981989108e+03 5.884774091110943628e-01 1.256257394582961373e-01 9.050946370133516883e-02 6.140032374346431343e-01 1.291010896110779127e-01 3.742959223387080092e-01 2.025291405727059901e-01 5.970348230739686013e-02
0.000000000000000000e+00 -8.484191252303247893e+03 4.100411413763299651e-01 3.309428936884882821e-01 1.816606936772549030e-01 6.940015073200054285e-01 9.813485524874722143e-01 3.723805785822587033e-02 8.153510033464650419e-03 2.493009713479181766e-01
0.000000000000000000e+00 -6.893471763094780727e+03 1.255641423583996330e-01 3.781691908567234028e-01 1.155500424143962590e-01 4.359015605756224598e-01 8.741141806557718441e-01 1.832257997530258864e-01 4.429936594183112586e-01 3.425980150440187666e-01
0.000000000000000000e+00 -6.429128975571909905e+03 7.790029122183020904e-01 2.857257056688554675e-01 2.963824440774487368e-02 5.950429376398018722e-01 3.391855520097034615e-01 2.137500504199452145e-01 4.402901210425400613e-01 5.124083662539160589e-01
0.000000000000000000e+00 -5.994651072187552927e+03 5.626354872084915471e-02 3.635034854293681672e-01 5.705975148806186059e-02 6.510539134751225365e-01 2.041226297446001592e-01 4.278834719974587975e-01 3.503314122155709587e-02 1.962323190723229693e-01
0.000000000000000000e+00 -5.760130299776670654e+03 5.963072465289187551e-01 5.700124531843414610e-01 2.177927130035330894e-01 4.780362680347760573e-02 1.603178860885423607e-02 6.984101116225271966e-03 4.622332616446758191e-01 6.477957073229425600e-01
0.000000000000000000e+00 -5.759944854332185059e+03 1.620946537208975968e-01 4.959240509070307334e-01 6.311727992087645678e-02 1.783471396222960914e-01 8.593151068006774640e-01 2.546877692496012369e-01 8.641884832426423024e-01 6.656229810249074674e-01
0.000000000000000000e+00 -5.136654125955858945e+03 3.080267934277147734e-02 3.304062901502616834e-01 1.667810937376562608e-01 8.033789147039021028e-01 9.221288394389949294e-01 1.546077230888204257e-01 4.909846633794154869e-01 3.198145337500192253e-01
0.000000000000000000e+00 -4.379068239993205680e+03 2.475737515510274545e-01 7.232682233207898825e-02 1.679731455357262870e-01 3.421180862164161507e-01 9.981523802741805174e-01 3.510972159922681746e-01 9.348934075894574924e-01 5.842151713237832000e-01
0.000000000000000000e+00 -4.236966320480503782e+03 3.112554601876338367e-02 8.928439635086761195e-01 5.330293655491080695e-02 3.566308000667469669e-01 4.353993109706355558e-01 1.726131496106871888e-01 1.426979067576250593e-02 1.973317262911858938e-01
0.000000000000000000e+00 -4.167624445532779646e+03 9.591215882568894235e-01 4.005484626279954830e-01 5.329797555143633847e-02 6.295942065830988366e-01 9.509246368379526970e-01 6.951609554349134079e-01 8.670410290309423784e-01 3.222907443931318783e-01
0.000000000000000000e+00 -3.381094932366311696e+03 2.085763568501458609e-01 1.809142797312235373e-02 4.890731378571100407e-02 5.354923505255694272e-01 5.100895140639430947e-01 3.821554957775294969e-01 7.413131353142001778e-01 9.357539597731546754e-01
0.000000000000000000e+00 -3.358580544717293378e+03 2.810726725050682884e-02 3.912819558332453207e-01 3.728668046434346905e-03 9.865927343920173342e-01 2.901162511298831514e-01 7.345313131924582351e-01 4.070561450321341646e-02 8.315657306118454661e-01
