weight logl A w B x0 k b f sigma_v
0.000000000000000000e+00 -8.591573688981989108e+03 5.884774091110943317e+01 3.386889049707626498e+00 9.050946370133516439e+00 2.280064748692861798e+00 -7.417978207778441746e-01 7.485918446774160628e+00 1.993107692918680485e+01 3.386889049707626498e+01
0.000000000000000000e+00 -8.484191252303247893e+03 4.100411413763299606e+01 7.287914980081277250e+00 1.816606936772549119e+01 3.880030146400109459e+00 9.626971049749444287e-01 7.447611571645174067e-01 2.988344976686179777e+01 7.287914980081276894e+01
0.000000000000000000e+00 -6.893471763094780727e+03 1.255641423583996286e+01 8.185214626277744543e+00 1.155500424143962590e+01 -1.281968788487549915e+00 7.482283613115436882e-01 3.664515995060517728e+00 1.027769454567993535e+01 8.185214626277743832e+01
0.000000000000000000e+00 -6.429128975571909905e+03 7.790029122183021570e+01 6.428788407708253771e+00 2.963824440774487368e+00 1.900858752796036555e+00 -3.216288959805930769e-01 4.275001008398904290e+00 5.008044891639990936e+01 6.428788407708253771e+01
0.000000000000000000e+00 -5.994651072187552927e+03 5.626354872084915471e+00 7.906566223157994955e+00 5.705975148806185615e+00 3.021078269502449842e+00 -5.917547405107996816e-01 8.557669439949176393e+00 4.448514739112701122e+00 7.906566223157994955e+01
0.000000000000000000e+00 -5.760130299776670654e+03 5.963072465289187818e+01 1.183023661050248698e+01 2.177927130035330805e+01 -9.043927463930447885e+00 -9.679364227822915279e-01 1.396820223245054393e-01 7.054455818994347283e+01 1.183023661050248734e+02
0.000000000000000000e+00 -5.759944854332185059e+03 1.620946537208975968e+01 1.042255696723358405e+01 6.311727992087645234e+00 -6.433057207554078616e+00 7.186302136013549280e-01 5.093755384992024737e+00 1.689440762490056258e+01 1.042255696723358369e+02
0.000000000000000000e+00 -5.136654125955858945e+03 3.080267934277147734e+00 7.277719512854972095e+00 1.667810937376562563e+01 6.067578294078042944e+00 8.442576788779898589e-01 3.092154461776408514e+00 2.241732605011027779e+00 7.277719512854972095e+01
0.000000000000000000e+00 -4.379068239993205680e+03 2.475737515510274633e+01 2.374209624309500555e+00 1.679731455357262959e+01 -3.157638275671676986e+00 9.963047605483610347e-01 7.021944319845363935e+00 5.877919836588585412e+00 2.374209624309500555e+01
0.000000000000000000e+00 -4.236966320480503782e+03 3.112554601876338367e+00 1.796403530666484727e+01 5.330293655491081140e+00 -2.867383998665060219e+00 -1.292013780587288885e-01 3.452262992213743775e+00 5.591404076202868723e+00 1.796403530666484585e+02
