weight logl C sigma mu1 mu2 a1 a2 W lam0
0.000000000000000000e+00 -7.408422959380158318e+03 1.097824001436620023e+02 5.830720596727295701e-01 1.218307377944595146e+03 1.216547950916939044e+03 2.433891225397469213e+02 3.716818013685112305e+02 5.602636880805776265e+00 1.217244172090446909e+03
0.000000000000000000e+00 -6.820249296522279110e+03 1.064439962893570168e+02 6.665965512689526751e-01 1.212279411831887955e+03 1.217786215011156855e+03 1.336548569094667585e+02 3.883061481345937409e+02 4.903620901503578544e+00 1.216376126932083480e+03
0.000000000000000000e+00 -6.655225986309302243e+03 1.205617570712652196e+02 6.878194742130252504e-01 1.218570233133387774e+03 1.216769758044853234e+03 2.056047524190432227e+02 3.472159705454129153e+02 4.585373806701228183e+00 1.217439389662187978e+03
0.000000000000000000e+00 -6.535208549609178590e+03 1.187816472196229256e+02 8.575757835661677042e-01 1.218843476410725771e+03 1.210319942392125768e+03 2.694322901448762764e+02 3.523901795574986977e+02 5.235004600943510944e+00 1.214013143269633929e+03
0.000000000000000000e+00 -5.229798301105526662e+03 1.122488035193561302e+02 2.958004664958970298e-01 1.211303413852698441e+03 1.211408812646064916e+03 1.657583076176010195e+01 3.973665639539563017e+02 3.687722111392807811e+00 1.211404592076769177e+03
0.000000000000000000e+00 -4.769826658447801492e+03 1.020331036695389315e+02 2.700128513122354024e-01 1.218524715867864415e+03 1.214017082904036442e+03 2.362429330717232290e+02 3.283449200308064064e+02 5.533379195551043850e+00 1.215903231227514652e+03
0.000000000000000000e+00 -4.486621293167745534e+03 1.534831358366507743e+02 5.303858340228929658e-01 1.217966300615604268e+03 1.217086063933260903e+03 3.438725243430516230e+02 3.028259548706459441e+02 4.213482319659969555e+00 1.217554117005451189e+03
0.000000000000000000e+00 -4.477703592012691843e+03 1.181935686840967890e+02 4.275187965952735869e-01 1.211218547600899228e+03 1.214382035019689056e+03 1.694492989417129820e+02 2.490672243735116922e+02 3.540941592463626275e+00 1.213101199746857674e+03
0.000000000000000000e+00 -4.215649649640519783e+03 1.763340081066430685e+02 4.917317604363211636e-01 1.212879043830892442e+03 1.212945003218674628e+03 3.774777779273392753e+01 3.658166199012165976e+02 2.288636219565106877e+00 1.212938833644927172e+03
0.000000000000000000e+00 -4.064694020835457650e+03 1.356084654512899874e+02 4.004069923257616015e-01 1.214232844653312668e+03 1.213641366554722254e+03 2.940190919823812692e+02 3.056978754747154312e+02 4.422415410876488373e+00 1.213931346433418184e+03
0.000000000000000000e+00 -4.016775430317435166e+03 2.255889764302267224e+02 3.578288185193266857e-01 1.218750971219521944e+03 1.219506136647544736e+03 1.543007755001627572e+02 3.982874686105031401e+02 2.449535668164964708e+00 1.219295269673054008e+03
0.000000000000000000e+00 -3.842876639275698381e+03 1.611659601469439451e+02 8.126539217303333507e-01 1.213745357250573306e+03 1.217905547402745924e+03 5.528835067412689597e+01 3.815659787655189916e+02 2.710586832612429831e+00 1.217379033101515688e+03
0.000000000000000000e+00 -3.679084852641386533e+03 1.704568892316411848e+02 2.976338263129561512e-01 1.212078514766182707e+03 1.214161189400357671e+03 1.608656196354694146e+02 3.446075934281335549e+02 2.965402075223217970e+00 1.213498383267674626e+03
0.000000000000000000e+00 -3.659531216951825172e+03 1.346444976151632602e+02 2.379470221610524849e-01 1.219539540073107673e+03 1.212672307773698321e+03 5.006907104720190915e+01 3.617955322486983505e+02 3.058904081420979804e+00 1.213507135382444631e+03
0.000000000000000000e+00 -3.639229909643003793e+03 1.353844286520707101e+02 2.240722796983576348e-01 1.219298207410625082e+03 1.210704418853675861e+03 3.609032882248612850e+02 2.536729147166026337e+02 4.539489578383384405e+00 1.215751029076570603e+03
0.000000000000000000e+00 -3.612664153877198714e+03 2.031051217143452163e+02 6.222776915500336514e-01 1.212310454532339918e+03 1.215436670906788549e+03 1.702938620284744502e+02 3.831575832778319750e+02 2.724950708454814574e+00 1.214474751908371672e+03
0.000000000000000000e+00 -3.298650436035209168e+03 2.794415584578927678e+02 2.237505177292166691e-01 1.218822918767036072e+03 1.214630275797807371e+03 7.370563420886431061e+01 2.859644826235124242e+02 1.287103173977513615e+00 1.215489455903677481e+03
0.000000000000000000e+00 -3.242802791614377838e+03 2.130352278555978103e+02 6.143433448713853107e-01 1.212714098956450471e+03 1.212572756053757075e+03 3.587095565712241410e+02 3.858861669875349776e+02 3.495176506974096764e+00 1.212640848104712404e+03
0.000000000000000000e+00 -3.213032724067519666e+03 1.161520905991491759e+02 3.066954393419368818e-01 1.219747777518404291e+03 1.216906111996489699e+03 3.774443803824019597e+02 1.415945127002588322e+02 4.468614300485632462e+00 1.218972567317020548e+03
0.000000000000000000e+00 -3.107601545486862506e+03 2.202681493803396222e+02 4.855926911464248930e-01 1.210465313669254556e+03 1.211864149920339059e+03 1.966650342329452172e+01 3.848106437672939251e+02 1.836294300054126083e+00 1.211796135650282849e+03
0.000000000000000000e+00 -3.038621010314497198e+03 1.614090986229208227e+02 4.471987283163291194e-01 1.214778250103067421e+03 1.219904757857706727e+03 1.808738722969937669e+02 2.916430942929487173e+02 2.927449385575361607e+00 1.217942391689918168e+03
0.000000000000000000e+00 -2.915609218648596197e+03 2.854129379948179235e+02 4.098503732348000028e-01 1.211537349047469661e+03 1.216723549315980563e+03 2.031780699567603392e+02 3.826779389297096827e+02 2.052661007599827503e+00 1.214924946681575420e+03
0.000000000000000000e+00 -2.774025564983454842e+03 1.512350834675702345e+02 2.856482635536305437e-01 1.218152795225955060e+03 1.218665584590105254e+03 1.251907355116697040e+01 1.592846927573557423e+02 1.136004704525871878e+00 1.218628218425765681e+03
0.000000000000000000e+00 -2.739349635162027880e+03 2.910741423838564401e+02 1.522360075098226351e-01 1.212415969745243274e+03 1.213443941301478162e+03 2.124979888702848427e+02 3.744813442900454561e+02 2.016597312124848163e+00 1.213071795510348466e+03
0.000000000000000000e+00 -2.730801437159329453e+03 1.849411479311069684e+02 1.733598019339637197e-01 1.218138305570814737e+03 1.219158341661600844e+03 3.579198151726053538e+02 2.592251928821468709e+02 3.336980520336377154e+00 1.218566760875369937e+03
0.000000000000000000e+00 -2.632896995553575380e+03 2.738743281727045087e+02 1.329725081454254665e-01 1.217389523705975989e+03 1.214255220980532613e+03 3.969693999645791109e+02 3.207687182560559336e+02 2.620684176605377225e+00 1.215988753366009405e+03
0.000000000000000000e+00 -2.478884629499159928e+03 1.106815822886775038e+02 1.885963640786714746e-01 1.210392986358254120e+03 1.213716315959712347e+03 1.166686128630360031e+02 2.993265462535275105e+02 3.758485833998769454e+00 1.212784266039919430e+03
0.000000000000000000e+00 -2.460946127273781713e+03 2.457288620835250299e+02 1.747349810606029230e-01 1.219921355649673160e+03 1.216699104181815528e+03 1.980128943811736804e+02 3.529642765316485225e+02 2.242215937684768345e+00 1.217857132813958970e+03
0.000000000000000000e+00 -2.416435987422663857e+03 1.594098356835384038e+02 3.865520921278745581e-01 1.212762770334871220e+03 1.212963497245076724e+03 7.039322150795879196e+00 1.979483848707747313e+02 1.285916305870321130e+00 1.212956604239609305e+03
0.000000000000000000e+00 -2.382993920736485961e+03 1.466795018593938948e+02 4.336667002924576853e-01 1.215319297071614301e+03 1.219945525354372421e+03 2.398019785743746297e+02 3.338512880651877595e+02 3.910930016584478253e+00 1.218011641665291563e+03
0.000000000000000000e+00 -2.357318057940175549e+03 2.543039614923683303e+02 3.954123617649732969e-01 1.217904380470039314e+03 1.210247822364889544e+03 3.136565235109023888e+02 3.202517824172670657e+02 2.492718958085098802e+00 1.214036271537840776e+03
0.000000000000000000e+00 -2.297235902063584035e+03 2.718357826462017783e+02 2.447572771197298325e-01 1.219104178295802512e+03 1.212133088344646922e+03 1.462964558266003223e+02 2.572154761839681214e+02 1.484395939646198315e+00 1.214660512374020527e+03
0.000000000000000000e+00 -2.273803953784958139e+03 2.612768308312346335e+02 5.869048195571491267e-01 1.213266609539041383e+03 1.218972061099663733e+03 3.358752704948905716e+02 3.967509069529897943e+02 2.804022749040087081e+00 1.216356375030548634e+03
0.000000000000000000e+00 -2.209994302455200796e+03 1.845295543253268420e+02 5.949145848387019653e-01 1.219337103399999705e+03 1.211320890042420160e+03 3.257609016898084633e+02 3.008910152528048343e+02 3.395943371964264212e+00 1.215488066142740308e+03
0.000000000000000000e+00 -2.159774773945525794e+03 1.911031596895202824e+02 2.257086760960004823e-01 1.218720598643557196e+03 1.216408867140189159e+03 2.444538858456038781e+02 2.015126594975862417e+02 2.333642970988752285e+00 1.217676028892412432e+03
0.000000000000000000e+00 -2.119183520463893274e+03 2.276483525263031424e+02 1.049345590826250563e-01 1.211066166096822371e+03 1.211504636495015120e+03 1.572728207885565723e+02 3.126747966731417705e+02 2.064357647426414921e+00 1.211357897850549989e+03
0.000000000000000000e+00 -2.102534563299657748e+03 2.856404110701085983e+02 1.094325103011615091e-01 1.212328010304730242e+03 1.214404087880115640e+03 1.985981449475458476e+02 1.708576569852437217e+02 1.293429737580474859e+00 1.213288108233614594e+03
0.000000000000000000e+00 -2.095246763050088248e+03 1.743591915221090574e+02 1.470820049317806411e-01 1.212080100500412300e+03 1.219207549009379363e+03 7.627028631858445351e+01 1.007150114757990451e+02 1.015061473096710465e+00 1.216136036599736144e+03
0.000000000000000000e+00 -2.075066493366361556e+03 1.025006663416195352e+02 6.744497420708379654e-01 1.215724551842521805e+03 1.216263311032437969e+03 3.526807865603172445e+02 2.348913553092069151e+02 5.732373874636416566e+00 1.215939929440074366e+03
0.000000000000000000e+00 -2.025282396212983258e+03 1.743755763918831008e+02 1.650886865546671856e-01 1.214089317233831707e+03 1.218380200644968454e+03 2.957462056968469710e+01 3.109030330370935644e+02 1.952553566570616184e+00 1.218007485292143201e+03
0.000000000000000000e+00 -2.024156527378438113e+03 2.733666449450552136e+02 1.910884501754929743e-01 1.211496247650160967e+03 1.219750593214675973e+03 3.509998560849272167e+02 2.901628386126425312e+02 2.345431333901175197e+00 1.215231811742858326e+03
