C sigma mu1 mu2 a1 a2 W lam0
1.983868438750666314e+02 7.143914449194297411e-01 1.215660537037636459e+03 1.217871345005920602e+03 6.194925509393629426e+01 2.625151683050169709e+02 1.635513812615938978e+00 1.217449240464053673e+03
2.052937858895176078e+02 6.446360666052564081e-01 1.215678776049553562e+03 1.216020478150939425e+03 3.291039648171656609e+02 2.196415676822673788e+02 2.672976827436705172e+00 1.215815546156613664e+03
1.927500403388513064e+02 5.506234773025436846e-01 1.215573618301020815e+03 1.214104315907940645e+03 2.496488203632698912e+02 2.044621591890948480e+02 2.355957896320256317e+00 1.214912069135028560e+03
2.051420164614367536e+02 7.461654575611716966e-01 1.215762681611550533e+03 1.214058876063110574e+03 3.640994333340042886e+02 2.812002265306867912e+02 3.145624046188492784e+00 1.215020219564869649e+03
2.052291736234386121e+02 6.929609837026179386e-01 1.215719436844447500e+03 1.218441000687633959e+03 2.090797835454669666e+02 2.956441363179163204e+02 2.459318580064390414e+00 1.217313604190569777e+03
1.978119574710877941e+02 6.633667874978029788e-01 1.215633655547311946e+03 1.219638019557063672e+03 5.661966643594662685e+01 2.533120458143378926e+02 1.566799682954374218e+00 1.218906485010714505e+03
1.942066946277730608e+02 6.370226097065780912e-01 1.215695689644554477e+03 1.210689652842628902e+03 2.589810369812739737e+02 2.332381315062928877e+02 2.534511847961680608e+00 1.213323578307402613e+03
2.022672657207816656e+02 6.016756972064679632e-01 1.215724453495986836e+03 1.212552385828817933e+03 3.473412008580189649e+02 2.418144167258437562e+02 2.912758104898487410e+00 1.214422502585466646e+03
2.009348718998774075e+02 7.114254494828778919e-01 1.215674312307332457e+03 1.219067648869855930e+03 5.767346427462780412e+01 2.486691489296411817e+02 1.524586600164229200e+00 1.218428803777547500e+03
1.936889228829868443e+02 5.126743933172014378e-01 1.215632953308798051e+03 1.218300490988391175e+03 4.238238865521279308e+01 2.038957876671011320e+02 1.271513996033205141e+00 1.217841430342509966e+03
1.958659585115352115e+02 7.432506403581274901e-01 1.215610101498100903e+03 1.212069672100379648e+03 3.510765240434109842e+02 2.638479035057317788e+02 3.139516597075891813e+00 1.214090996332898612e+03
2.029054469234207829e+02 5.971144947157550620e-01 1.215657035270138977e+03 1.214900172880712944e+03 4.534288586594043835e+01 2.414037856028872113e+02 1.413203419704398778e+00 1.215019854566167851e+03
2.012479089396800305e+02 5.915315274941909118e-01 1.215745092635605033e+03 1.217054456463987890e+03 1.966131372271702560e+02 2.312135634767770398e+02 2.125869048568249209e+00 1.216452721860592419e+03
1.941402850349921891e+02 6.247901925947136892e-01 1.215722820747193509e+03 1.215076703430246425e+03 2.126832232677791410e+02 1.976475468228017860e+02 2.113578693966696065e+00 1.215411599868909889e+03
1.917312490224280737e+02 5.925200554966818522e-01 1.215755636444677975e+03 1.213701541245970247e+03 1.837567611788887518e+02 2.099609363978440228e+02 2.053487366217892962e+00 1.214660232925797573e+03
1.974337465995004095e+02 5.915234362353941622e-01 1.215756890926980304e+03 1.214864706096714372e+03 2.524635389462320916e+02 2.327228104717107158e+02 2.457464125432194280e+00 1.215328948629327670e+03
2.000273177701070608e+02 5.983936018460235262e-01 1.215679498397267025e+03 1.214960071114204311e+03 2.704484999049539056e+02 2.144786957074254019e+02 2.424304845049764179e+00 1.215361302538747168e+03
2.004706529573016667e+02 6.305822982454425407e-01 1.215577147372224317e+03 1.213863853923975284e+03 3.520860196985515813e+02 2.317051500764710283e+02 2.912102899666638489e+00 1.214897145796139284e+03
2.057524620475120685e+02 6.860867846059551800e-01 1.215719026019404737e+03 1.215820351373470203e+03 3.062549128796320588e+02 2.704636345069259846e+02 2.802972764687418294e+00 1.215766544559691738e+03
1.967439909978951107e+02 6.511108641063957370e-01 1.215739532361124702e+03 1.213824807121468439e+03 2.969246285472029854e+02 2.478320070128260113e+02 2.768860348908227742e+00 1.214868445773011217e+03
