weight logl A T phi m0
0.000000000000000000e+00 -3.305219088371870384e+03 2.467870828146464746e+00 1.457642791987609598e+02 3.986838055986609675e+00 1.178351021929011821e+01
0.000000000000000000e+00 -3.296617400425182041e+03 2.341788489671423612e-01 3.794509905043172182e+01 6.255610143070416962e-01 1.912807110728627791e+01
0.000000000000000000e+00 -3.244241484832803053e+03 1.686573497338233363e+00 1.312898110850070452e+02 1.256059508023725124e+00 1.924865777553296198e+01
0.000000000000000000e+00 -3.230752000649948968e+03 2.319032043241140428e+00 7.918041536468723507e+01 4.261694240317326354e+00 1.898185512053487400e+01
0.000000000000000000e+00 -3.225232458098890675e+03 1.346393369498604997e+00 8.404081424831001357e+01 3.787389057901408229e+00 1.089421383267283794e+01
0.000000000000000000e+00 -3.219139162328060138e+03 8.040416022505222360e-01 2.531592844148947563e+02 2.561716661520966554e+00 1.920419453535108190e+01
0.000000000000000000e+00 -3.209073740252472817e+03 1.835802772329059085e+00 3.155650882031383730e+01 5.179109047929471465e+00 1.837095309947044797e+01
0.000000000000000000e+00 -3.190512483664198044e+03 1.317182400506045292e+00 7.371606256249415878e+01 2.822332357927778146e-01 1.107771077837416485e+01
0.000000000000000000e+00 -3.169845265083861705e+03 1.586257418422321486e+00 2.769083482613589808e+02 2.892448374115482057e+00 1.916618659061348851e+01
0.000000000000000000e+00 -3.140636532182125848e+03 5.000461973618175460e-02 1.559011665369268087e+02 5.324077910281456383e+00 1.902982863025665949e+01
0.000000000000000000e+00 -3.108555758774940841e+03 1.511990104553538217e+00 2.020879605941411228e+02 3.996670245333677762e+00 1.857405599614599367e+01
0.000000000000000000e+00 -3.102022867100726216e+03 1.982262012411546648e+00 1.820839150774808104e+02 3.581903187422336821e+00 1.857772853520599909e+01
0.000000000000000000e+00 -3.076583566125872039e+03 5.498680583219245355e-01 8.508566700526577620e+01 4.626549358387358701e+00 1.113259169245921676e+01
0.000000000000000000e+00 -3.043742317743028252e+03 1.053827603168447480e+00 6.720100742908256564e+01 4.614377390521289257e+00 1.884227402071940460e+01
