weight logl A T phi m0
0.000000000000000000e+00 -4.067721066604533007e+03 9.328461612344819409e-01 7.657894916368552796e-01 8.622989151454306667e-01 3.171446272545908052e-02
0.000000000000000000e+00 -4.009259175562230666e+03 2.689416792513157350e-01 8.900801422620172598e-01 6.587346054153192521e-01 6.551549532397427100e-02
0.000000000000000000e+00 -4.001550256961748346e+03 7.860313286600062455e-01 7.296738023143770624e-01 5.842231783448094129e-01 8.968482527719712216e-01
0.000000000000000000e+00 -3.983304596456027866e+03 9.301792106358615086e-01 8.156820452008259892e-01 8.235128217284818364e-01 3.584397975055608754e-02
0.000000000000000000e+00 -3.976430049983573554e+03 4.464333445060589822e-01 3.369394601289864566e-01 7.664979350934738589e-01 9.342602577694060217e-01
0.000000000000000000e+00 -3.966307765411394939e+03 7.362845587651166701e-01 1.417129665195567823e-01 1.652957888649219109e-01 9.333468199519375785e-01
0.000000000000000000e+00 -3.963294421216437968e+03 4.511699508846271911e-01 8.322517814553276327e-01 7.890490986753400104e-01 4.378206726640554436e-02
0.000000000000000000e+00 -3.905330947293037752e+03 5.286926466164757477e-01 5.920369163643024457e-02 7.601398458140851133e-02 7.792065316046004053e-02
0.000000000000000000e+00 -3.893098650770725726e+03 7.780169623890497155e-01 5.139670298654108738e-01 4.447156545139189232e-01 9.606058264730255036e-02
0.000000000000000000e+00 -3.888766798223492970e+03 3.789761124563385541e-01 6.317675936036110107e-01 4.134380087457054653e-01 9.285274211153616841e-01
0.000000000000000000e+00 -3.875393092612543114e+03 1.115111720534031070e-01 2.895914208305079285e-01 5.270532654073030177e-01 9.432245314883016540e-01
0.000000000000000000e+00 -3.859667709516760169e+03 9.516268566017105357e-02 3.897845983126352332e-01 3.375671970106441933e-02 9.506743882198452900e-01
0.000000000000000000e+00 -3.847454692662737216e+03 5.756422403765794060e-01 6.336890657052033360e-01 3.479407431890667590e-01 9.213661355868540959e-01
0.000000000000000000e+00 -3.825634775850405276e+03 9.713171723016019721e-01 4.189454053801009437e-01 5.671363688381479973e-01 9.044798219298599840e-01
0.000000000000000000e+00 -3.800870857038893519e+03 3.561866979751920903e-01 3.928833605159497422e-01 9.277787579913785443e-01 9.303620149571498743e-01
0.000000000000000000e+00 -3.762865696744703200e+03 8.836633188749318801e-01 3.323659484130159214e-02 7.578660734036969382e-01 9.178835174838949618e-01
0.000000000000000000e+00 -3.759100625288346691e+03 4.501378840280667593e-01 9.783894697682481434e-01 9.823664006057118980e-01 9.135013119119737013e-01
0.000000000000000000e+00 -3.754021540345861013e+03 3.904559462233417877e-01 2.572672696271829373e-01 1.754837095946010228e-01 9.386615777698797958e-01
0.000000000000000000e+00 -3.749696943074984119e+03 5.311624063119033679e-01 2.482612043953593695e-01 6.205279846239363239e-01 9.277296549617752852e-01
0.000000000000000000e+00 -3.729527654968313982e+03 3.415634892979164672e-01 1.573082381778718730e-01 8.114542213455119279e-01 9.451795033147948333e-01
0.000000000000000000e+00 -3.690239527679342245e+03 4.863447126269774268e-01 2.874748430465517979e-01 4.194767507511909521e-01 9.175125217955016899e-01
0.000000000000000000e+00 -3.678450815371507815e+03 4.202183565307304747e-01 9.997696975471154213e-01 6.094020347369071278e-01 9.928765448712828512e-02
