weight logl C sigma mu1 a1 W lam0
1.000000000000000000e+00 -9.999999999999999673e+98 1.994547181542235137e+02 3.708965894347023839e-01 1.219250552825818886e+03 3.789884920554264909e+02 1.900122973086968203e+00 1.219250552825818886e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.547621802591200151e+02 1.402965961177107479e+00 1.215338246259480684e+03 1.573985538434787834e+01 6.178254310878791150e-02 1.215338246259480684e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.917297251533052815e+02 3.541177855671879815e-01 1.217722636922311040e+03 2.435628410078933825e+02 1.270344704313026263e+00 1.217722636922311040e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.093333154518317656e+02 1.503824946425130982e+00 1.217343260647976194e+03 6.644487368394922555e+01 3.174118440752369819e-01 1.217343260647976194e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.624380948114435057e+02 2.731421869813512426e+00 1.217139967479231245e+03 7.803476926746330378e+01 4.803969743553399563e-01 1.217139967479231245e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.122267495695876960e+02 1.980692411434606726e+00 1.211179400906095225e+03 2.481020400984041885e+02 1.169042265414583115e+00 1.211179400906095225e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.856722239245544870e+02 2.715199087624279306e-01 1.212391111490579760e+03 1.338844875146290860e+02 4.686647013676336071e-01 1.212391111490579760e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.928194277500316502e+02 1.080318393913887176e+00 1.217339129277077518e+03 7.924107873046763473e+01 2.706141438064437743e-01 1.217339129277077518e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.536395333497785032e+02 2.195363057899852866e+00 1.210380239854159527e+03 3.158412548651880343e+02 1.245236697505002210e+00 1.210380239854159527e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.945459387272321692e+02 2.356746238104520663e-01 1.219328577005916941e+03 1.843712520320655415e+02 6.259507526355838625e-01 1.219328577005916941e+03
1.000000000000000000e+00 -9.999999999999999673e+98 2.850451575125400154e+02 1.128014382793256720e+00 1.211217529165004180e+03 2.864076400660310355e+02 1.004779883178443578e+00 1.211217529165004180e+03
1.000000000000000000e+00 -9.999999999999999673e+98 1.097235981196089227e+02 6.411678041819053320e-01 1.218435905139638180e+03 3.978047479247545084e+02 3.625516796223819949e+00 1.218435905139638180e+03
