C sigma mu1 mu2 mu3 a1 a2 a3 W lam0
2.662917904461413627e+02 6.139280355638896403e-01 1.216715347103035356e+03 1.217356992562747337e+03 1.219048190734008131e+03 2.968984776263230430e+01 1.076456298510664880e+02 2.365119246560171291e+02 1.403901343122059719e+00 1.218375959596169196e+03
2.391362056112091636e+02 2.466155376691056222e+00 1.211404845680172684e+03 1.215041523180795366e+03 1.218763248179333686e+03 2.014044797642846731e+02 6.187549488890930860e+01 1.527623394808125568e+02 1.739771328522347060e+00 1.214647563920320636e+03
1.111754524699625222e+02 1.922630087780351493e+00 1.210495481862099268e+03 1.218859815619201072e+03 1.219578214647427330e+03 2.023650133216680160e+02 3.474469824810525438e+02 4.998243820999381626e+01 5.395025796497363579e+00 1.216097633972965468e+03
1.252854984684912552e+02 4.679019397258047386e-01 1.212901144984187567e+03 1.216808875494979020e+03 1.219169739076116912e+03 3.599806835877352569e+02 1.572034974651139727e+01 2.285888390401047587e+01 3.181213485282122999e+00 1.213414804150799455e+03
1.811938211180290068e+02 1.503591734655153944e+00 1.215689833777705417e+03 1.215754558647934800e+03 1.217363095435023524e+03 2.280539824843093015e+02 5.215253415956624394e+01 2.559850630046528579e+02 2.959215586602454540e+00 1.216494966818139119e+03
2.088197894933281873e+02 1.101788314316958783e-01 1.210007061914606311e+03 1.216879287966738275e+03 1.217477205408491500e+03 1.216631268664100389e+02 2.045557899648513711e+01 1.932497206027335892e+02 1.606018410799824325e+00 1.214730757948374276e+03
1.460740186631274469e+02 2.503944135390248071e+00 1.210740412252476290e+03 1.213655609586767468e+03 1.214474801450129007e+03 3.046090684096462269e+02 1.379798108205660583e+02 2.040107653895502153e+02 4.426520544429846993e+00 1.212540744165510660e+03
2.877956582212227659e+02 1.618348249591744503e-01 1.212318456907886684e+03 1.217490613633008934e+03 1.217856876309561585e+03 3.878215232242148147e+01 1.738941594177097443e+02 1.630193408314519274e+02 1.305425018895849387e+00 1.217115630667722826e+03
2.291038609799750247e+02 4.456601056552184081e-01 1.213737027412808175e+03 1.215454582972770595e+03 1.218298541807519086e+03 3.368556167940855062e+02 3.794341487920809186e+02 2.339088425687062340e+02 4.147457856408300891e+00 1.215545783781818500e+03
1.832917347925348963e+02 2.811256114439802722e+00 1.211388649985343363e+03 1.211573517536913641e+03 1.218999960496181075e+03 8.109816781950307529e+00 2.228620147787184465e+02 3.965962352086302189e+02 3.423875427223347589e+00 1.216264323574607033e+03
2.100190275433808154e+02 2.358020709148290539e+00 1.210859713524122299e+03 1.211255391269234678e+03 1.216470686431739750e+03 3.561437603102169760e+02 2.800521910065727411e+02 1.085792055183481040e+02 3.546227051647973028e+00 1.211826509198410122e+03
1.656994471735235379e+02 3.517712341852564650e-01 1.211369293309807517e+03 1.213855739096627303e+03 1.214306713504691743e+03 3.379187736614658775e+02 2.340028669960899492e+02 1.552381960419411122e+01 3.545246953338149432e+00 1.212437367652698413e+03
2.661475588919043958e+02 1.998905765912306842e+00 1.216084728063493685e+03 1.217425958108676696e+03 1.219292045034212833e+03 3.048525374220700996e+02 1.698411809897189073e+02 3.629111423028222703e+02 3.147144629851005959e+00 1.217746331554233166e+03
1.410839575586611261e+02 1.263604427267113750e-01 1.212756042251987310e+03 1.215194988822157256e+03 1.218416354892914796e+03 1.307949215297525711e+02 3.264239805367075746e+02 4.231099902287058967e+01 3.540656994127995283e+00 1.214829239728479251e+03
2.739114531352746553e+02 2.691558949399058598e+00 1.212658936280557327e+03 1.217312202218581206e+03 1.217427967248751656e+03 3.787018558080877710e+02 9.971388675305701099e+01 1.191323880013026155e+02 2.181537587138937972e+00 1.214386230246815103e+03
2.440302068548140539e+02 4.506592254276565734e-01 1.210314098104053528e+03 1.211496247650160967e+03 1.218668332247252692e+03 3.509998560849272167e+02 2.901628386126425312e+02 3.900237285870405231e+02 4.225650736337389191e+00 1.213806546546607024e+03
1.459136375734772741e+02 2.389195885059679281e+00 1.211519622915134732e+03 1.214298305872064020e+03 1.217581900238633807e+03 2.256716629285614317e+02 3.614723723283663759e+00 2.309703384565814019e+02 3.154309170564379095e+00 1.214583674648649094e+03
1.529409743406339715e+02 2.772588697744482467e+00 1.210846050138853343e+03 1.212294755152400967e+03 1.213023916050036860e+03 1.758287997383654897e+02 1.454121783275396638e+02 2.075127568699725202e+02 3.457240528350657094e+00 1.212099174736029454e+03
1.883809468692011819e+02 1.398102463959252084e+00 1.215303070178699500e+03 1.218419118749476183e+03 1.219572223636794206e+03 5.144604563152856969e+01 2.847775983840910499e+02 6.485897192512189235e+01 2.129103938622974646e+00 1.218205897891602490e+03
1.541179520131887273e+02 2.712991528483522430e+00 1.213689736859701725e+03 1.213698070864546253e+03 1.215784610741304277e+03 3.113327308335061616e+02 2.731185687615553661e+02 3.427451980949113022e+02 6.016148576971925621e+00 1.214466577730869176e+03
1.078517935374138119e+02 2.058579327406619974e+00 1.214432040552606395e+03 1.214560568307675794e+03 1.215360705715285349e+03 4.788947976776953652e+01 1.228181972458416595e+02 2.088514745945643085e+02 3.519266014584229829e+00 1.214984625399830065e+03
1.794641522600126109e+02 2.310171363102214048e+00 1.212844150801457545e+03 1.214300993558381833e+03 1.218148897597686073e+03 8.828581894113742123e+01 6.629900045593477387e+01 2.425429422143545253e+02 2.212852854513569056e+00 1.216327201466695215e+03
2.882116625929917291e+02 2.429041543841748751e+00 1.211387598850717950e+03 1.215886038088857958e+03 1.218409375321439256e+03 1.815133233098548828e+02 1.363155918733038874e-01 2.284162440297211276e+02 1.422794203545254543e+00 1.215300387214859711e+03
2.466184590705665300e+02 1.339694720576808162e+00 1.211439930853233363e+03 1.211848212539794076e+03 1.216803187816336049e+03 3.131918426031890590e+02 1.576959071312347191e+02 2.004867130871556355e+02 2.722320402745987078e+00 1.213137412920263387e+03
2.625595385161723812e+02 1.107880715767460833e+00 1.210100359161499227e+03 1.211972081717894525e+03 1.218138929025910102e+03 1.726928276457936136e+02 1.674615850380938298e+02 2.557399337886039348e+01 1.392935134368469274e+00 1.211519499567137700e+03
1.765877756754232450e+02 2.037160999581214771e+00 1.216230951649318058e+03 1.216805132709332156e+03 1.218352372315169532e+03 2.494127169882635258e+02 9.455033412693811101e+01 3.114484554327412980e+02 3.711533847918332629e+00 1.217321872686914958e+03
1.786950172558402983e+02 2.479170917094173365e+00 1.210303010126450090e+03 1.212728572141967561e+03 1.217365514341624930e+03 1.701269180783779689e+01 3.721228812770116861e+02 5.499825499115651439e+01 2.485429279990124307e+00 1.213209864889631490e+03
2.822532542708244137e+02 2.376047994606043379e-01 1.215871772961705801e+03 1.215901908098676586e+03 1.219947165794890225e+03 1.942677454442043370e+02 1.328004970014725075e+02 3.963492925231676622e+02 2.563008659856651938e+00 1.218110149762211904e+03
2.309756306143769962e+02 1.538377231359135067e+00 1.213745634829466326e+03 1.215651761392779918e+03 1.217930741287334058e+03 7.094390963743246914e+01 1.029102421502845459e+02 1.085639582580210742e+02 1.222718211850004177e+00 1.216048998692682062e+03
2.268196469590639879e+02 1.879111997025957104e+00 1.210943903212750456e+03 1.213582414063420174e+03 1.216928896604782949e+03 3.091424896428796387e+02 3.318621455580062616e+02 3.379562412700238951e+02 4.316032096847373545e+00 1.213904478872552772e+03
1.989713985575971265e+02 2.063287625268540815e+00 1.211086510549644572e+03 1.215635177622726360e+03 1.218590943053119418e+03 2.117803921167675867e+02 3.131176946928426332e+02 2.563225219634001633e+02 3.926296012574224559e+00 1.215371885481446952e+03
