weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -3.091373559228294653e+03 1.454499875285006905e-01 7.289779680611776502e-01 2.018061010232952146e-02 2.628168692757770764e-01 2.530364113109162538e-02 8.640754409993762764e-01
0.000000000000000000e+00 -3.091164687282340310e+03 9.847619506258520339e-02 6.603763170236403024e-01 5.200896458415738000e-02 2.864188953616778610e-01 7.122847010678612367e-01 4.005674971324885147e-01
0.000000000000000000e+00 -2.859545754564183881e+03 8.385860189597938996e-01 3.268310941063612418e-02 9.598440050191758832e-02 2.501779904252288134e-01 7.748551133612768815e-01 4.467163340690949447e-02
0.000000000000000000e+00 -2.589752257039519463e+03 6.066558288649603892e-02 5.295995528877338598e-01 1.039132110323877090e-01 4.318832011044230201e-01 1.661624683544106196e-01 2.551138614783186043e-01
0.000000000000000000e+00 -2.387920986494887984e+03 3.090484734235322550e-01 4.086194331282150261e-01 5.109908669399942927e-02 8.798110255371853761e-01 8.813545300029536067e-01 7.905475781190934859e-01
0.000000000000000000e+00 -2.385442846661654585e+03 2.023398906781200823e-01 2.760476556270236026e-01 8.760828808127041345e-02 5.451549621519693467e-01 9.549009580891435478e-01 5.556647518302686439e-01
0.000000000000000000e+00 -2.296308232640300048e+03 4.672313194440078643e-01 3.187489745681090225e-01 4.142638852707936081e-02 3.156774698065236695e-01 6.964883143927100839e-01 8.770016138292171526e-01
0.000000000000000000e+00 -2.222930330507819235e+03 9.711877969241692332e-01 8.802596424821681476e-01 9.291591546093315168e-01 4.868477562496087430e-03 6.495690237460114425e-01 8.467631913385126330e-01
0.000000000000000000e+00 -2.209655802008136561e+03 7.195706876515837180e-01 1.144672990487486386e-01 1.191578437881263275e-01 5.268243276096329364e-02 1.331103297180213918e-01 5.042642904929017789e-01
0.000000000000000000e+00 -2.182612573941582923e+03 9.788251442490530918e-01 9.828218490263456175e-01 8.492756351807178028e-01 1.867698086868896379e-01 1.955144451460889554e-01 7.923007142268975178e-01
