weight logl A w B x0 f sigma_v
0.000000000000000000e+00 -2.387920986494887984e+03 3.090484734235322506e+01 8.763769229436086050e+00 5.109908669399942482e+00 7.596220510743705745e+00 2.708429501793348138e+01 8.763769229436086050e+01
0.000000000000000000e+00 -2.385442846661654585e+03 2.023398906781200779e+01 6.244905456913448560e+00 8.760828808127040901e+00 9.030992430393869341e-01 1.263593487447062635e+01 6.244905456913448916e+01
0.000000000000000000e+00 -2.296308232640300048e+03 4.672313194440078377e+01 7.056230516794071761e+00 4.142638852707936081e+00 -3.686450603869526610e+00 3.296891894662767442e+01 7.056230516794072116e+01
0.000000000000000000e+00 -2.222930330507819235e+03 9.711877969241692199e+01 1.772493320716119314e+01 9.291591546093314946e+01 -9.902630448750077363e+00 1.721423883209092764e+02 1.772493320716119456e+02
0.000000000000000000e+00 -2.209655802008136561e+03 7.195706876515836825e+01 3.174878681926224022e+00 1.191578437881263319e+01 -8.946351344780733683e+00 2.284549636364006631e+01 3.174878681926223933e+01
0.000000000000000000e+00 -2.182612573941582923e+03 9.788251442490530962e+01 1.967361513150056851e+01 8.492756351807177850e+01 -6.264603826262207242e+00 1.925702916899139723e+02 1.967361513150056851e+02
0.000000000000000000e+00 -2.161990038554432431e+03 9.712587535359506319e+01 7.173893748404874593e+00 4.557930398481868650e+00 9.632994523582944169e+00 6.967707100075067217e+01 7.173893748404874771e+01
0.000000000000000000e+00 -2.141698729343046580e+03 8.805750641442303106e+01 1.563614027074317647e+01 9.796215806838166884e+01 3.082393140124150221e+00 1.376879522187785483e+02 1.563614027074317505e+02
0.000000000000000000e+00 -2.125018338502175538e+03 9.064904203769638968e+01 3.971950051628636125e+00 8.207820858618909199e+00 -4.816024006454069806e+00 3.600534672017145965e+01 3.971950051628635947e+01
0.000000000000000000e+00 -2.114795920318481876e+03 1.759151133931970890e+01 1.591346214558962124e+01 5.219212615044821035e+00 -6.728511656769933680e+00 2.799418497819747742e+01 1.591346214558962231e+02
0.000000000000000000e+00 -2.082043967615543806e+03 3.987763912304303204e+01 1.165590333165923731e+01 1.875940586645152841e+00 8.791772067443460514e+00 4.648099067129820128e+01 1.165590333165923767e+02
0.000000000000000000e+00 -2.075821193486321135e+03 2.518516912934509744e+00 3.597388310686911783e+00 1.680156088915608592e+01 -5.697489436467502166e+00 9.060083302857891985e-01 3.597388310686911694e+01
0.000000000000000000e+00 -2.014662831238043509e+03 8.667034405486764115e+01 1.784129187157252616e+01 9.292099826447083899e+01 -9.617190696174073850e+00 1.546310904892504254e+02 1.784129187157252545e+02
0.000000000000000000e+00 -1.949302521875191815e+03 4.226952101354851976e+01 5.228569202256606374e+00 9.934328680024629321e+00 -5.906563683384802310e+00 2.210091157655782368e+01 5.228569202256606729e+01
0.000000000000000000e+00 -1.895565616520188996e+03 9.936682723549337481e+01 1.573648392525647743e+01 8.365757095867103033e+01 -7.763013065787076172e+00 1.563684479495079245e+02 1.573648392525647637e+02
