A w B x0 f sigma_v
5.657673404572170739e+01 4.707716972215438389e+00 4.734453641005598001e+01 -1.319396859599011762e+00 2.663472510995631026e+01 4.707716972215438034e+01
5.471799988536284332e+01 4.390659822841661786e+00 4.935656979595008664e+01 -6.562802415747945872e-01 2.402481236829172673e+01 4.390659822841661963e+01
5.102173568701492457e+01 5.332746810636391999e+00 5.008658364568672994e+01 -6.706728295010204732e-01 2.720859982580618208e+01 5.332746810636392354e+01
5.700961853918531119e+01 4.999812597539110115e+00 5.017321983189631140e+01 -1.025882270685931630e+00 2.850374089531178967e+01 4.999812597539110470e+01
5.235911361658291696e+01 4.949579524788525475e+00 5.097077226846440112e+01 -6.068918357172261580e-01 2.591555966927148802e+01 4.949579524788525475e+01
5.277297630893244929e+01 5.772401538921450914e+00 4.924167874561832292e+01 -8.619306283533632040e-01 3.046268096591469288e+01 5.772401538921450737e+01
5.095075914518988469e+01 5.357865000743839978e+00 4.841201258602448121e+01 -5.591951627466205110e-01 2.729872891853420214e+01 5.357865000743839801e+01
6.026333970508083127e+01 5.109439403220390474e+00 4.806978253227750741e+01 -1.333025474787453035e+00 3.079118824587958514e+01 5.109439403220390830e+01
5.672385035280763788e+01 5.248417054238411872e+00 4.799678373555923372e+01 -3.334060411170618465e-01 2.977104235737431992e+01 5.248417054238412049e+01
5.507407133608237615e+01 4.902678229536630461e+00 4.942031607695920314e+01 -1.976206928421291309e-01 2.700104505513584030e+01 4.902678229536630283e+01
5.105123996008932608e+01 4.701568712628811930e+00 5.051962937217767546e+01 -5.647192922950168281e-01 2.400209125372617081e+01 4.701568712628812108e+01
5.346950679712170285e+01 4.785023347737617172e+00 5.144668775499051350e+01 -6.234365147156104570e-01 2.558528384162425695e+01 4.785023347737617172e+01
5.521690187601643629e+01 4.539963030623452411e+00 4.889043716320886546e+01 -2.919592348382966662e-01 2.506826931826773830e+01 4.539963030623452767e+01
4.886842867570371141e+01 5.125798690655907208e+00 5.105836854764928034e+01 -1.168683875275069894e+00 2.504897277203336614e+01 5.125798690655906853e+01
4.532483108764082402e+01 5.550573738817116798e+00 4.983506298441858462e+01 -3.147723251308143233e-01 2.515788171513808180e+01 5.550573738817116975e+01
6.176526665081014755e+01 5.317814532736824695e+00 4.938324625204661089e+01 -8.106669155337336008e-01 3.284562326140433441e+01 5.317814532736824873e+01
4.868349370014385613e+01 5.036441216310848290e+00 5.002865052645185528e+01 -1.049340694567677090e+00 2.451915542254140590e+01 5.036441216310848290e+01
5.209645666452755819e+01 4.995005630144429887e+00 5.077320804411716892e+01 -1.044429058875641303e+00 2.602220943498904759e+01 4.995005630144429887e+01
5.236275504774232559e+01 5.847655946331745902e+00 4.724063427045324914e+01 -4.575361928917018872e-01 3.061993759212430888e+01 5.847655946331745724e+01
4.878555384227949077e+01 4.925680688372017002e+00 4.888607067505531489e+01 -9.168044901079639430e-01 2.403020604324493448e+01 4.925680688372017357e+01
5.231911186222340149e+01 5.362949820535521717e+00 4.798689433916416647e+01 -5.711647998474873589e-01 2.805847715720888758e+01 5.362949820535521894e+01
4.992539712917821504e+01 5.443182277143560732e+00 4.782084659728156595e+01 -1.187484021527621891e+00 2.717530368328968393e+01 5.443182277143560555e+01
5.088036919383709744e+01 5.486388527055771291e+00 4.708487139598631899e+01 -4.785416592213458387e-01 2.791494737974297635e+01 5.486388527055771647e+01
5.147232412613112729e+01 4.915758402720150855e+00 4.910855667340951669e+01 -3.278880607055789653e-01 2.530255098305642392e+01 4.915758402720150855e+01
5.273732091175029524e+01 4.660746512304744904e+00 5.117090937101418291e+01 -1.047382535411966131e+00 2.457952845077362980e+01 4.660746512304744726e+01
5.221436542383926849e+01 4.416438424924380435e+00 5.234658854445988396e+01 -7.593931289620954317e-01 2.306015297908867367e+01 4.416438424924380257e+01
5.017173919064462950e+01 5.029556039823672720e+00 5.096624353964386245e+01 -9.159807247138633812e-01 2.523415738747647552e+01 5.029556039823673075e+01
4.968329966768646955e+01 5.368185743175664548e+00 4.984185119030026812e+01 -8.758708759586930626e-01 2.667091809499986965e+01 5.368185743175664726e+01
5.157140859092606178e+01 5.262342968317142322e+00 4.674116105800667498e+01 -2.893847590091471744e-01 2.713864393646700179e+01 5.262342968317142322e+01
4.966016281302204760e+01 4.372346128259678721e+00 5.158163037967208453e+01 -1.045135365411024253e+00 2.171314206042622175e+01 4.372346128259678721e+01
4.664002763179054512e+01 5.503912384095221988e+00 5.056000652031517006e+01 -3.318009868024685005e-01 2.567026256771553250e+01 5.503912384095222166e+01
5.548212895215384322e+01 4.665247685493718599e+00 5.042471205784324439e+01 -9.893463214039837084e-01 2.588378736802997793e+01 4.665247685493718421e+01
4.205890072330369378e+01 5.245120219651218108e+00 5.151437332636366051e+01 -1.560291933168569400e+00 2.206039906001034723e+01 5.245120219651218463e+01
4.504556560281397992e+01 5.542418470330652269e+00 5.158262302314031444e+01 -4.363534128657864386e-01 2.496613748035273161e+01 5.542418470330652269e+01
5.140269089429860827e+01 4.864331817131253288e+00 5.104114977120747199e+01 1.653436890713066987e-02 2.500397448032996550e+01 4.864331817131252933e+01
5.937191092848077290e+01 5.363162731773451597e+00 4.920318121738282713e+01 -8.630876385157755237e-01 3.184212200058009756e+01 5.363162731773451242e+01
5.837595766806407482e+01 4.568790985842367647e+00 5.077667687611108249e+01 -7.699563791019041759e-01 2.667075491837668011e+01 4.568790985842368002e+01
4.759672040958385963e+01 5.042664625188592709e+00 5.070343716393656308e+01 -9.842176825072233015e-01 2.400142982844004536e+01 5.042664625188592709e+01
6.124316678112192847e+01 4.932816531419044637e+00 4.723401005562613619e+01 -3.508305656612780155e-01 3.021013055343719245e+01 4.932816531419044281e+01
5.421901570223507605e+01 5.147762826629049826e+00 4.952013030499966817e+01 -2.265901020945211286e-01 2.791066335283824884e+01 5.147762826629049471e+01
5.003387384055292131e+01 5.107705982999988237e+00 5.019496576227432172e+01 -8.729056189141122246e-01 2.555583167680587309e+01 5.107705982999988237e+01
5.157140859092606178e+01 5.262342968317142322e+00 4.674116105800667498e+01 -2.893847590091471744e-01 2.713864393646700179e+01 5.262342968317142322e+01
5.368638285810281019e+01 5.403792776206801207e+00 4.668317330227259276e+01 -1.760940513525156348e+00 2.901100878692886198e+01 5.403792776206800852e+01
5.823573814797703108e+01 5.316557456815743876e+00 4.619873075776002480e+01 -1.332095556595856323e+00 3.096136479037964051e+01 5.316557456815743876e+01
5.540254088819266087e+01 3.981914194387750072e+00 5.192341053794141459e+01 2.396566222125962042e-01 2.206081639678420814e+01 3.981914194387749717e+01
5.411452544134126441e+01 5.545926931126125226e+00 4.686333384494220411e+01 -6.278663341861605574e-01 3.001152040102443763e+01 5.545926931126125226e+01
5.413075823287708488e+01 4.960559512215520606e+00 4.962703985860829903e+01 -6.370823001239589445e-01 2.685188476555369874e+01 4.960559512215520783e+01
5.028972153925772659e+01 5.122029826615465353e+00 5.020364744263916634e+01 -8.979436874004811386e-01 2.575854536962642527e+01 5.122029826615465709e+01
5.595394017086818650e+01 4.845137063506941288e+00 4.846098246334442905e+01 -1.138691000921998153e+00 2.711045093711233633e+01 4.845137063506940933e+01
5.564604113604014657e+01 4.320157348989127399e+00 5.062919108235240628e+01 -8.576823254835534982e-01 2.403996535560151315e+01 4.320157348989127399e+01
5.491959384218121443e+01 5.223064466024915475e+00 4.785087873241979395e+01 -6.406858219412807642e-01 2.868485790856174589e+01 5.223064466024915475e+01
4.767734065284338385e+01 5.422416556017589429e+00 4.914909023394864818e+01 -9.930650773330214065e-01 2.585264013028684005e+01 5.422416556017589073e+01
4.640299010935709845e+01 5.116176652183860085e+00 5.151014008136143474e+01 -5.185873532992264501e-01 2.374058945890113748e+01 5.116176652183860085e+01
4.684481786761631383e+01 5.284937209703620020e+00 5.022318599064983147e+01 -1.213156755590251379e+00 2.475719210303544315e+01 5.284937209703620198e+01
4.925699084168748243e+01 5.261366588764675001e+00 5.076829924295711294e+01 -1.639373917892399390e-01 2.591590858775420969e+01 5.261366588764674646e+01
4.937070347447536989e+01 5.072525302298896754e+00 4.843907787969848755e+01 -1.416937993605950297e+00 2.504341425665723619e+01 5.072525302298896577e+01
5.888729811010836812e+01 4.978825408331916336e+00 4.840316912196913535e+01 -1.911469113254593566e-01 2.931895760586235866e+01 4.978825408331915980e+01
5.744993008686920177e+01 4.737104924312546927e+00 5.074165135311092456e+01 -1.166185449027185683e+00 2.721463467159196625e+01 4.737104924312546927e+01
4.373817872265922091e+01 5.447155136636652628e+00 4.996608125698260494e+01 -7.323662420806194007e-01 2.382486448962651338e+01 5.447155136636652628e+01
5.845348812975157671e+01 4.695583312201021542e+00 5.015258675644709285e+01 -6.659188393829715835e-01 2.744732234020020201e+01 4.695583312201021897e+01
5.916112553839367649e+01 5.026039615405150762e+00 4.776368642318706037e+01 -1.063568174524894161e+00 2.973461606479240160e+01 5.026039615405150585e+01
5.362118646450004888e+01 4.870379342068773099e+00 5.033204303743268326e+01 -3.517600396213680369e-01 2.611555188539187355e+01 4.870379342068773099e+01
5.606112895880291092e+01 5.053859104016118486e+00 4.754434660631282838e+01 -1.503980945618081932e-01 2.833250469698677421e+01 5.053859104016118664e+01
4.983819680213168368e+01 5.587167689480278199e+00 4.761288140629002896e+01 -5.194770819198719636e-01 2.784543628748294708e+01 5.587167689480278199e+01
5.194721001451790698e+01 4.524160254909785905e+00 5.235827412140409365e+01 -1.263680445123263496e+00 2.350175029011335326e+01 4.524160254909786261e+01
5.386817020185817029e+01 4.891691772189197707e+00 4.968395449498113692e+01 -6.216653381770456122e-01 2.635064849593169356e+01 4.891691772189197707e+01
5.507170043407882787e+01 5.022377619863506837e+00 4.972220662497596066e+01 -6.914798153392336388e-01 2.765908757479449065e+01 5.022377619863506482e+01
5.839372279623014350e+01 5.181061268747983561e+00 4.943173245547293959e+01 -5.956837570258315395e-01 3.025414555175542120e+01 5.181061268747983206e+01
6.034749939724195400e+01 4.823906899381958269e+00 4.942254266724094691e+01 -1.324676576657601856e+00 2.911107187028040499e+01 4.823906899381958624e+01
5.101978865471890145e+01 5.597126777991826785e+00 4.998297085164323761e+01 1.639289336780453965e-01 2.855642252868107533e+01 5.597126777991826430e+01
4.896446735392862593e+01 5.661676487134182700e+00 4.660542166392093577e+01 -3.082824324138275784e-01 2.772209735227870198e+01 5.661676487134182878e+01
5.706896094550564413e+01 4.622368530654991758e+00 5.092749757740207173e+01 -2.939784163681409268e-01 2.637937691516840388e+01 4.622368530654991758e+01
4.965470716414333197e+01 5.129190474738545724e+00 5.028289229611674216e+01 -4.948260439192360138e-01 2.546884510122557899e+01 5.129190474738545902e+01
5.583395328014854186e+01 5.054381514463478275e+00 4.845014557496389074e+01 -1.228904549441214300e+00 2.822061013386002770e+01 5.054381514463478453e+01
5.418807882540516374e+01 4.939989082945515086e+00 5.023288275511296064e+01 -2.344279392785519889e-01 2.676885178232925711e+01 4.939989082945515264e+01
5.451392878317976454e+01 5.197953120363258961e+00 4.875094803568165958e+01 -9.030602826711007225e-01 2.833608462217897639e+01 5.197953120363258961e+01
4.732616743452254582e+01 4.750643556355822916e+00 5.335175715111647321e+01 -7.386194659742386648e-01 2.248297523698312972e+01 4.750643556355822739e+01
5.707300463928510936e+01 5.149239686400957972e+00 4.844395393646161097e+01 -1.473537865511239886e+00 2.938825805107528666e+01 5.149239686400957794e+01
5.438120052173203334e+01 4.565917179323853325e+00 5.052638770941607760e+01 -9.655833424783928365e-01 2.483000576944315796e+01 4.565917179323853503e+01
5.563693551044310937e+01 4.991265016560599399e+00 4.729798141881134654e+01 -2.845390404668517448e-01 2.776986898419128380e+01 4.991265016560599577e+01
4.905557178833434762e+01 5.149034675950980855e+00 5.046187988483467990e+01 -5.682953424417807042e-01 2.525888401867362276e+01 5.149034675950980500e+01
5.829890058349393911e+01 3.551227683043920003e+00 5.173839546056602501e+01 -7.185795104839947101e-01 2.070326696431290259e+01 3.551227683043919825e+01
5.316275720259786652e+01 4.728355441455047270e+00 5.161382083153734612e+01 -5.408067973060699529e-01 2.513724123016571355e+01 4.728355441455047270e+01
5.604063502384166640e+01 4.956016528960168088e+00 4.936646796263367065e+01 -3.726935825114772172e-01 2.777383134715834245e+01 4.956016528960168444e+01
5.526119841063446358e+01 4.986924451289482363e+00 4.968121149532463932e+01 1.871052644823407718e-01 2.755834215615524840e+01 4.986924451289482363e+01
5.247073645569943068e+01 5.167664996745990003e+00 4.905921337079976752e+01 2.095968991129311121e-01 2.711511881356016573e+01 5.167664996745990180e+01
4.917659410746720994e+01 5.216383546152215445e+00 5.100391251096753820e+01 -1.247738554258926769e+00 2.565239763579979382e+01 5.216383546152215445e+01
5.088092604346257986e+01 5.191680370649441656e+00 5.158852602022465561e+01 -8.070440229660746922e-01 2.641575049803106623e+01 5.191680370649442011e+01
5.277684225198308354e+01 4.962130153372804386e+00 4.977520790933935046e+01 -1.066636896361135456e+00 2.618855603383651243e+01 4.962130153372804386e+01
5.529612655412605449e+01 4.622117930051027557e+00 4.941824203201320387e+01 7.384810416685816392e-02 2.555852180081967973e+01 4.622117930051027201e+01
4.912060038069324719e+01 5.745399540257617232e+00 4.680436614426993458e+01 -3.968369548076786657e-01 2.822174748444131254e+01 5.745399540257616877e+01
4.935101152935173729e+01 5.306561669183605723e+00 5.090678914210914030e+01 -8.835901830292769432e-02 2.618841861170961494e+01 5.306561669183605545e+01
6.366256586043116528e+01 4.701998582212582711e+00 4.714124856945739594e+01 -3.518890475948843743e-01 2.993412944157624977e+01 4.701998582212582534e+01
5.641553179157520503e+01 5.117106157924221854e+00 4.894708266975298727e+01 -8.890356435125408296e-01 2.886842651332391796e+01 5.117106157924222032e+01
5.107795203133329665e+01 4.889126847241339391e+00 5.111971369707639923e+01 -6.944712528908549842e-01 2.497265865784969208e+01 4.889126847241339391e+01
4.558563146309055014e+01 6.073237684275775372e+00 4.806299883732044975e+01 -1.162717297283602846e+00 2.768523748631489667e+01 6.073237684275775194e+01
5.436679089539371290e+01 4.904407883761936482e+00 4.964441743440629295e+01 2.529180176292982196e-01 2.666369178822055730e+01 4.904407883761936660e+01
5.243301774253866654e+01 4.984600312018262258e+00 5.050005479566609523e+01 -1.354003262030850863e+00 2.613576365995173134e+01 4.984600312018262258e+01
4.551043497930959347e+01 4.795780228947917223e+00 5.293407621248113770e+01 -2.519058106437714883e-01 2.182580442845926783e+01 4.795780228947917578e+01
5.430576877599821728e+01 4.787602204557001251e+00 5.013192833499088152e+01 -8.793326305934563436e-01 2.599944183121318275e+01 4.787602204557001073e+01
