weight logl H0 sigma
0.000000000000000000e+00 -1.190796846740749288e+03 6.120484437342477158e-03 1.480489203548382982e-01
0.000000000000000000e+00 -1.166031884999968952e+03 2.815729993971892720e-01 7.378476300928371590e-02
4.940656458412465442e-324 -1.157681599187180836e+03 7.198855090756410835e-01 7.559827873408597743e-02
2.563662666832020099e-310 -1.126352419506857586e+03 3.892529726197321294e-01 5.838932981579325610e-02
1.363977293938104375e-296 -1.094744760257536200e+03 8.558970956290680165e-01 1.182463207509819592e-01
2.028864990504610443e-288 -1.075924507907482621e+03 2.671800789609087845e-01 8.576300415947535338e-02
6.545304702629825565e-287 -1.072448151379897581e+03 4.536484217651737261e-03 1.661147162686275047e-01
4.340339126312440004e-283 -1.063646106476460318e+03 8.008348733827969079e-01 1.059576956464106656e-01
3.777429370672430069e-279 -1.054572174871630523e+03 1.643600117882907385e-01 1.163027879988254298e-01
5.264195590692609300e-274 -1.042724864774657590e+03 8.697465398632739930e-01 1.296444073202001057e-01
1.025897895304769753e-273 -1.042055139806733223e+03 9.757852339838445355e-01 1.656036364614001943e-01
2.721832869886995766e-257 -1.004235541040781527e+03 9.687540660509609269e-01 1.699240796057243097e-01
1.244127102714290052e-243 -9.727797210797638172e+02 2.357684272308154805e-01 1.066399072678650972e-01
7.785391686896541567e-229 -9.387072148224999637e+02 2.649118337442873949e-01 1.035466027348234119e-01
1.254719866259090171e-227 -9.359248814200251445e+02 1.394056419278032477e-01 1.429559856323389111e-01
1.538626712167552609e-219 -9.172977227363660404e+02 8.427670337413835089e-01 1.414975216690308457e-01
1.339284357133251431e-217 -9.128288074141561310e+02 4.396024088194597779e-01 7.461030526223766390e-02
2.451628014499490850e-203 -8.799854992221085013e+02 8.237481105096252643e-01 1.422515511282017586e-01
3.418099541255429079e-201 -8.750454966287811658e+02 9.615609663730650958e-03 2.062626451703737374e-01
1.849137757774487125e-199 -8.710521916961595252e+02 4.066666353286746416e-01 8.384921639476750066e-02
5.679485660853005685e-199 -8.699275504737572646e+02 8.423183104261264820e-01 1.509492849986399099e-01
1.076061884918042452e-197 -8.669834329897853422e+02 3.972906187052880345e-01 8.575674700789315263e-02
1.393686163905974573e-192 -8.552093633452695940e+02 3.185477974113049005e-02 2.025023557184667533e-01
3.010542419191105964e-186 -8.406211846725639134e+02 8.916114509213435291e-02 1.829264595900946810e-01
1.994080953960323086e-185 -8.387280365783148000e+02 7.218589068678387122e-01 1.176988682232427141e-01
4.071947157938385989e-185 -8.380115985455734062e+02 3.513265087724037894e-01 9.857625310533901786e-02
8.030756935792591529e-185 -8.373299410608046855e+02 8.154093195551692652e-02 1.869125883083375683e-01
1.958079639346789266e-184 -8.364361705377078806e+02 9.888065103019694213e-02 1.801270889976002154e-01
4.733978387105695780e-183 -8.332482837161987845e+02 6.245227612464298028e-01 9.531497350055784246e-02
1.401134205560979242e-179 -8.252529272343838329e+02 1.782852794828494458e-01 1.523769768506358924e-01
5.906619673292658704e-175 -8.146012952173780377e+02 2.111633167130052557e-01 1.431387487947898274e-01
3.673841317983601693e-170 -8.035607056575684055e+02 6.766608518940349093e-01 1.123051006420420217e-01
2.184246994219882338e-165 -7.925652468438462392e+02 6.110022116881517196e-01 1.002257412142038007e-01
4.053177297254698532e-161 -7.827341765245638499e+02 8.574747323223682605e-01 1.789697535556568075e-01
1.778070567051334210e-159 -7.789504786046522895e+02 1.540635821197712252e-01 1.739914241129426609e-01
4.635124281871274233e-157 -7.733846742315349729e+02 7.798358448678720523e-01 1.514999498950792001e-01
1.583926906742433005e-156 -7.721533450033853114e+02 9.742347242676422381e-01 2.339770129520819530e-01
3.878961853465560746e-153 -7.643474293177034724e+02 3.435410330809215429e-01 1.147816460978541286e-01
4.318732270266663894e-148 -7.527246095037945679e+02 6.603105285906797350e-01 1.192630339252066518e-01
3.289054399895990918e-144 -7.437841309280306632e+02 7.362938998490783371e-01 1.442249054215850590e-01
7.418207208974836714e-141 -7.360605383441245522e+02 3.976365696444713604e-01 1.100795965955092548e-01
9.561653896683758500e-141 -7.358042150422234045e+02 8.742193355425835755e-01 2.017752442292677362e-01
6.735168066926068714e-131 -7.131262820623196603e+02 1.430163221334910251e-01 2.011481935931134224e-01
3.922680166017615686e-130 -7.113617645971382899e+02 4.020339926464332470e-01 1.153946068961595461e-01
