H0 sigma
7.642161471708418219e+01 1.010828027452493870e+03
7.285008030310399363e+01 9.361666336386473404e+02
7.932658538650960622e+01 1.047531925963442063e+03
7.019009797183414889e+01 9.103397721925700807e+02
7.711173797787023432e+01 1.132651005727622305e+03
7.466133273852054231e+01 9.134272145887201759e+02
7.892164506592415307e+01 1.018864634733052526e+03
7.502785654971106055e+01 1.046545907721325193e+03
7.876109956575476190e+01 9.798786388109137988e+02
7.251392853930805416e+01 1.027294783850336671e+03
7.689540296119552920e+01 1.089882466444743386e+03
7.535457679504617090e+01 8.938567330953953842e+02
7.467186749419467162e+01 9.847501602130986385e+02
7.322931967880830939e+01 9.087361947389334773e+02
7.265728744819011808e+01 9.570266534964775929e+02
7.702006974824070085e+01 8.966167257408433215e+02
7.186245990395647709e+01 9.405903523879499062e+02
7.372777993198909030e+01 9.956860063012162527e+02
7.377037363450581609e+01 1.135587066005698489e+03
7.413007879009987278e+01 1.056916311695125842e+03
7.497507568208312989e+01 1.052395911692051868e+03
7.241264696016932589e+01 1.120807471839383425e+03
7.508658364795357443e+01 9.259708671807063638e+02
7.479766634575155138e+01 9.692275667792523564e+02
7.543033385422127424e+01 1.116990753831314805e+03
7.489851673617995687e+01 1.215746711404933876e+03
7.458518854090610262e+01 1.149011502207087915e+03
7.092335603158105073e+01 1.054219714359939871e+03
7.582464303005635031e+01 9.818995743187197149e+02
7.346904380137850410e+01 1.273714226657405789e+03
7.338895028471395676e+01 1.087903447920010422e+03
7.608126109108845014e+01 9.278743536478530132e+02
8.281461669340778542e+01 1.172566980629739874e+03
7.799413562299994851e+01 1.013643070827461429e+03
7.482516291537254460e+01 8.890704424006387399e+02
7.127861196221630280e+01 1.320692482767992715e+03
7.718816930643738772e+01 9.691611250551547982e+02
7.146677058810568894e+01 1.022645740455955320e+03
7.482793178938727863e+01 9.885020924706298047e+02
7.902031617064189106e+01 1.026735270906279766e+03
7.633802291010762531e+01 9.465524214252549200e+02
7.116294241322702874e+01 9.852859117712521311e+02
7.543030830987302693e+01 9.312154737000056457e+02
7.400742145944889216e+01 9.213045146523598987e+02
7.295808452466931726e+01 9.773334052548268573e+02
7.645776706975625814e+01 1.128071720361436064e+03
7.376120666850356145e+01 8.986914653791698129e+02
7.588953687463387610e+01 8.978639712721036403e+02
7.714970179013312190e+01 1.097877942368977983e+03
7.606311431539302248e+01 8.559103578276615281e+02
7.285224084977113534e+01 9.987413566620264191e+02
7.321502547991487120e+01 9.503085482408433791e+02
7.047895751407681075e+01 9.736386496613253030e+02
7.787984286615713359e+01 9.376083209572055921e+02
7.434362595126866324e+01 9.928692065018418589e+02
7.811797785038633890e+01 1.104001757172573434e+03
7.427343177445963818e+01 9.541411901249783796e+02
7.781179916246361472e+01 1.075584556593323441e+03
7.436971274732721326e+01 9.042546302482694500e+02
7.452067086628491666e+01 1.236248691552481432e+03
7.736717022990060855e+01 1.181265447858170319e+03
7.692744194984000217e+01 9.716511256364964311e+02
7.078149769098722288e+01 9.416629896187929489e+02
7.762750987457327767e+01 1.226958959129133746e+03
7.191510726093669348e+01 1.048008658522268888e+03
7.463771248282277782e+01 1.172933004315843391e+03
7.199154577897860463e+01 9.767769151439811139e+02
7.195461706959397929e+01 1.073968695046996800e+03
7.092335603158105073e+01 1.054219714359939871e+03
7.695332055696913187e+01 1.070285023398320845e+03
7.487919673392232767e+01 8.669469235012714989e+02
7.819922252570634669e+01 1.143040595976603527e+03
7.684110869119001563e+01 9.441985876587006032e+02
7.560286388758076725e+01 1.086381533462031712e+03
7.601804388676715973e+01 1.075500260602652133e+03
7.514627331709560565e+01 8.064131247400839584e+02
7.604804674547229126e+01 9.407042385541396925e+02
7.601804388676715973e+01 1.075500260602652133e+03
7.221613597617908908e+01 1.102122117976052323e+03
7.543171196623714536e+01 1.012837476304854135e+03
7.598649048207693113e+01 1.161634061733039971e+03
7.267647602731005918e+01 1.132802094036674816e+03
7.297360585924360521e+01 1.373886753767598748e+03
7.638140376254014541e+01 1.088503954730248552e+03
7.282991557286091222e+01 1.070467468762574981e+03
7.483667763222049985e+01 1.172909094550380132e+03
7.487468087475288314e+01 9.636872192169247455e+02
7.355990253377311205e+01 8.586966719474552292e+02
7.267102508158946250e+01 8.872100720809536369e+02
7.719088516751514817e+01 1.149268315257857012e+03
7.487706831939826202e+01 8.330384043254729249e+02
7.692562918079647716e+01 1.179675305280998600e+03
7.299423775316464003e+01 1.187032089431920213e+03
7.630813974215264750e+01 9.899354948850567553e+02
7.952123533897000129e+01 1.073537039048959741e+03
7.632096032484352577e+01 9.777129017879855155e+02
7.213607990151135141e+01 9.876446146814956819e+02
7.456765236536072905e+01 1.077280235144293783e+03
7.323130422754680069e+01 9.838777002030852827e+02
7.622891327429891817e+01 1.138789867027385753e+03
7.347222604077853703e+01 1.109116365841280867e+03
7.349292287681250002e+01 1.119840748158994529e+03
7.111600098259327751e+01 1.082773365143369119e+03
7.537873817153339928e+01 9.227764273507586950e+02
7.475092448331123762e+01 1.132675797010880615e+03
7.887747777996951015e+01 8.588612072026179476e+02
7.743154870002116752e+01 9.160670316544599245e+02
7.429231305573055977e+01 1.249202652436029894e+03
7.695062649505211994e+01 1.040047499409608008e+03
7.234638667011986968e+01 1.023393883204288613e+03
7.469576739162353363e+01 9.386072182159965678e+02
7.617754709492638199e+01 1.019501497404127122e+03
7.219170706020702255e+01 1.097054382647464990e+03
7.702006974824070085e+01 8.966167257408433215e+02
7.721615307664407624e+01 1.099170380842881741e+03
7.608100973436791037e+01 1.197928094935264880e+03
7.444219527042375262e+01 1.159871014921795677e+03
7.158860666305275799e+01 1.077612625410147757e+03
7.436241330750374345e+01 9.629382089345139093e+02
7.316618760397129506e+01 9.771886003771062406e+02
