C sigma mu1 mu2 a1 a2 W lam0
1.320571447410815722e+02 1.017172117268282827e+00 1.211060113483445321e+03 1.215082045913652109e+03 2.505496181705520371e+02 1.840496598978256060e+01 2.036653031440756934e+00 1.211335340357983569e+03
2.628306926005026298e+02 5.259738635827395647e-01 1.217343474211988905e+03 1.218107277255810004e+03 3.124127578727000696e+02 1.392062950382230042e+02 1.718288866655976799e+00 1.217578907573765491e+03
1.217124752273320638e+02 2.939767717775320754e+00 1.211521602954218906e+03 1.214140771115560710e+03 2.118745745138128314e+02 1.376397910252778729e+02 2.871639615300526582e+00 1.212553039123748249e+03
2.959472515752978552e+02 1.752907359301622225e+00 1.214987895061826976e+03 1.217995998004951844e+03 4.858689825757487313e+01 9.637798690824071457e+01 4.898335240289676262e-01 1.216987792524854058e+03
2.671557597373503654e+02 2.052046913962368713e+00 1.215763233685185014e+03 1.215831737903855128e+03 2.444482214979053936e+02 2.903842942666403815e+01 1.023697378613297237e+00 1.215770507367145683e+03
2.504748855670141552e+02 6.289972275431205961e-01 1.211660666614353659e+03 1.212735553113994456e+03 3.522124217666084860e+02 3.321128925589013647e+02 2.732111496034279163e+00 1.212182324453242700e+03
1.329616909386224108e+02 1.978826067203272032e+00 1.215595067824259331e+03 1.217377680488870055e+03 3.091262189593313678e+02 1.344006342505406906e+02 3.335749192710043776e+00 1.216135247682621412e+03
2.014370417898020378e+02 1.266857227783699358e+00 1.212710398638502284e+03 1.212888592184963045e+03 2.835188242227306432e+02 2.430787325145627449e+02 2.614204180414810619e+00 1.212792653219560862e+03
2.623908159150620349e+02 2.307509393015710231e+00 1.211994639786813650e+03 1.214048959102743765e+03 1.074641382641239318e+00 1.478985251124216305e+01 6.046131545632627696e-02 1.213909802028788135e+03
2.057473447928202006e+02 8.686274429498902494e-01 1.213677372512324155e+03 1.218707262285003026e+03 2.982238358624940133e+01 2.291604637200330217e+02 1.258742111919200601e+00 1.218128060597487320e+03
1.146081553207546051e+02 2.066760935457878201e+00 1.210609711726541491e+03 1.214422599410889234e+03 1.304174530106659233e+02 2.228269218998326551e+02 3.082192309280881393e+00 1.213014885273800928e+03
2.361821236942915618e+02 2.020123283402406322e+00 1.211060357119859191e+03 1.216775515562229884e+03 3.101843600345704886e+02 2.930759249324003122e+02 2.554216532271580409e+00 1.213836895520235885e+03
1.584731856529420781e+02 2.707054933593514345e+00 1.217020716327970376e+03 1.218826722292412796e+03 2.318253256387991144e+02 2.194521997127845125e+01 1.601346906509708790e+00 1.217176893626103492e+03
2.661257023149897805e+02 1.385406843479449313e+00 1.216912003074591439e+03 1.219937241642314120e+03 3.652362574332696568e+02 1.021132717333130415e+02 1.756123234626251195e+00 1.217573000868843792e+03
2.113761647275522364e+02 1.116018484550705292e+00 1.211590022275340289e+03 1.213450844341799211e+03 1.338672123334545176e+02 2.061648340757891162e+01 7.308472832788462936e-01 1.211838356619450678e+03
1.469649550500790269e+02 1.834663638428672972e+00 1.217223204925769778e+03 1.219592960915548474e+03 2.502703288820227954e+02 3.218413733945313879e+02 3.892844400092554835e+00 1.218556310889737006e+03
2.877389797506806985e+02 9.683393594730911325e-01 1.213483267193745405e+03 1.216451089991289336e+03 3.648782048728927521e+02 3.872464963250685059e+02 2.613913143953107365e+00 1.215011310320413259e+03
2.348199290567012270e+02 1.689438839936401315e+00 1.217427926409176962e+03 1.219495223847753323e+03 1.044118868231417991e+02 1.919241382547864418e+02 1.261971359366065304e+00 1.218766826326292176e+03
2.901518720929894357e+02 2.670852893886312973e+00 1.214051529435266730e+03 1.215539641638901458e+03 1.015633118886588306e+02 1.110210066565471720e+02 7.326656795689253654e-01 1.214828687957569855e+03
1.803532227969635358e+02 7.226894984926615084e-01 1.215530865969422166e+03 1.218971851886540207e+03 3.089302806830751535e+01 2.116912541923889535e+02 1.345050997695732109e+00 1.218533643468709215e+03
2.354900745686069286e+02 2.199433968715059695e+00 1.214257332729215477e+03 1.219774072229715102e+03 9.197690543473591163e+00 3.787214277322136695e+02 1.647284366384928589e+00 1.219643268512280201e+03
2.520198463730201013e+02 2.564561410576505551e+00 1.215264187762508755e+03 1.215799776115322629e+03 3.702866578200522554e+02 9.808879060294665919e+01 1.858486365910033022e+00 1.215376352509754497e+03
2.719175820981294009e+02 5.481076348653178831e-01 1.213597465320069887e+03 1.214351077048717343e+03 6.769702803543715675e+01 3.831934355159121424e+02 1.658187970311652437e+00 1.214237929225806738e+03
1.909656594613774132e+02 1.089237618676797359e+00 1.213568298756446211e+03 1.215866476659671662e+03 9.329681020864195773e+01 1.190519285201828552e+02 1.111973426676601484e+00 1.214856757134392410e+03
1.244506166087379313e+02 6.643902718391173634e-01 1.211192606734554829e+03 1.214620511385744976e+03 2.711387283570236661e+01 2.368042276775871073e+02 2.120665270329880059e+00 1.214268342396105936e+03
2.275692311742226082e+02 2.468955628022211357e+00 1.213286891990903996e+03 1.218703609869453430e+03 2.386343105928478110e+02 3.568200267604644864e+02 2.616585442069029099e+00 1.216532805736311730e+03
