m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
1.319260116236581126e+01 -4.757716622218216784e+00 7.484235584329077540e+00 -6.952021742013426930e+00 9.615868979863833488e+00 -5.761693339604344821e+00 1.481188113216708757e+01 1.518866979616202428e+01 1.605723983150611289e+01 1.240391965838284527e+01
1.152039253935272001e+01 -2.891952051533391632e+00 7.597733109958756614e+00 -5.785482308571531007e+00 9.751776513748890096e+00 -4.272313444398844418e+00 1.512729398354820454e+01 1.528834184846498978e+01 1.616792223686077534e+01 1.246328369929925906e+01
1.021806020434918771e+01 -3.010325264015279778e+00 8.463779475202748870e+00 -5.015395601480687304e+00 9.279852237520252345e+00 -2.815439223169457605e+00 1.503860863470811537e+01 1.517628976434144050e+01 1.586027732916558719e+01 1.244539014183516201e+01
1.153032437785881115e+01 -2.435932258372695003e+00 7.255064284460274848e+00 -5.927376598564747745e+00 9.674961173077967658e+00 -4.133599382524209886e+00 1.497622889337110408e+01 1.498243786365373964e+01 1.605780056858554161e+01 1.254248170730287271e+01
1.431649106148282513e+01 -7.113111377443425809e+00 9.475241267470316586e+00 -8.949131651367689955e+00 9.886207966569461547e+00 -6.680375420802032949e+00 1.531322995609157545e+01 1.524392654436891625e+01 1.592623872358610093e+01 1.252414485334497662e+01
1.515702101930107304e+01 -6.801633678960867790e+00 8.229785085681609047e+00 -8.651954207378345529e+00 9.222257963836877792e+00 -6.806736393267676988e+00 1.518621213194163033e+01 1.524857337796676049e+01 1.604133014538783542e+01 1.286209511979305375e+01
1.056503824352289911e+01 -3.026553377701334036e+00 8.389492469407883846e+00 -5.316460773069849211e+00 9.317174184605040210e+00 -3.043207115367704496e+00 1.512137226600030715e+01 1.516676092191529612e+01 1.591358991733844874e+01 1.254566175571214970e+01
1.408671010611263341e+01 -5.614742361267482273e+00 7.980855379514416370e+00 -7.856515843387116504e+00 9.480785754953732436e+00 -6.336042128913655702e+00 1.510953211497471749e+01 1.520385217580135695e+01 1.597699148091956900e+01 1.252456717738320435e+01
1.451459845685981520e+01 -6.502843827338993243e+00 8.641087939818319796e+00 -8.668832761749532878e+00 9.844328196754503324e+00 -6.867732127471680492e+00 1.520959071850384170e+01 1.524822665560741086e+01 1.603272771592799018e+01 1.253836662278205338e+01
1.066198415805181199e+01 -2.362702459312292724e+00 7.238104865232656948e+00 -4.706656837526034032e+00 9.234828301650161109e+00 -3.447765037327082283e+00 1.482380275920845136e+01 1.516030507724251208e+01 1.590422929896335269e+01 1.225806437016872508e+01
