weight logl m0 c1 c2 c3 c4 c5 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -4.444606704982143128e+04 1.638584804332624856e+01 5.342174472998211243e+00 4.493633879725365432e+00 8.557271809631469495e+00 8.780919878251900457e+00 -1.408523551857655320e+00 3.048264324203491071e+01 3.352690546274100569e+01 3.017019633008673196e+01 2.151303428529907436e+01
0.000000000000000000e+00 -4.218215579311296460e+04 1.721685038055419170e+01 -9.338718357774006051e+00 7.619521137544502665e+00 3.165677927900048871e+00 8.637459813616644055e+00 7.894533621984724192e+00 2.234888665073281899e+01 3.004743653943368997e+01 3.349011386345254948e+01 3.086020856347992947e+01
0.000000000000000000e+00 -4.189890556732006371e+04 1.542689617583934769e+01 -6.260366939955717136e+00 -6.435432970906608929e+00 -7.983706756030986007e+00 -6.178204588912958428e+00 -3.765983063373569806e+00 -5.259695716378161023e-01 -1.564287408255035317e+00 1.181656930812154727e+00 6.759574070466067397e+00
0.000000000000000000e+00 -4.168702637904057337e+04 1.795627738494461667e+01 7.164264674011619149e+00 6.358955968642732159e-01 7.528731795724414866e+00 7.310262764281809211e+00 1.733718071263790961e+00 2.851252217354338114e+01 3.150880886870236353e+01 3.105014687977916310e+01 2.515226450832658855e+01
0.000000000000000000e+00 -4.037216551471015555e+04 1.404911581322800274e+01 2.783471371925866578e+00 -2.829259005740867750e+00 9.172162171339426351e+00 9.333815328906652553e+00 9.098011304773667263e+00 1.983557942507176008e+01 2.877447464571719138e+01 3.411237451860912984e+01 3.001919297455022928e+01
0.000000000000000000e+00 -4.030598780124235782e+04 1.942222726142108158e+01 1.698602026547806787e+00 -8.276041018072746169e-01 8.008137435272995930e+00 5.899901308964084379e+00 3.024506396443369383e+00 2.531412229485533061e+01 3.114607168419218652e+01 3.192063104051750955e+01 2.710036420542783375e+01
0.000000000000000000e+00 -4.013260076864744042e+04 1.778670377746804832e+01 -9.017031732378111286e-01 -9.320584839146082601e+00 -5.103433459067383993e+00 -8.290601741413903270e+00 -9.791919863465137652e+00 3.593030116323209455e+00 5.543212008735807217e-01 -8.098074478810062260e-01 2.171760325277787729e+00
0.000000000000000000e+00 -3.918434132054173097e+04 1.013279698598067569e+01 3.201318593875511098e+00 -7.381190656161839669e+00 -7.685924309484112982e+00 -4.062531211149207344e+00 5.031720671102576148e+00 -4.623509780220729226e-01 -3.379874796427532857e+00 3.497037800134314978e+00 1.157936747942340716e+01
0.000000000000000000e+00 -3.813189045117021305e+04 1.696077226290541518e+01 1.338138331595573050e-02 6.014753845454187342e+00 6.255557358068369211e+00 4.325399590052576571e+00 7.455325338679081426e+00 2.744603002087967525e+01 3.049872924537394425e+01 3.041639964927273354e+01 2.795300506391844308e+01
0.000000000000000000e+00 -3.770170826664187189e+04 1.288842728673919780e+01 -2.340285389809220185e+00 -7.272708498001674293e+00 -6.707650846765293551e+00 -5.424732277571282069e+00 9.801370777861091454e-01 -5.954012857336312692e-01 -1.704686747347899711e+00 2.979530017587512347e+00 9.588938518431440627e+00
0.000000000000000000e+00 -3.721542746945696126e+04 1.837055828000066526e+01 6.101006243627686843e+00 6.342897718397676243e+00 2.961064585955845985e-01 4.909213837410735692e+00 9.325484934893527367e+00 2.936148761094813153e+01 2.757916393669314914e+01 3.004175620929021662e+01 3.078621546219498128e+01
0.000000000000000000e+00 -3.553713488429789140e+04 1.182547637526375617e+01 -2.155180381353147823e-01 -5.531989015688143496e+00 -7.262373315816049058e+00 -3.575123969680157998e+00 -8.437612218349084259e-01 1.264703227868960056e+00 -1.103998046319960125e+00 2.582665787303241700e+00 7.768910358806001781e+00
0.000000000000000000e+00 -3.495280878735778242e+04 1.894557588055815955e+01 6.228443215153557588e+00 -2.736837212291344912e+00 -8.279558853960566012e+00 -9.679604565303938202e+00 -9.509849936795690795e+00 1.354903723122341574e+01 2.690974295861259691e+00 -1.825049419683061558e+00 2.415918453247915210e+00
0.000000000000000000e+00 -3.338829975086346531e+04 1.286111096290851918e+01 -7.748307381980403363e+00 6.973834662240513182e+00 -9.649903901958616359e+00 -8.499246547037607513e+00 8.212167151370586282e-02 8.133061407905138651e+00 1.248492569659946483e+00 -5.835588829716815695e-01 6.557079578974468248e+00
0.000000000000000000e+00 -3.251945248675247785e+04 1.953069673835864251e+01 -7.859530574545496862e+00 -5.526228402661217842e+00 -8.516961635767684058e+00 -7.824340313514501766e+00 -6.481336561095176307e+00 2.940713253707844643e+00 9.753805359694922572e-01 1.774223540884904082e+00 7.086985038824060723e+00
0.000000000000000000e+00 -3.210850894087709457e+04 1.037738648426953070e+01 -6.539078517386052170e-01 -7.222496148322443688e+00 -6.978475546397120866e+00 -2.012913258907104819e+00 5.955243670336262340e+00 -1.680645606410696047e+00 -1.485190238068472723e+00 6.759128898566382659e+00 1.408684853674959747e+01
0.000000000000000000e+00 -3.184428239222179764e+04 1.155240057007051924e+01 4.620713502615529933e+00 1.472883265242849404e+00 9.364680592828023009e-01 -9.966483769028078754e+00 -7.076674581708484624e+00 1.496845317700946154e+01 7.004861324199768369e+00 -1.887642147595348874e+00 -1.424602485247550732e+00
