C sigma mu1 a1 W lam0
1.817863446766339734e+02 2.530258187040860918e+00 1.210739365514242081e+03 3.109030330370935644e+02 1.710266156625436018e+00 1.210739365514242081e+03
2.289911643109663260e+02 2.563988533429142347e+00 1.212767098734986803e+03 2.662095196454021107e+02 1.162531840241197489e+00 1.212767098734986803e+03
1.559365892630172823e+02 2.156665296441405699e-01 1.212385289915425801e+03 8.204262139589415881e+01 5.261280997849284713e-01 1.212385289915425801e+03
2.755964424342554935e+02 1.932966748470924312e+00 1.217959723402180771e+03 3.474947897859253203e+02 1.260882712115637849e+00 1.217959723402180771e+03
2.354259214586366227e+02 2.187020516362307543e+00 1.217586127075225022e+03 3.627570130041037544e+01 1.540854170843029558e-01 1.217586127075225022e+03
2.031051217143452163e+02 6.222776915500336514e-01 1.212310454532339918e+03 2.174668362715418652e+02 1.070710745430612620e+00 1.212310454532339918e+03
1.460740186631274469e+02 2.503944135390248071e+00 1.213655609586767468e+03 2.961649009905546848e+01 2.027498823548925522e-01 1.213655609586767468e+03
1.786814766445090470e+02 1.223750590881455658e+00 1.218375383473952979e+03 1.009662495426961755e+02 5.650627666547153316e-01 1.218375383473952979e+03
2.531768450297752793e+02 2.201563242222073669e+00 1.215429581664489433e+03 3.343939543853996383e+02 1.320792011394535947e+00 1.215429581664489433e+03
1.849537175270564830e+02 1.582830185034270476e-01 1.218136063593235349e+03 1.568956250647035588e+01 8.482966828809571092e-02 1.218136063593235349e+03
1.210751976037363420e+02 1.628056506486911026e+00 1.215349135523475070e+03 2.949332522572834137e+01 2.435951029562324344e-01 1.215349135523475070e+03
1.492801669541384797e+02 1.230550662193206524e+00 1.214119841155860513e+03 1.542358503850395266e+02 1.033197199145841738e+00 1.214119841155860513e+03
2.385779320956576726e+02 2.341283049910877434e+00 1.218296553638950172e+03 3.379562412700238951e+02 1.416544431840077056e+00 1.218296553638950172e+03
1.731015963426979738e+02 1.042460749093016892e+00 1.210756226686478158e+03 3.168533986424006343e+02 1.830447583020031521e+00 1.210756226686478158e+03
