A T phi m0 m_100 m_200 m_300 m_400
1.422000833991937885e+00 1.006763337318158733e+02 1.106145966859192642e+00 1.500969555953235002e+01 1.625291248147091139e+01 1.622267684639158958e+01 1.619028040087561138e+01 1.615578085609984882e+01
1.510409488469669492e+00 1.005961200456801237e+02 1.065507598032211511e+00 1.495498999390158801e+01 1.624851865453711852e+01 1.621859348519578603e+01 1.618691675443070821e+01 1.615353237137953357e+01
1.397339468839105203e+00 1.003246976393791954e+02 9.721495671837059316e-01 1.500490782634063436e+01 1.614299817541958504e+01 1.612627723500177268e+01 1.610909259573451280e+01 1.609145136365921758e+01
1.527064872920301131e+00 9.988400559139569168e+01 1.035700810456609000e+00 1.508745770099808325e+01 1.640671608050926622e+01 1.641229258857006457e+01 1.641779856210109756e+01 1.642323370796299997e+01
1.528097722819969029e+00 1.000666737647453175e+02 1.065859476778288961e+00 1.500237842124626297e+01 1.633667081003646970e+01 1.633354100774823792e+01 1.633038787511108580e+01 1.632721146738775531e+01
1.449173742967741596e+00 9.880603041625370508e+01 7.901602652380407266e-01 1.506634034116333432e+01 1.617031990510497153e+01 1.623834960894964041e+01 1.629962623483634943e+01 1.635379670890895909e+01
1.418403149988340051e+00 1.015339391931566553e+02 1.224142326383488300e+00 1.509042687243847070e+01 1.637277443022068368e+01 1.630954680678586399e+01 1.623534243122482934e+01 1.615082942733268112e+01
1.468119759930987200e+00 1.004916780677330905e+02 1.025069552934370520e+00 1.504925392554756058e+01 1.628011479375692971e+01 1.625493671743021906e+01 1.622861928345661653e+01 1.620118736153636974e+01
1.537498511628070164e+00 1.009370866415603558e+02 1.102403969232468750e+00 1.499298842461833203e+01 1.632209169930124659e+01 1.627477121364311330e+01 1.622309050213002024e+01 1.616722536644730823e+01
1.464429728357963478e+00 9.939359663266037614e+01 9.089203108820036459e-01 1.498255113531884675e+01 1.617139754262042217e+01 1.620329550571422317e+01 1.623339981889890282e+01 1.626166624965543051e+01
1.552892214091414314e+00 9.940410889279164053e+01 8.751167829903573336e-01 1.510311004341594199e+01 1.633177113891888510e+01 1.636666079570552768e+01 1.639975808846654814e+01 1.643101606823943328e+01
1.451991911624632703e+00 9.954977443448527197e+01 9.023594997065541579e-01 1.505290966206913872e+01 1.621752854056988369e+01 1.624169627040114960e+01 1.626490412638232641e+01 1.628713336956236191e+01
1.488518005075684991e+00 9.953114683660420781e+01 9.969962614346356000e-01 1.508341484433235991e+01 1.635690230945586165e+01 1.637915094304011276e+01 1.640026456508968877e+01 1.642022468093998455e+01
1.430879260278307807e+00 9.982820259259744944e+01 1.093080398914425766e+00 1.513991880680282520e+01 1.641764619220505850e+01 1.642453565976412477e+01 1.643127493220108448e+01 1.643786322157217228e+01
1.447197642209833379e+00 1.001628711062686676e+02 9.284344493621023986e-01 1.505626831809203381e+01 1.620609657126290415e+01 1.619705822368450399e+01 1.618790079682848315e+01 1.617862524657618195e+01
1.461812005221798216e+00 9.930329836614765782e+01 9.480064109340254896e-01 1.512961703459049367e+01 1.635340239675310414e+01 1.638744702048415292e+01 1.641904777668334958e+01 1.644814326749651556e+01
1.529145696013675337e+00 9.829136107544510992e+01 7.701307339122001050e-01 1.508561046207014300e+01 1.626355277548837819e+01 1.636282083834644396e+01 1.644686730224954729e+01 1.651469051422737166e+01
1.291517016413023411e+00 1.003749382212138102e+02 1.143948330453257833e+00 1.509590494769852853e+01 1.625866896810319417e+01 1.624515659246465304e+01 1.623101118756942185e+01 1.621624054497053891e+01
1.540603312288226334e+00 9.891561952236409638e+01 8.254772308218387700e-01 1.510023313313410398e+01 1.630160670036665849e+01 1.636513705729575463e+01 1.642266840970337682e+01 1.647392790616056146e+01
1.340452664871988997e+00 1.014789360699248562e+02 1.323516815527896684e+00 1.505765648421526492e+01 1.632188793308226238e+01 1.627584748202319176e+01 1.621959954886181166e+01 1.615361544702276575e+01
1.434324111029622317e+00 9.954746671924307577e+01 1.071029411971060163e+00 1.510903981867094359e+01 1.638705458274352722e+01 1.640512869812067720e+01 1.642214549551671610e+01 1.643809109303963112e+01
1.442143195367963315e+00 9.888876107348573896e+01 9.052799687868128276e-01 1.513190264154660269e+01 1.632628365819348204e+01 1.638032590970216518e+01 1.642814713279880579e+01 1.646950902914727166e+01
1.508071288235061536e+00 9.982789842237407640e+01 9.799750161365125001e-01 1.502305607736150606e+01 1.628451030295017787e+01 1.629338826611924063e+01 1.630211717700304064e+01 1.631069601140953296e+01
1.486421132047279769e+00 1.002245208581486793e+02 1.048237441463523156e+00 1.502881279131021408e+01 1.630629398464642676e+01 1.629547146707993477e+01 1.628439800507318580e+01 1.627307579244822477e+01
1.478043877428477426e+00 1.003144812159424077e+02 1.130861425950544952e+00 1.510851088465486924e+01 1.643315691711043058e+01 1.641998537793264035e+01 1.640630501462300117e+01 1.639212113487069900e+01
1.342202891837513512e+00 1.014061551656018025e+02 1.262089529388882081e+00 1.509872540821506348e+01 1.633714339826339668e+01 1.628741322773820954e+01 1.622866546348229022e+01 1.616134577631177649e+01
1.485252438863560398e+00 1.005505106389870491e+02 1.062565470945068924e+00 1.507312892948176142e+01 1.634502928143292166e+01 1.631789801963231668e+01 1.628929387372512139e+01 1.625925068982161292e+01
1.377885709520322521e+00 9.834521092759700878e+01 8.011775340717299798e-01 1.506500455663264759e+01 1.615022408853005942e+01 1.623376061065834008e+01 1.630424570852886035e+01 1.636089227955250536e+01
1.381145642301746967e+00 9.987131876303593003e+01 9.943734185546643234e-01 1.512108525461963815e+01 1.628511823811756187e+01 1.629109808016263372e+01 1.629700123960024527e+01 1.630282732953749303e+01
1.491702260851171635e+00 1.006008370966788021e+02 1.052801294421365386e+00 1.508738862475508924e+01 1.635477712118310833e+01 1.632436976135182505e+01 1.629222066628936716e+01 1.625837510363149008e+01
1.356235189448738332e+00 9.989828988403122878e+01 1.008083468301227636e+00 1.514823547582522423e+01 1.629995907404425282e+01 1.630451694958162179e+01 1.630902750628717968e+01 1.631349055957415572e+01
1.446852600730346161e+00 1.004771548958229914e+02 1.060174929392741827e+00 1.502349449610706777e+01 1.626413055215591541e+01 1.624136862170387374e+01 1.621752247970326621e+01 1.619261335516455347e+01
1.460472729334519437e+00 9.909979342839409355e+01 9.998003601048407463e-01 1.509566025184030558e+01 1.636747480297147206e+01 1.640635954144353192e+01 1.644097569662044478e+01 1.647121053330588580e+01
1.373906798398972784e+00 1.010715069230162015e+02 1.226096263092975036e+00 1.501838224635648977e+01 1.627770167722147576e+01 1.623834626802690195e+01 1.619357984488519264e+01 1.614360096425841107e+01
1.448472528819615635e+00 1.013774686261392475e+02 1.248718797896323451e+00 1.514871402070969886e+01 1.647860606461453870e+01 1.642481917623824117e+01 1.636173699774071011e+01 1.628981902663910830e+01
1.514044059500960326e+00 1.002471702040541146e+02 1.095339866087682967e+00 1.502553018740703550e+01 1.636074467795483756e+01 1.634952657129806042e+01 1.633799071443744566e+01 1.632613987590085358e+01
1.543879612975892712e+00 9.974011558955359646e+01 9.285948899490288344e-01 1.515124804468497999e+01 1.640252740221520966e+01 1.641716481998603072e+01 1.643146294396449036e+01 1.644541794193601802e+01
1.416588152948389912e+00 1.009077349908863397e+02 1.202538271912930057e+00 1.520303353935007351e+01 1.649372888207156507e+01 1.645868775125767414e+01 1.641963625998886300e+01 1.637669913253619569e+01
1.636354758194839221e+00 9.995530369898060030e+01 1.017247385563048168e+00 1.500846992320707862e+01 1.640286974647001017e+01 1.640527019876286730e+01 1.640765962487152052e+01 1.641003800593411199e+01
1.423386457304393948e+00 9.928964734422427796e+01 9.245790951910289879e-01 1.507381514317973092e+01 1.624756894202015900e+01 1.628256603404451397e+01 1.631512102579659285e+01 1.634516814478776681e+01
1.357124095506592631e+00 1.011994139182547201e+02 1.231634411470820867e+00 1.510258548233862541e+01 1.634526028812828713e+01 1.630123307922665532e+01 1.625056182293914375e+01 1.619352738766173871e+01
1.377287063462873107e+00 9.915635105657202075e+01 9.403643708928259848e-01 1.507400536171600081e+01 1.622833406307918480e+01 1.626682939870113032e+01 1.630191661220496258e+01 1.633349545283726556e+01
1.480335574785206720e+00 1.001462016293240538e+02 9.632335455588928452e-01 1.495415211876040296e+01 1.616176682022114264e+01 1.615386255206347599e+01 1.614585734267667405e+01 1.613775186560300412e+01
1.478141879078289200e+00 9.948469982532529343e+01 9.952118920784350786e-01 1.517548120096768116e+01 1.644098057992926698e+01 1.646516442348152509e+01 1.648798238735021471e+01 1.650941030545120469e+01
1.546838236848439685e+00 9.907717834551357328e+01 1.004106210972168345e+00 1.508021034924482606e+01 1.643158646418547519e+01 1.647329525087400626e+01 1.651023422117100736e+01 1.654227689886112529e+01
1.460472729334519437e+00 9.909979342839409355e+01 9.998003601048407463e-01 1.509566025184030558e+01 1.636747480297147206e+01 1.640635954144353192e+01 1.644097569662044478e+01 1.647121053330588580e+01
1.526262346693391114e+00 1.001755735963000262e+02 1.050989493930251317e+00 1.507436562470483032e+01 1.639060311914142076e+01 1.638201478964686686e+01 1.637326788274142686e+01 1.636436345915444335e+01
1.443902110572184316e+00 1.008913212209997852e+02 1.075117869347310462e+00 1.513707205872612249e+01 1.636713726215930009e+01 1.632329032390300583e+01 1.627578934223560836e+01 1.622478063984846131e+01
1.587654581720535862e+00 9.858038253722737920e+01 8.031254195279120545e-01 1.506617844245140780e+01 1.630349647298372773e+01 1.638832633364914670e+01 1.646233923675277211e+01 1.652492965666678160e+01
1.596252186195152634e+00 9.885414996068953997e+01 8.826472722772517043e-01 1.504025061295699395e+01 1.634373348324745834e+01 1.640732366121589791e+01 1.646366572147543295e+01 1.651246094269201237e+01
1.548274615966874102e+00 9.884676622099436827e+01 9.089241849248577143e-01 1.506108709997325512e+01 1.634884457135774127e+01 1.640833957865103798e+01 1.646059816173465506e+01 1.650533962691400447e+01
1.509776407828237854e+00 1.005507181913672810e+02 1.122655334013585415e+00 1.513720974558579080e+01 1.647458869939344339e+01 1.644969174767956588e+01 1.642324062524139094e+01 1.639526665407804629e+01
1.442889724165421272e+00 9.883437504880326685e+01 9.414800283529343172e-01 1.509521256800876188e+01 1.632136231384773950e+01 1.637430668713533777e+01 1.642023060753921371e+01 1.645888201642301141e+01
1.426617832957853160e+00 1.018075586910545951e+02 1.239832162490042800e+00 1.503374790512298631e+01 1.632294738688693769e+01 1.624692526497901213e+01 1.615582116285409597e+01 1.605076766863278337e+01
1.541669471696362148e+00 9.937212925350127080e+01 9.812023839257769664e-01 1.514815801413157104e+01 1.646255413113740218e+01 1.649349490377031557e+01 1.652231563152447791e+01 1.654897089734729576e+01
1.540868498680693088e+00 9.995139211487888531e+01 1.030410508469499886e+00 1.507313608959214335e+01 1.639686271572235299e+01 1.639926644419595192e+01 1.640165779093834786e+01 1.640403673362215997e+01
1.500019731556498925e+00 9.889438029703589450e+01 8.418188061390305954e-01 1.497677036251330307e+01 1.616293882334394283e+01 1.622445821917973419e+01 1.627982364450693709e+01 1.632876202045182978e+01
1.642432133512515824e+00 9.901069059612008516e+01 8.946907657247075152e-01 1.499299222211299920e+01 1.633607319546624126e+01 1.639273946859946207e+01 1.644389047143099347e+01 1.648932465928373148e+01
1.461732472685431716e+00 9.944154473142346262e+01 9.757652391250611901e-01 1.501751148084181153e+01 1.625616954816402426e+01 1.628277945272276028e+01 1.630781414804164697e+01 1.633124246690215386e+01
1.495954906398899498e+00 9.938229215547605122e+01 8.351241534659282761e-01 1.500875887243745410e+01 1.615617988561876217e+01 1.619278034885921613e+01 1.622757525039633109e+01 1.626051153009316863e+01
1.327574352569785843e+00 1.005685714987322115e+02 1.065745546388568110e+00 1.510671732930916633e+01 1.624499794239273243e+01 1.622001580599826553e+01 1.619362900935570337e+01 1.616587084496036297e+01
1.486661196647144356e+00 9.871396247250306999e+01 8.272238643955966975e-01 1.503695051333967214e+01 1.620983578853558527e+01 1.628060210322878376e+01 1.634303993182653159e+01 1.639673114067183946e+01
1.377885709520322521e+00 9.834521092759700878e+01 8.011775340717299798e-01 1.506500455663264759e+01 1.615022408853005942e+01 1.623376061065834008e+01 1.630424570852886035e+01 1.636089227955250536e+01
1.447837795941299355e+00 9.935086372200018445e+01 9.304197894579777639e-01 1.503080473429172415e+01 1.622630951239885277e+01 1.625882083643830001e+01 1.628926282325089048e+01 1.631758417486385682e+01
1.438666771426810209e+00 1.007530992533670684e+02 1.155617202266422394e+00 1.503130481500615900e+01 1.631905341379455265e+01 1.628751862275352380e+01 1.625321350444746216e+01 1.621621371192522787e+01
1.530871447634566618e+00 1.001165537179439156e+02 1.131582846625045269e+00 1.507490233410781855e+01 1.645567454349463787e+01 1.645080195704418102e+01 1.644585575242128073e+01 1.644083619427500409e+01
1.439668521491700659e+00 1.008799938406144321e+02 1.158127591809842150e+00 1.513080692404971117e+01 1.641600996007548119e+01 1.637853934821309210e+01 1.633732140889511442e+01 1.629247993237711611e+01
1.459491633886235151e+00 1.005013965650639420e+02 1.143678747751680103e+00 1.509729214110782003e+01 1.640606690097573406e+01 1.638517964500616131e+01 1.636302701004601090e+01 1.633963076156687322e+01
1.473232975611952655e+00 9.993832466469081055e+01 1.107314222220320499e+00 1.501166784539070065e+01 1.633202047730958029e+01 1.633454460047780898e+01 1.633704883352220705e+01 1.633953313879036173e+01
1.377287063462873107e+00 9.915635105657202075e+01 9.403643708928259848e-01 1.507400536171600081e+01 1.622833406307918480e+01 1.626682939870113032e+01 1.630191661220496258e+01 1.633349545283726556e+01
1.484293906730667523e+00 1.011003246590510116e+02 1.210802661228362442e+00 1.500232843926874438e+01 1.635250343586994504e+01 1.630721789206377181e+01 1.625583275601071520e+01 1.619858822305974044e+01
1.598131479844477898e+00 1.000769822369345263e+02 1.085232965475715572e+00 1.515333924813574740e+01 1.656312477984839759e+01 1.655947045705935494e+01 1.655578328714329217e+01 1.655206335623223879e+01
1.531024909939376233e+00 1.003545716927247042e+02 1.105094348245759583e+00 1.501607697004400777e+01 1.636845951726866488e+01 1.635219479875033954e+01 1.633527163378626312e+01 1.631769836220814796e+01
1.438560169500591179e+00 1.000067969357122166e+02 1.001504745166355015e+00 1.506496972407587442e+01 1.627631332161699618e+01 1.627598185233389927e+01 1.627565016221193162e+01 1.627531825131159238e+01
1.576949822326502382e+00 9.973125226276414423e+01 9.656241812704177141e-01 1.505574669939788990e+01 1.636763993355117108e+01 1.638226697369776375e+01 1.639651374535285910e+01 1.641037616444895164e+01
1.570759806912525036e+00 9.885491494844777094e+01 9.086477931721584911e-01 1.512361762962173373e+01 1.642937850195072258e+01 1.648940965553766347e+01 1.654220925652812113e+01 1.658749774325795556e+01
1.452931609974044358e+00 1.003259257488754628e+02 1.074861734264122459e+00 1.504834074390562471e+01 1.631185176267882753e+01 1.629694760765260853e+01 1.628152323942617485e+01 1.626558508432969674e+01
1.523572455972459938e+00 1.010474241600273473e+02 1.195249639946035947e+00 1.509570464673163315e+01 1.647372028621574813e+01 1.642850217163820403e+01 1.637763253963016297e+01 1.632132709483288835e+01
1.504534068269370417e+00 9.938097854850583701e+01 9.183324619578295822e-01 1.501348984890287497e+01 1.624380356796542912e+01 1.627674493968079972e+01 1.630775167113566226e+01 1.633677627637769092e+01
1.433670291964107113e+00 9.999654044966523259e+01 1.111432016995407057e+00 1.509674320504698741e+01 1.638192953972240318e+01 1.638206762646197490e+01 1.638220565246615834e+01 1.638234361772842362e+01
1.468257094105872795e+00 1.013439474144612973e+02 1.259172436492105751e+00 1.508126589539045170e+01 1.643649221555521223e+01 1.638477371390336046e+01 1.632401057783669529e+01 1.625462442381490646e+01
1.407171210754985191e+00 1.004041846390293387e+02 1.120440071673602933e+00 1.510000199274487187e+01 1.635097073240730481e+01 1.633427409207613223e+01 1.631678785840606949e+01 1.629852321775840451e+01
1.376704425722391489e+00 9.947997569117646322e+01 9.880198263848805063e-01 1.507061490352310607e+01 1.624433839723372586e+01 1.626733318893686331e+01 1.628903709261921406e+01 1.630942669649740040e+01
1.573543413252658008e+00 1.012482436089946845e+02 1.157877653018557718e+00 1.513705679078982946e+01 1.652516344149822913e+01 1.646365239034969363e+01 1.639418515515241381e+01 1.631717836182371784e+01
1.563554556445350130e+00 1.014601185440226914e+02 1.247361379019399141e+00 1.505320181217343745e+01 1.648475595573273011e+01 1.642213040870798935e+01 1.634832001300744153e+01 1.626392783741692938e+01
1.431634785782645691e+00 9.784381157449108457e+01 6.776165329164787199e-01 1.511063924742418862e+01 1.615353576619920162e+01 1.627892370640682884e+01 1.638194910999508735e+01 1.646063993210558962e+01
1.433074116575880241e+00 1.017859105181578059e+02 1.346363946906511178e+00 1.498439825826285876e+01 1.633796099758030351e+01 1.627795631171210289e+01 1.620224619617712136e+01 1.611174986746620874e+01
1.436668666980718712e+00 9.870034108832491881e+01 8.670492744911900695e-01 1.506991668218357816e+01 1.623834515743043028e+01 1.630343105783319757e+01 1.636007821688874131e+01 1.640789909900545851e+01
1.551049429952666703e+00 9.924720215020116143e+01 9.296691625723504382e-01 1.511693540328658614e+01 1.640276442310525340e+01 1.644262814703472841e+01 1.647948135727017771e+01 1.651324036391090289e+01
1.404599506188406233e+00 1.010468125086098894e+02 1.131392747006249921e+00 1.495361711390223647e+01 1.618322952253525671e+01 1.613646364020184620e+01 1.608468787744303796e+01 1.602812152761142528e+01
1.419152540046502819e+00 1.008797253508804204e+02 1.195367019847316303e+00 1.503441231556817215e+01 1.632424196762885771e+01 1.628989122224825081e+01 1.625177216418893167e+01 1.620999920758323753e+01
1.507273531852208359e+00 9.910740112630455201e+01 8.749058804505911446e-01 1.498567753368569022e+01 1.619528351527408461e+01 1.624420995909049381e+01 1.628910729645742350e+01 1.632983179158555842e+01
1.619822736450424738e+00 1.005505494683490184e+02 1.089195266720734301e+00 1.495456662710090256e+01 1.636348508515526490e+01 1.633516108558177393e+01 1.630520325615519539e+01 1.627364704971670051e+01
1.464708698352260585e+00 1.005163055145620206e+02 1.105163980830987658e+00 1.505825494510847129e+01 1.634512528121651798e+01 1.632188270199670299e+01 1.629732404459689121e+01 1.627147488705061562e+01
1.515469836855081853e+00 9.943027375639425713e+01 9.963467177062602653e-01 1.508901641843720043e+01 1.639005609779781025e+01 1.641718557603066131e+01 1.644259373512378275e+01 1.646624764587511436e+01
1.340452664871988997e+00 1.014789360699248562e+02 1.323516815527896684e+00 1.505765648421526492e+01 1.632188793308226238e+01 1.627584748202319176e+01 1.621959954886181166e+01 1.615361544702276575e+01
1.620274119752203035e+00 9.954740706838393294e+01 1.006183150505981061e+00 1.515020768907110060e+01 1.654321331643227566e+01 1.656628173635695589e+01 1.658819465137055360e+01 1.660893418071255212e+01
1.441855644632449751e+00 9.976283885874690327e+01 1.077085924724272559e+00 1.509372128597691720e+01 1.637345545135871205e+01 1.638323403040050508e+01 1.639272491811748722e+01 1.640192599708501575e+01
1.513969740006558595e+00 1.001224258405028706e+02 9.759983114206385313e-01 1.514044252709177840e+01 1.638785107002250641e+01 1.638122283910842469e+01 1.637452137028204646e+01 1.636774705910218941e+01
1.641458954137650306e+00 9.997873540193948827e+01 1.041570340936224470e+00 1.506817495863101541e+01 1.648618542451569979e+01 1.648728910428006955e+01 1.648839024963907107e+01 1.648948885862617075e+01
1.389683694636366429e+00 9.996013700147439351e+01 9.499137478718872041e-01 1.504124302569870864e+01 1.617358572499226810e+01 1.617560077765531190e+01 1.617760870841961207e+01 1.617960950467867320e+01
1.554904709571285348e+00 1.004151836056045823e+02 1.118609595434342907e+00 1.496517148813424214e+01 1.634567887137082920e+01 1.632662745653685832e+01 1.630665724266851413e+01 1.628578170696494709e+01
1.510058359739796074e+00 1.000367152215935960e+02 1.029459754148002615e+00 1.509963342120351015e+01 1.639198696559059343e+01 1.639018231160060779e+01 1.638837079471383618e+01 1.638655242456358252e+01
1.473581874577766904e+00 9.967771499721888517e+01 9.367596908384370202e-01 1.516071365195180221e+01 1.636538227575077897e+01 1.638237315791609561e+01 1.639885986773111171e+01 1.641483560121878682e+01
1.462139041725884825e+00 9.946861330839993798e+01 1.007955884059551055e+00 1.512670126567413398e+01 1.638878141868294236e+01 1.641284601684910172e+01 1.643546164956777744e+01 1.645660283815910674e+01
