weight logl A T phi m0 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -4.968388522163409107e+03 2.334670650984861595e+00 7.054119359725640948e+01 5.865406931669414625e+00 1.999666449019074577e+01 2.187574987663296611e+01 1.767814448388774196e+01 2.214706526309043610e+01 1.857788219680205799e+01
0.000000000000000000e+00 -4.961912461144123881e+03 2.388126747576261977e+00 2.922281909612903661e+01 2.123942206547559941e+00 1.974632106961303890e+01 1.736292488740410889e+01 2.191978548874290311e+01 1.829467432171972874e+01 2.013426393578994222e+01
0.000000000000000000e+00 -4.957745270621471718e+03 6.702881052550224705e-02 2.521292785148278881e+02 3.257570140389788982e+00 1.024598951551922532e+01 1.021189819428171752e+01 1.030804385689841496e+01 1.018124565550656868e+01 1.028705400510279766e+01
0.000000000000000000e+00 -4.907804953160799414e+03 2.887075359789307072e+00 2.385716289872449067e+02 4.410461560730404296e-01 1.018112629629499288e+01 1.037406486191601296e+01 8.611512566023643345e+00 1.273110624064013052e+01 7.294619992385976026e+00
0.000000000000000000e+00 -4.873037516983205023e+03 4.796189624980759514e-02 3.537235751729335931e+01 5.545922565285014372e+00 1.027503565040273514e+01 1.022860107110773242e+01 1.026404627300975925e+01 1.031123868371269126e+01 1.031973148693922049e+01
0.000000000000000000e+00 -4.847040239229394501e+03 2.921845286316763435e+00 1.669501269375473029e+01 4.763078708841386621e+00 1.959090661117459575e+01 1.666932046738647699e+01 1.667779249758827476e+01 1.669819567874009181e+01 1.673044644616688714e+01
0.000000000000000000e+00 -4.777097428142737954e+03 2.934744314407291998e+00 1.969769103787193103e+02 4.742426495259301156e+00 1.954518091005814284e+01 2.247094433303565353e+01 1.663387480910681404e+01 2.243526302077782120e+01 1.668304012744242470e+01
0.000000000000000000e+00 -4.749963243809885171e+03 2.117097885774170685e+00 1.235903386941083966e+02 3.062694458610967008e+00 1.970540261657255598e+01 2.173252182143111710e+01 2.101025250535946753e+01 1.862561943221614769e+01 1.761661772218563371e+01
0.000000000000000000e+00 -4.736607862876066974e+03 2.115046138466728731e+00 4.703524588409602103e+01 1.092638486630583383e+00 1.048183145555833740e+01 1.249350753933190994e+01 1.142983530727370045e+01 9.801832248073473863e+00 8.578621336628211580e+00
0.000000000000000000e+00 -4.682156230218455676e+03 2.378290101160029923e+00 2.825445466696544372e+02 2.084262579623741729e+00 1.037155905682015877e+01 8.185049548257211427e+00 1.095684310379155946e+01 1.184687410225452631e+01 7.993579826864412929e+00
0.000000000000000000e+00 -4.649553668691673920e+03 2.010466538091432831e+00 2.050274596735877424e+02 3.184995234775569006e+00 1.981416187392836292e+01 1.974655835575002527e+01 2.003619996936258829e+01 1.943900620066822782e+01 2.034020992214157886e+01
0.000000000000000000e+00 -4.628948482297546434e+03 1.351096624295813564e+00 8.524111781466204718e+01 2.198619255707471520e+00 1.988309443684894973e+01 1.968798533398966555e+01 1.860844035428393894e+01 1.889441479509866184e+01 2.023954816377439769e+01
0.000000000000000000e+00 -4.612325609167121002e+03 8.535235956782871725e-01 2.067689011419168992e+02 2.455262117097753549e+00 1.053690035303194605e+01 9.931092626046270411e+00 1.120123344816552624e+01 9.821062400457694963e+00 1.129667836152259319e+01
0.000000000000000000e+00 -4.587731474285055810e+03 1.469263632725327895e+00 3.792156275869861304e+01 5.612184789243683802e+00 1.008157414471844859e+01 9.804184591387016923e+00 1.135668329409786637e+01 8.696914271452538259e+00 1.061130903517202206e+01
0.000000000000000000e+00 -4.586309951747512059e+03 2.385415532058974719e+00 1.496652227480324484e+02 4.422695761879690934e+00 1.114284874342851239e+01 1.286054659561841440e+01 1.173912089668617220e+01 8.838581503816243412e+00 1.281334792237617215e+01
0.000000000000000000e+00 -4.525553725387551822e+03 1.924396950892841129e+00 3.581015759866345149e+01 3.306507856899795428e+00 1.045420019675198020e+01 1.220182391415434608e+01 1.169250731640859264e+01 9.360144776597767446e+00 8.638459638576831523e+00
0.000000000000000000e+00 -4.506852710412873421e+03 2.839476056596168974e+00 1.604210354615215692e+02 2.177671175529510617e+00 1.950123073116650119e+01 1.896823330602441260e+01 1.793028855213028905e+01 2.227865521864377740e+01 1.710402769997551076e+01
0.000000000000000000e+00 -4.471123788943953514e+03 2.858875766695256448e+00 1.052966580395945471e+02 3.098319080757477195e+00 1.088214815927214829e+01 1.188746858520629601e+01 1.266952271509132544e+01 1.327451224368187077e+01 1.364250444489179515e+01
0.000000000000000000e+00 -4.465344434257593093e+03 1.716988552652659816e+00 1.561503836883082670e+02 4.901407439495557128e+00 1.999818328235764398e+01 2.082069827625134195e+01 2.063926428240981537e+01 1.836092452871702463e+01 2.143787889635449773e+01
0.000000000000000000e+00 -4.461741904577557762e+03 1.046393679886027606e+00 1.180430044503405895e+02 4.392190459778800182e+00 1.031596527093658544e+01 1.001654017264614716e+01 1.096591355374583543e+01 1.136048969578323486e+01 1.086345756318485201e+01
0.000000000000000000e+00 -4.450593531322853778e+03 2.938064382476398784e+00 1.389362920375736508e+02 5.364886008325703948e+00 1.872877583501056620e+01 1.741796063918591386e+01 2.155849284380761333e+01 1.897053955683406912e+01 1.580772182595097597e+01
0.000000000000000000e+00 -4.427434375769964390e+03 1.433061896841388627e+00 1.410391469529560027e+02 1.440709088906980906e+00 1.082868055772176241e+01 1.028709166147736198e+01 9.683537780106398429e+00 1.195344701611785787e+01 1.140102265578924090e+01
0.000000000000000000e+00 -4.391001846584550549e+03 1.657633398876101394e+00 2.969194305568969412e+02 3.115598591841101106e-01 1.053110920236835568e+01 1.161651522154954819e+01 8.896974336056453936e+00 1.114095088298186198e+01 1.153259573125615489e+01
0.000000000000000000e+00 -4.386341258851489329e+03 2.692839303460670131e+00 7.246157824908937073e+01 5.329247318502493336e+00 1.953241745863482492e+01 2.220007609129682180e+01 1.783873026763243885e+01 1.933465601969184533e+01 2.151449935774266464e+01
0.000000000000000000e+00 -4.375309116831005667e+03 2.268398361208479042e+00 6.779096909925662828e+01 2.658447173748410552e+00 1.963931217636478266e+01 1.828562879138701547e+01 2.125984977234718443e+01 1.779143332949764300e+01 2.166947613758288682e+01
