weight logl A w B x0 k f sigma_v
0.000000000000000000e+00 -1.634314957867972225e+04 1.360674605642308066e+01 1.039414459097032761e+01 1.094151157509061179e+01 -4.200343162686066556e+00 -6.608072136453055911e-01 1.414304859230767875e+01 1.039414459097032761e+02
0.000000000000000000e+00 -1.632628933080414208e+04 8.422944440783001596e+01 1.562417232138932466e+00 1.472535651440906079e+01 1.294473040498003158e+00 -7.915220392507280600e-01 1.316015353962818679e+01 1.562417232138932377e+01
0.000000000000000000e+00 -1.563582315122611544e+04 1.899260691947124258e+01 8.379105423188383028e+00 2.287198099237797155e+00 -4.311213592280223494e+00 7.104399572864483758e-01 1.591410556394266962e+01 8.379105423188383384e+01
0.000000000000000000e+00 -1.423709825992028709e+04 2.791417130440372318e+01 5.996660944334180954e+00 1.997242538899579589e+00 6.478453931034994895e+00 -2.045354745185190559e-01 1.673918208545717334e+01 5.996660944334180954e+01
0.000000000000000000e+00 -1.404930781488773755e+04 3.044506454063227352e+01 1.143048061539485083e+01 5.833115068152427973e-01 3.287012429478936681e+00 -6.259687791751766817e-01 3.480017200661423260e+01 1.143048061539485047e+02
0.000000000000000000e+00 -1.348966781877465110e+04 9.641405158760491645e+01 5.607292294416851952e+00 2.791952738614289498e+00 8.032788176503576238e+00 -8.349453871288425866e-01 5.406217685406859630e+01 5.607292294416851774e+01
0.000000000000000000e+00 -1.311095165181270204e+04 7.182746664084904253e+00 2.185716810455391013e+00 1.759832234817326935e+01 -3.879492573828779989e+00 -8.467877411392576992e-01 1.569945012893275704e+00 2.185716810455391013e+01
0.000000000000000000e+00 -1.302793437815853940e+04 5.693103807480313350e+01 6.297568154008592600e+00 9.388543892769407151e+00 -7.677223814761847009e+00 -4.559776723084159045e-01 3.585270923545308364e+01 6.297568154008592956e+01
0.000000000000000000e+00 -1.197994184658355516e+04 8.574159216916375215e+01 6.971887328961704711e+00 3.198824668233546387e+00 -1.963700976270800425e+00 6.976453415136805170e-01 5.977807200091948658e+01 6.971887328961705066e+01
0.000000000000000000e+00 -1.189423136173512830e+04 9.482472322825631750e+01 1.942999802965310163e+00 1.429060237912617204e+01 -2.597507821090410118e-01 7.995376320958211824e-01 1.842444185487421038e+01 1.942999802965310252e+01
