weight logl A w B x0 k f sigma_v
0.000000000000000000e+00 -1.348966781877465110e+04 9.641405158760490979e-01 2.424890681272027226e-01 2.791952738614289498e-02 9.016394088251787897e-01 8.252730643557870671e-02 4.566984326979939279e-02 2.560097619433263638e-01
0.000000000000000000e+00 -1.311095165181270204e+04 7.182746664084904697e-02 6.240614791870480182e-02 1.759832234817326757e-01 3.060253713085610006e-01 7.660612943037115041e-02 4.358468770409901216e-01 8.949955966439319122e-01
0.000000000000000000e+00 -1.302793437815853940e+04 5.693103807480313083e-01 2.788193765267680257e-01 9.388543892769407595e-02 1.161388092619076717e-01 2.720111638457920478e-01 7.237269322280432959e-01 9.953995737606036176e-01
0.000000000000000000e+00 -1.197994184658355516e+04 8.574159216916374948e-01 3.143098594190371076e-01 3.198824668233546387e-02 4.018149511864599344e-01 8.488226707568402585e-01 8.504002759910823661e-01 3.109308849409014863e-01
0.000000000000000000e+00 -1.189423136173512830e+04 9.482472322825631350e-01 4.963156857712158754e-02 1.429060237912617159e-01 4.870124608945479716e-01 8.997688160479105912e-01 7.453095456083345116e-01 2.479034444664814929e-01
0.000000000000000000e+00 -1.067414121710312793e+04 1.815862060821354929e-01 7.729685500780725249e-01 6.882150200144410146e-02 3.055646479812049732e-01 2.332684295127310792e-01 6.261033055898812538e-01 2.638142128393220487e-01
0.000000000000000000e+00 -9.427333346992427323e+03 7.378836664504442311e-01 4.119808985754178643e-01 3.278492048986236806e-02 4.694956243341075197e-01 3.488845197163109590e-01 8.820765637707128626e-02 9.312144413751566319e-01
0.000000000000000000e+00 -8.696362407177181012e+03 8.031700001600268202e-01 1.068349770022137823e-01 1.952770415396571924e-01 2.957739968927852736e-01 9.908674510502153421e-01 8.886127320631320714e-01 8.323492259189513298e-01
0.000000000000000000e+00 -8.248537040915769467e+03 2.563421835451078490e-01 6.543339773527145908e-01 5.702120572923230490e-02 8.408845751279483416e-01 8.682886301613201852e-02 4.479782344416610718e-01 8.586286614963922759e-01
0.000000000000000000e+00 -5.844505856150974068e+03 5.851701415765112602e-01 1.810357591329703197e-01 9.585003409336445568e-02 5.423239846939188480e-01 3.008427172050262000e-01 7.861449681031577041e-01 2.123028921798053581e-03
0.000000000000000000e+00 -5.730815552815271985e+03 4.524052212869908995e-01 3.357134495272535712e-01 5.396664690600228020e-02 9.157869965376663757e-02 7.803510330838567821e-01 2.410486415202008903e-01 2.129027756914251279e-01
0.000000000000000000e+00 -5.573377783934025501e+03 6.243205696712011976e-01 3.740098235425918238e-01 1.074606250506426885e-01 3.807874349526813029e-01 8.451869723738174578e-01 2.447974595651541962e-01 7.792915753791586075e-01
0.000000000000000000e+00 -5.059192139698290703e+03 2.305825600233610828e-01 5.293085129496311048e-02 7.149604626216476966e-02 4.588419762359446930e-01 4.194395912395675330e-01 6.867855008354984969e-01 6.843596829547451410e-01
0.000000000000000000e+00 -4.824131154050272016e+03 8.278718076383252411e-01 4.108655169704816812e-01 9.666000072470881666e-02 1.469903685940585625e-01 2.970061494333893215e-01 3.424493407936946010e-02 8.321708921220413169e-01
0.000000000000000000e+00 -4.231242553349506125e+03 9.579452791516364085e-01 2.330340121458019942e-01 4.038249029375207133e-02 1.516674083016439356e-01 4.518673687044476583e-01 7.679240564116641687e-01 7.168293330224889681e-01
0.000000000000000000e+00 -3.983152191030163522e+03 6.890661762071565999e-01 2.926178278883355688e-01 1.141405165813730305e-01 3.599698536938154003e-01 7.479107097998409781e-01 9.544212119396131566e-01 1.221192808646975880e-01
0.000000000000000000e+00 -3.947632263532361321e+03 3.194593188744607737e-01 2.644713595362302438e-02 2.229907568825030273e-01 6.877739108845909444e-01 9.642873502433262356e-01 8.977337870561746813e-01 5.417641525029638361e-01
0.000000000000000000e+00 -3.640267355245368890e+03 4.956587507367405943e-01 8.256610501188277329e-02 1.973764177011853027e-01 4.805893094406964439e-01 9.070629753819759999e-01 5.243678340269439797e-01 5.783820819705255412e-01
0.000000000000000000e+00 -3.513657474345201990e+03 3.225089094537177958e-01 6.030665465709591500e-01 3.930684221358093922e-02 4.429266045612707536e-01 6.922360650384813407e-01 9.639901023699715132e-02 5.508354267712761709e-01
0.000000000000000000e+00 -3.504727102150754945e+03 9.642110443506930473e-01 4.624573497047642645e-01 1.389502064801890757e-01 3.443244111264576190e-01 1.857252725261000492e-01 1.618279548329671913e-01 2.947261120002740986e-01
0.000000000000000000e+00 -3.149353633341977911e+03 9.724967482044987177e-01 6.197991447008005528e-01 3.314642317520910542e-02 4.325208348765114952e-01 1.618086676669779900e-01 5.202444334012075178e-01 9.417781696869401697e-01
0.000000000000000000e+00 -3.035289285155331527e+03 8.355202630598005387e-01 1.963473911771673741e-02 1.818205794224926342e-01 4.926006092227909194e-01 1.757600376203259929e-01 1.722033610632269784e-01 2.835761329896183680e-01
0.000000000000000000e+00 -3.023480077903815982e+03 6.648013660521958634e-01 7.081775012150481885e-02 1.193030660343722404e-01 6.494427021949817913e-01 3.949035307340286183e-01 8.528948648126815080e-01 2.281516493106128252e-02
0.000000000000000000e+00 -2.833326983252653008e+03 6.905616852023095387e-01 2.454161077071903563e-02 2.367620301161629248e-01 1.419611936680986730e-01 6.292276454093848059e-02 5.753265219409740006e-01 8.803010117746589147e-01
0.000000000000000000e+00 -2.809683878723908492e+03 1.609446022043351521e-01 6.543522922232909433e-01 8.805098817290701874e-02 2.183509978530228102e-01 4.346720854520231825e-01 8.396932228865967573e-01 3.326047641438590885e-01
0.000000000000000000e+00 -2.775006687974449960e+03 4.137283360919649100e-01 2.361650915372502935e-01 1.189935391871106418e-01 8.466097282840854277e-01 7.031061271369888344e-01 4.241374309003214105e-01 8.895686781944437405e-01
0.000000000000000000e+00 -2.578834592330702435e+03 4.154005456613618641e-02 1.355123529545991801e-01 1.755156948333329581e-01 4.906617918463764827e-01 6.598629444960258938e-01 6.679100585340709273e-01 6.996562768527865295e-01
0.000000000000000000e+00 -2.441248418007815417e+03 5.777961697961930820e-01 1.630336300931013449e-01 1.221259547810034096e-01 7.416948002882148838e-01 6.253483613284656073e-01 2.203023504483890838e-01 1.786686005477122752e-02
0.000000000000000000e+00 -2.387954399991996979e+03 1.456840301326595144e-01 4.688010837071162618e-01 1.491755051869155801e-01 1.349765555635455971e-01 4.084001604711935407e-01 6.728532066787242805e-01 7.264321880986207569e-01
0.000000000000000000e+00 -2.360162522836697462e+03 8.454636966626083439e-01 9.553730629378898165e-02 1.523928275925744424e-01 7.706451087326169347e-01 6.905943047908233989e-01 2.425341221143524351e-01 4.013936484452075293e-01
0.000000000000000000e+00 -2.322765295692785003e+03 6.634889861509788433e-01 2.560027594227798353e-03 2.020247468552687220e-01 4.170541576611944690e-01 2.958962767109052372e-01 3.339107978123834197e-01 5.818395051356848313e-01
0.000000000000000000e+00 -2.168107193687354084e+03 2.985182501598387939e-01 4.757857320530776146e-01 1.071228570996438645e-01 1.231711718047857618e-01 4.759752413098253809e-01 4.989531392270285526e-02 9.791465314201994730e-01
0.000000000000000000e+00 -2.050812589183540695e+03 2.475295940855881671e-02 1.507407980174584328e-01 2.939068159536111224e-01 9.978829190243290181e-01 3.951621416035766554e-02 9.493442028036170877e-01 2.754644019192483695e-01
0.000000000000000000e+00 -1.996993554564844089e+03 9.133582473344421526e-01 8.874787525757841244e-01 9.935798251839634831e-01 6.086538342416161207e-01 3.168005514529312894e-01 2.275929595747290257e-01 5.295787382361600848e-01
0.000000000000000000e+00 -1.953334742972656386e+03 1.824382050807324962e-01 9.980144632515538516e-01 9.066075703648845963e-02 5.237091618047647890e-01 7.086061070089286762e-01 3.807445886168059346e-02 5.491623359102923985e-01
0.000000000000000000e+00 -1.898738583868258502e+03 1.609405308048406091e-02 8.453631027244195018e-01 2.347953526159981541e-01 6.542990738248956051e-01 7.875079345410046505e-01 2.836355856184532565e-01 7.217235774302788176e-02
0.000000000000000000e+00 -1.839719416536378048e+03 6.545063441507785740e-01 4.713476435414090115e-01 1.673312612514277209e-02 4.197470410798442852e-02 7.309101847171350919e-01 8.798434647862568569e-01 1.008510666237998343e-01
0.000000000000000000e+00 -1.822750369845189198e+03 1.223858479237051045e-01 2.474413933480286154e-01 2.871385873449121551e-01 5.052151924371324210e-01 5.004261339002591402e-02 8.443725870697322833e-01 1.637044989008930029e-01
0.000000000000000000e+00 -1.818495058949571103e+03 4.161175040128372027e-01 2.260722255635454481e-01 1.821546642286538953e-01 4.823947352609454509e-01 2.865561949896238136e-01 3.649949855132225141e-01 7.476461130838729652e-01
0.000000000000000000e+00 -1.755413986751194898e+03 1.381169542658167160e-01 4.927247516470396604e-01 1.862420333945576933e-01 1.997831272380230505e-01 5.228626197987190638e-01 2.751538498544712219e-01 5.898415906982747980e-01
0.000000000000000000e+00 -1.698332721824655891e+03 9.881760296439003888e-01 2.109677698973981830e-01 1.456114742832950171e-01 2.175666136902716374e-01 7.632255442949676949e-01 4.207543358495013930e-02 6.918632083497359142e-01
0.000000000000000000e+00 -1.680249395761940832e+03 7.757931536577789000e-02 6.448476387834189971e-03 2.683431958107684867e-01 4.733262592777645050e-01 8.589216396359157235e-01 7.183960839443797042e-01 4.204719501324072350e-01
0.000000000000000000e+00 -1.674812433226959911e+03 2.627661593334933432e-01 4.537560751174166684e-01 1.932542044225485922e-01 4.346213039397375244e-01 2.255026030617854893e-01 8.727557039457607413e-01 8.454823909072290977e-01
0.000000000000000000e+00 -1.650952489594919825e+03 8.839483768176629175e-01 7.302116494449858441e-01 9.323317521088962945e-01 1.321587810297020216e-02 2.628052510291073451e-01 2.177408192786840502e-01 7.807651258296272045e-01
0.000000000000000000e+00 -1.645419088821627156e+03 9.691419689164088025e-01 8.600733664802451273e-01 8.056737353081705466e-01 3.843120112958351431e-01 6.051225876243393476e-02 1.730722496180747694e-01 3.948425504620887150e-01
0.000000000000000000e+00 -1.623742388656193725e+03 8.013024260724770365e-01 8.144954009034961473e-01 9.893602252760967941e-01 7.561953286398006568e-01 8.064693889919848369e-01 7.287307053273754942e-01 7.656271815139793491e-01
0.000000000000000000e+00 -1.606354865898883872e+03 1.049348398386109604e-01 6.841441924808688846e-01 1.993476778387631709e-01 4.207569816025861220e-01 7.294962387850073560e-01 7.212855402781607195e-01 8.825643384870993646e-01
0.000000000000000000e+00 -1.586447052613044434e+03 2.523894559641043367e-01 7.982180593730239249e-01 1.089217662875637815e-01 6.936136584221834767e-01 2.829694747163170598e-01 1.488845320893492641e-01 1.462492195450739718e-01
0.000000000000000000e+00 -1.579656948477262631e+03 9.114805455217511732e-02 6.274103200047475015e-01 2.235898499683535157e-01 2.040216728109811584e-01 4.793873528298240316e-01 2.753414738804325079e-01 4.100547360144678466e-01
0.000000000000000000e+00 -1.562596259668476705e+03 8.526177790010495139e-01 8.772518533216994152e-01 8.774763682981597812e-01 4.858821056359856616e-01 3.388285901992168503e-01 1.802682360772583925e-01 9.048427022013603160e-01
0.000000000000000000e+00 -1.561870479449000413e+03 1.240763549346270977e-01 4.398780567194610081e-01 2.104405508431780314e-01 5.106586912737608452e-01 5.441198385066819965e-01 3.262856452683963182e-01 9.938605260842678923e-01
0.000000000000000000e+00 -1.556055513455716209e+03 3.387713816057801308e-01 9.664187271288362524e-01 2.935600033471041925e-02 9.058803381828395285e-02 6.383457093496092138e-01 5.698879439615363030e-01 7.011786011061792445e-01
0.000000000000000000e+00 -1.543276012289317805e+03 9.935353788261462871e-01 8.837348791083038391e-01 7.646494032502277882e-01 2.065416500367017738e-01 4.944937590784409531e-01 5.819788258534274172e-01 1.404504499987948574e-01
0.000000000000000000e+00 -1.512955850406624450e+03 5.316448944676157584e-01 1.402980804932345560e-01 2.856724207381875491e-01 3.161073643516539855e-01 1.044398849888772407e-01 4.919242849348821611e-01 5.510355644152135079e-01
0.000000000000000000e+00 -1.504268301268244613e+03 7.488839472875442604e-01 9.070823465516515416e-01 9.078336819943831904e-01 3.881247514109541497e-01 1.889053956361496089e-01 1.606795869179472591e-01 8.470864309191850072e-02
0.000000000000000000e+00 -1.501906269644381609e+03 8.700913312839123614e-01 7.702972282212138255e-01 9.013885851068641486e-01 5.778607898269172427e-01 5.537822735038068211e-01 9.387340682880395137e-01 3.955993093986697184e-01
0.000000000000000000e+00 -1.495112813522608121e+03 4.008510753948930638e-01 5.264360431489569780e-01 1.528737267887759765e-01 5.739869057424268339e-01 1.599408540989346594e-01 8.966541751131451576e-01 7.566050031442416168e-01
0.000000000000000000e+00 -1.491385555389919318e+03 9.824883260415657737e-01 1.827243025803659826e-02 2.906201233405799611e-01 7.339921409431356958e-01 1.856207222164251158e-01 4.975247625719240174e-01 3.203360200030405114e-01
0.000000000000000000e+00 -1.476292296219584387e+03 4.277573463933515008e-01 7.178536253480013452e-01 3.876900509471004064e-02 5.117706056584889751e-01 3.280072773810829290e-01 8.624010442925219566e-01 6.841894549013746163e-01
0.000000000000000000e+00 -1.465023007670706647e+03 5.412575463870203940e-01 1.439169007989825610e-01 2.047132023240872956e-01 4.918109002040177424e-01 7.736714442845648021e-01 1.308827120966811197e-01 9.041766371592669937e-01
0.000000000000000000e+00 -1.452489284365748972e+03 1.596417206084203011e-01 1.808073694089921135e-01 2.850334698418506285e-01 5.122945258195946705e-01 2.133683121429372775e-01 6.861482812390033992e-01 1.665820540176390363e-01
0.000000000000000000e+00 -1.445818147802317981e+03 6.320212029409634225e-01 9.795258620679845318e-01 9.736527236499445959e-01 4.800237003713873074e-01 5.048533480528119011e-01 2.549567046652942981e-01 2.659249651442797679e-01
0.000000000000000000e+00 -1.439958017813807601e+03 4.233481103516086863e-01 8.536371918626284305e-02 2.720093137180146226e-01 3.459120910960631345e-01 2.688318567348935151e-01 4.693671212105502422e-01 1.279967030840833964e-02
0.000000000000000000e+00 -1.410057705454970346e+03 8.353104215326088156e-01 1.458835476841547907e-01 2.392941882972746681e-01 7.164259594644861728e-01 1.985822323017488733e-01 5.796218542179296662e-01 2.945842960816130729e-01
0.000000000000000000e+00 -1.406732757120689712e+03 7.085939883240502946e-01 8.237594060333857104e-01 9.600220533327692429e-01 6.390660995437996705e-01 6.871960479962967439e-01 6.400718500172999370e-01 5.620616068802846144e-01
0.000000000000000000e+00 -1.395288271248167803e+03 2.828152765112229572e-01 3.203021822757243786e-01 2.271736296247511833e-01 3.147201641023126273e-01 3.375065776154262398e-01 5.451238078108074925e-01 9.799586842701047962e-01
0.000000000000000000e+00 -1.368384507060067335e+03 6.342501910115752040e-01 8.001346974557421721e-02 2.847603216527031522e-01 9.385048814517576998e-01 8.216192660870296205e-01 8.709722641183188507e-01 9.333883612750650816e-01
0.000000000000000000e+00 -1.357976165295300234e+03 7.840829955581805066e-01 6.614622907932177220e-01 5.572403546948367925e-02 3.291006180904665346e-01 2.248411445611356863e-01 7.765060858480515860e-01 2.440738526587644674e-01
0.000000000000000000e+00 -1.344327144715492977e+03 7.008138383707069874e-01 1.829013036357134414e-01 2.791862739874985122e-01 8.780464870546789147e-01 9.613945451765550931e-01 5.467486779687442677e-01 3.038914334658667782e-01
0.000000000000000000e+00 -1.341507917530518171e+03 9.789490894093311191e-02 1.287287082337074118e-01 3.043901182510460046e-01 5.227535377668921512e-01 9.493961677903487439e-01 1.886706360054889453e-01 4.594423256650922438e-01
0.000000000000000000e+00 -1.334470189572417439e+03 7.161611641454709298e-01 6.972665297513271909e-01 9.405592941923832662e-01 1.082734413252774974e-01 3.773360728613784909e-01 3.206653370978285178e-02 3.982193142846983669e-01
0.000000000000000000e+00 -1.330839695217940971e+03 9.498027806178963584e-01 7.634523567024452673e-01 7.104169082125526558e-01 5.274378052390382710e-02 1.489066155525170521e-01 3.206425257418104025e-01 4.891195977314997112e-01
0.000000000000000000e+00 -1.321386901985377335e+03 5.343076642559111411e-01 1.108092224333544484e-01 2.447742145897566779e-01 6.960499229259717868e-01 4.044885251386021174e-01 2.643132890199693108e-01 5.153611275326074326e-01
