A w B x0 k f sigma_v
6.142067448417341780e+01 4.540551440822500950e+00 6.038858860100663151e+01 -3.436352852136934644e-01 6.469192882349625862e-01 2.788837320254034324e+01 4.540551440822500950e+01
5.453379201527683762e+01 4.942577361305819039e+00 6.024836398657134140e+01 -1.220981108747210442e+00 6.400452171152331005e-01 2.695374858408673546e+01 4.942577361305819039e+01
4.444036694283394695e+01 5.158368135792486875e+00 5.990434342887617447e+01 -3.299414360912624744e-01 6.546079318927318091e-01 2.292397727808404184e+01 5.158368135792486697e+01
5.258919789294239422e+01 5.461182787223791024e+00 5.861855417814443570e+01 -3.726626858812718268e-01 5.957788093795166606e-01 2.871992223268426869e+01 5.461182787223791024e+01
5.188603232670339338e+01 4.710825515666526186e+00 6.222509468036388824e+01 3.484964006563906480e-01 6.755567300537483888e-01 2.444260449913325672e+01 4.710825515666526542e+01
5.318660010326177456e+01 5.203275220857047856e+00 5.822722040594099724e+01 -5.026610059181724210e-01 5.644595976342861032e-01 2.767445183989348578e+01 5.203275220857047856e+01
5.247240814193677494e+01 4.861247089767791962e+00 5.991985566433832844e+01 -1.728512624577568602e+00 7.148003980729964457e-01 2.550813413730979207e+01 4.861247089767792318e+01
4.749618285082603819e+01 4.719461299069406479e+00 6.166487094505826150e+01 -7.586937186708819780e-01 5.746003231021492574e-01 2.241563968179975319e+01 4.719461299069406834e+01
5.321096973880774783e+01 4.719403377323908799e+00 5.932868579448259538e+01 -5.265111463637843769e-01 5.926577671142130299e-01 2.511240302960096216e+01 4.719403377323908444e+01
6.217373039665300638e+01 4.490438547420416704e+00 5.875317708060430988e+01 -3.155961705040635223e-01 5.311856559742873518e-01 2.791873156100551157e+01 4.490438547420416882e+01
5.584349414613591733e+01 4.846888131453168214e+00 5.856896180964851339e+01 -4.969721313678334695e-01 6.265180852401492917e-01 2.706671689957806137e+01 4.846888131453168569e+01
5.624240706698455483e+01 4.794868911048511428e+00 6.116459140543673811e+01 -8.957838761227350233e-01 6.574347800492936766e-01 2.696749691280193062e+01 4.794868911048511251e+01
5.452948405612966098e+01 5.081499715989179045e+00 5.991420918193291101e+01 -5.711866679901227428e-01 5.206570953631026732e-01 2.770915577442593047e+01 5.081499715989178867e+01
5.705567355386564543e+01 5.040152478676109382e+00 5.893797639047107140e+01 -3.167688095689751293e-01 5.823625623436847754e-01 2.875692944850508681e+01 5.040152478676109382e+01
6.022693495209314563e+01 4.346617480234533204e+00 6.026787049807952457e+01 -8.783511981487919229e-01 6.894807450196362986e-01 2.617834482437162436e+01 4.346617480234533559e+01
5.599564023551018010e+01 5.011741245815274581e+00 5.713377788153562165e+01 -4.744967117062746098e-01 5.788585807704718089e-01 2.806356597541396880e+01 5.011741245815274226e+01
5.489591515263087018e+01 4.549095494595609246e+00 5.888340585770001923e+01 -6.057943611992122612e-01 6.731826810897139080e-01 2.497267602925359142e+01 4.549095494595609068e+01
5.161641573069019984e+01 4.992035204675158155e+00 6.158986570141878047e+01 -5.859032694776207251e-01 6.066433303206666405e-01 2.576709644667541355e+01 4.992035204675158155e+01
5.437119153850522935e+01 5.252668968892108659e+00 5.730368140924502285e+01 4.611063755928945795e-02 6.648881721243611320e-01 2.855938705959956181e+01 5.252668968892108836e+01
5.796221427549655658e+01 4.744903703281787344e+00 5.973901190422211727e+01 -5.915961190811653836e-01 4.805927275244115116e-01 2.750251251662160712e+01 4.744903703281786989e+01
5.391571965511504771e+01 4.599716659109782668e+00 5.999775363406170925e+01 -7.194434292909246409e-01 6.854952436257644166e-01 2.479970338855254397e+01 4.599716659109782313e+01
4.915638142265149213e+01 5.376099334264302421e+00 6.043280306443627126e+01 -5.431211691247384010e-01 7.864607949225903560e-01 2.642695894411588142e+01 5.376099334264302598e+01
5.789190987638066588e+01 4.800840189259579560e+00 5.819610539647589320e+01 -5.683831157489969144e-01 6.163797239309847242e-01 2.779298075675218982e+01 4.800840189259579915e+01
5.291080255930538101e+01 5.026610110671960285e+00 5.948089631059513493e+01 4.148617448223070880e-01 6.389379253634981382e-01 2.659619751083722505e+01 5.026610110671960285e+01
5.389551265507135724e+01 5.606631574842153576e+00 5.738860396418420606e+01 -3.807648319943108817e-01 6.551041863801223553e-01 3.021722829942279276e+01 5.606631574842153753e+01
5.707842441844369574e+01 4.327374061303603803e+00 5.754500083490307105e+01 -6.155685098377610132e-01 5.667746124801333885e-01 2.469996932884514962e+01 4.327374061303603980e+01
4.996449135474196623e+01 4.702561175490004075e+00 6.242231181828422848e+01 -8.899836332909281111e-01 6.088801366899119216e-01 2.349610771979155288e+01 4.702561175490004075e+01
5.687594482093498982e+01 4.855484639287355186e+00 5.793415152230983978e+01 6.510314660571481227e-02 4.747590524180647087e-01 2.761602764230050155e+01 4.855484639287355009e+01
5.216926253386831291e+01 4.326846470828563440e+00 6.056401403703836905e+01 -9.606567048358680694e-01 5.241146566396752693e-01 2.257283894803969204e+01 4.326846470828563440e+01
6.332267902550196226e+01 4.566194181792560869e+00 5.841521937949018906e+01 1.404079248865475193e-01 6.652149859529403741e-01 2.891436485417649038e+01 4.566194181792560869e+01
