weight logl C sigma mu1 a1 W lam0
1.081370869069235830e-124 -5.105953382749609659e+02 2.907579758315018807e+02 1.601153350608463422e+00 1.213417326327793262e+03 2.919192078754146564e+02 1.003993809767700807e+00 1.213417326327793262e+03
3.530936750948242101e-123 -5.071069195371238720e+02 2.898447151288659143e+02 1.296692359130417360e+00 1.217044447985716715e+03 9.474390133755576926e+01 3.268781398875336142e-01 1.217044447985716715e+03
2.011559102550171619e-122 -5.053644875541088481e+02 2.894009317436444917e+02 2.657162838585386933e+00 1.212197226845633168e+03 6.912367056283703448e+01 2.388508915516131537e-01 1.212197226845633168e+03
5.884123520692266707e-122 -5.042886398532529597e+02 2.892686109256005125e+02 2.155363222564667947e+00 1.215224777905241126e+03 3.843986704750690819e+02 1.328864093636263455e+00 1.215224777905241126e+03
6.417566933854123841e-122 -5.041993585848073280e+02 2.892030924213163985e+02 2.931875922220431807e+00 1.214548499469255148e+03 3.143470632593713390e+02 1.086942261327637382e+00 1.214548499469255148e+03
1.524145810290038671e-121 -5.033318784266864441e+02 2.888986705876593533e+02 1.466721035655230265e+00 1.211102637678118072e+03 6.266952399474376989e+01 2.169256226318570513e-01 1.211102637678118072e+03
1.969665347337838268e-121 -5.030729489015457148e+02 2.888249641566015953e+02 5.204612267900828870e-01 1.218431832447578245e+03 1.756496543518974818e+01 6.081526050381843435e-02 1.218431832447578245e+03
5.950201432566584340e-121 -5.019648874822202060e+02 2.885621311121082044e+02 1.492905175088118597e+00 1.210978899622336485e+03 6.093989625481213324e+01 2.111846624501695358e-01 1.210978899622336485e+03
4.914300596965502132e-118 -4.952459078326637041e+02 2.869543404256512531e+02 6.529020886251819533e-01 1.219373263333021896e+03 3.184877588422416466e+02 1.109890020725302628e+00 1.219373263333021896e+03
1.579230297805870765e-117 -4.940760346083876016e+02 2.867029087911359966e+02 1.567859986727062616e-01 1.215255547473887418e+03 1.715996971087417933e+02 5.985279250645926252e-01 1.215255547473887418e+03
1.533561570590760772e-116 -4.918002942363121974e+02 2.861314795798427895e+02 3.214036313083454832e-01 1.214480739957760989e+03 2.504467167448140117e+02 8.752854356066361863e-01 1.214480739957760989e+03
9.128981953014610583e-116 -4.900139329077514958e+02 2.856404110701085983e+02 1.094325103011615091e-01 1.212328010304730242e+03 1.761635152046257815e+02 6.167317661554113650e-01 1.212328010304730242e+03
9.235249568165841717e-116 -4.899998594529960201e+02 2.856223567000246248e+02 9.432808677648133466e-01 1.214224392458600960e+03 9.546824103841768761e+01 3.342463879278307903e-01 1.214224392458600960e+03
2.044541421351174842e-114 -4.869000433839489119e+02 2.849186207935093762e+02 8.513060153598493995e-01 1.213267162579540809e+03 3.552613115654491480e+02 1.246886955215607440e+00 1.213267162579540809e+03
1.662952327228063195e-113 -4.848015372783952444e+02 2.843344016562404590e+02 2.444317583164747898e-01 1.217637400545094806e+03 1.910861618871244616e+02 6.720472822636042176e-01 1.217637400545094806e+03
4.632621656086612120e-113 -4.837745088711999983e+02 2.840487993100219910e+02 1.747455325822213856e+00 1.217631047987556030e+03 7.326987925069299479e+01 2.579482097043592215e-01 1.217631047987556030e+03
6.564214024862582353e-113 -4.834234990329092057e+02 2.839869380672404304e+02 2.395550402826713388e+00 1.216999025225272817e+03 1.482193454874441727e+02 5.219231084929329967e-01 1.216999025225272817e+03
5.073541200013624080e-112 -4.813760076831376296e+02 2.834255744334652718e+02 1.466034075676458048e+00 1.219482280316750575e+03 3.611719294143313874e+01 1.274309596571417402e-01 1.219482280316750575e+03
8.465411280638938952e-111 -4.785589730250546268e+02 2.827767035210019344e+02 1.371660194680989209e+00 1.219397821102888884e+03 3.993438787477372216e+02 1.412223403750365147e+00 1.219397821102888884e+03
2.050168918323285143e-109 -4.753693692505511876e+02 2.820042559711630474e+02 2.775898092049591259e+00 1.214711331842866912e+03 3.023270590470820594e+02 1.072065589953355769e+00 1.214711331842866912e+03
6.346980456008077650e-107 -4.696316420724300542e+02 2.804516441124306425e+02 1.939128631695369087e+00 1.214679917333140111e+03 5.892364018002771786e+01 2.101026733735450736e-01 1.214679917333140111e+03
