C sigma mu1 a1 W lam0
1.715525333301526985e+02 2.849926472511287168e-01 1.214287233887020875e+03 3.151986705972574896e+02 1.837330317883781650e+00 1.214287233887020875e+03
1.773226595594662172e+02 3.569799699351151601e-01 1.216027116407643689e+03 3.169320863703189772e+00 1.787318592884255125e-02 1.216027116407643689e+03
1.656450327253245973e+02 4.470409081121615724e-01 1.217537343169959513e+03 2.005932902775553544e+02 1.210982828625972507e+00 1.217537343169959513e+03
1.760085340541876917e+02 2.884318672877760559e+00 1.212300197025826947e+03 3.939523863616558401e+02 2.238257300866842492e+00 1.212300197025826947e+03
1.760037607243792195e+02 2.374755109441292866e+00 1.213187621393066365e+03 3.590163707758339484e+01 2.039822156630228533e-01 1.213187621393066365e+03
1.750940300870029773e+02 1.634923519132366776e+00 1.215923042840464404e+03 3.894667814452579364e+02 2.224329300386396202e+00 1.215923042840464404e+03
1.752760714823405976e+02 2.690491697281411021e+00 1.213589907281643491e+03 3.632509656102766940e+02 2.072450406596857864e+00 1.213589907281643491e+03
1.725216312776323662e+02 2.509703636317536013e+00 1.219353570206316135e+03 7.928395852194306315e+01 4.595595226801122979e-01 1.219353570206316135e+03
1.757141562475653416e+02 1.953986167830776832e-01 1.215876371610161414e+03 7.059862773613387787e+01 4.017811042877319494e-01 1.215876371610161414e+03
1.759929225601285339e+02 4.147940270322924006e-01 1.214754578278271310e+03 1.039079971361245072e+02 5.904100893638152270e-01 1.214754578278271310e+03
1.692245735649742073e+02 2.218667253378260984e+00 1.216147677001960574e+03 5.269342663606197874e+01 3.113816482204353475e-01 1.216147677001960574e+03
1.695807277560703596e+02 1.061635995422048007e+00 1.216369495095261755e+03 2.399899338571740515e+01 1.415195801036909506e-01 1.216369495095261755e+03
1.777198154169157078e+02 1.307592837353416915e+00 1.214892889620365622e+03 2.127277661880270330e+02 1.196983947394867798e+00 1.214892889620365622e+03
1.784178634158920431e+02 2.268572570859825888e+00 1.213260934386774807e+03 3.396832954181570585e+01 1.903863710251676444e-01 1.213260934386774807e+03
1.876338844640074228e+02 2.214865517381016335e+00 1.216706169807088827e+03 3.131393483648893721e+02 1.668884856588666032e+00 1.216706169807088827e+03
1.770201909206533344e+02 5.026505275405022122e-01 1.215737545195003122e+03 3.608109925860348426e+02 2.038247675078844523e+00 1.215737545195003122e+03
1.770104619235437440e+02 1.744837126501931568e+00 1.219460838159571267e+03 3.548502875513450476e+02 2.004685393706366447e+00 1.219460838159571267e+03
1.776193050676290284e+02 4.777627866904308185e-01 1.212753355755873599e+03 1.298863583494732268e+02 7.312626197924749771e-01 1.212753355755873599e+03
1.738311529948542500e+02 1.631802074641655498e+00 1.216440289270826042e+03 2.317610959104063397e+02 1.333254091211527159e+00 1.216440289270826042e+03
1.788494363609282232e+02 4.453747570729711391e-01 1.214519795930664941e+03 2.418208908969604352e+02 1.352091993228048405e+00 1.214519795930664941e+03
1.773718221082809805e+02 1.095816656260549582e+00 1.219082883488936886e+03 1.915671252645551306e+02 1.080031331851618814e+00 1.219082883488936886e+03
1.730048087925696336e+02 1.747002076692506956e+00 1.212413484872437721e+03 9.510252629697485816e+01 5.497103055152731121e-01 1.212413484872437721e+03
1.729359254474322825e+02 2.277907570233949297e+00 1.216600027831622583e+03 2.696481930718560989e+02 1.559237575270741916e+00 1.216600027831622583e+03
1.787158204437442350e+02 9.840837381502565151e-01 1.218690866519198380e+03 1.106103335459019519e+02 6.189174146489153649e-01 1.218690866519198380e+03
1.722299486676427591e+02 1.632387386806739560e+00 1.219418677639613861e+03 1.084061412342077517e+02 6.294267754988552843e-01 1.219418677639613861e+03
1.737042280482460797e+02 2.322597900268179583e+00 1.219305582021118880e+03 2.347102835372129732e+02 1.351206508755921298e+00 1.219305582021118880e+03
1.759152284595399465e+02 1.530758501649839731e+00 1.216074084305035740e+03 2.631404544294402967e+02 1.495836697787434222e+00 1.216074084305035740e+03
1.821240554381069501e+02 2.693952543799401855e+00 1.215866126286865665e+03 3.527193509153274249e+02 1.936698312954026946e+00 1.215866126286865665e+03
1.702355642215779312e+02 1.036447603714207299e-01 1.213715953141057525e+03 1.754886324915701934e+01 1.030857643019615355e-01 1.213715953141057525e+03
1.776193050676290284e+02 4.777627866904308185e-01 1.212753355755873599e+03 1.298863583494732268e+02 7.312626197924749771e-01 1.212753355755873599e+03
1.726283841910855870e+02 1.684616974302009407e+00 1.211403047189337258e+03 1.459807444271847032e+02 8.456358154033110086e-01 1.211403047189337258e+03
1.699770313934398303e+02 2.129741713980616069e+00 1.210249210427693470e+03 2.108039865336586161e+02 1.240191011723919878e+00 1.210249210427693470e+03
1.624984691326958455e+02 8.538922362075712647e-01 1.210305404495819403e+03 2.758595977139938213e+02 1.697613517138598871e+00 1.210305404495819403e+03
1.784516501136388058e+02 2.446349574190243459e+00 1.210506022223585433e+03 1.739175004265410394e+02 9.745917189097976774e-01 1.210506022223585433e+03
1.643715964027916812e+02 1.967086886971438853e+00 1.217153865150877891e+03 2.420558418738605440e+02 1.472613560804654220e+00 1.217153865150877891e+03
1.757536720129524213e+02 1.017119374120447395e+00 1.213877281968228090e+03 1.420845968315408641e+02 8.084303172969822260e-01 1.213877281968228090e+03
1.757236662910834752e+02 1.001359550499242745e+00 1.211349099777556148e+03 1.211794219503757688e+02 6.896021720241368724e-01 1.211349099777556148e+03
1.705831843261393601e+02 2.710126972948056490e-01 1.210675114586259951e+03 3.945875117852457947e+02 2.313167697882991369e+00 1.210675114586259951e+03
1.718150103331013270e+02 2.759112179687633226e+00 1.214876248379400977e+03 2.160379992966749967e+02 1.257387226400287439e+00 1.214876248379400977e+03
1.755718678827366261e+02 2.816488123449780723e+00 1.213420698243840661e+03 1.749603722100468701e+02 9.965171204244510639e-01 1.213420698243840661e+03
1.681709666945986328e+02 8.050174347744381009e-01 1.211927110483770775e+03 7.812320983020998533e+00 4.645463563998123574e-02 1.211927110483770775e+03
1.780748307996439621e+02 1.996684292755972034e+00 1.213067040279123376e+03 2.927543927224036793e+02 1.643996467146939366e+00 1.213067040279123376e+03
1.611590479357006700e+02 5.680166306357922190e-01 1.217492690525040643e+03 3.257648001392282708e+02 2.021386973378014318e+00 1.217492690525040643e+03
1.767751155766711122e+02 2.855381148846218409e+00 1.213652023196825439e+03 3.165398859512097829e+02 1.790636000540017925e+00 1.213652023196825439e+03
1.750646924056497937e+02 1.658461064561507881e+00 1.214469302737242288e+03 1.112932926861656995e+02 6.357266628514863793e-01 1.214469302737242288e+03
1.755194381192187905e+02 1.276670545682637714e+00 1.211006133194491667e+03 3.171125245054579409e+02 1.806708863152036271e+00 1.211006133194491667e+03
1.791395203239775071e+02 8.188191120484146213e-01 1.210805027544608265e+03 3.654880273711291352e+02 2.040242302257684326e+00 1.210805027544608265e+03
1.692245735649742073e+02 2.218667253378260984e+00 1.216147677001960574e+03 5.269342663606197874e+01 3.113816482204353475e-01 1.216147677001960574e+03
1.787758731727217594e+02 4.001193581785107423e-01 1.214755445278760590e+03 1.124225281565091095e+01 6.288461980990783795e-02 1.214755445278760590e+03
1.675136906242478290e+02 5.646073354780405396e-01 1.214104410481057357e+03 3.020567696354696636e+02 1.803176615056599763e+00 1.214104410481057357e+03
1.704806442955063233e+02 8.051136315123594844e-01 1.218028867890121319e+03 1.384090135775756281e+01 8.118752375059151705e-02 1.218028867890121319e+03
1.703856925899532939e+02 1.030171445661787422e+00 1.217675697189512221e+03 7.239109112437672877e+01 4.248660202860555790e-01 1.217675697189512221e+03
1.836168470876385186e+02 2.509630578632695119e+00 1.212429490089743013e+03 2.382599558951150129e+02 1.297593111275872513e+00 1.212429490089743013e+03
1.732997108500509853e+02 2.230269131838900076e+00 1.213102795431969980e+03 3.757489210823287635e+02 2.168202816030366353e+00 1.213102795431969980e+03
1.702111024415983991e+02 2.571284437951485202e+00 1.216668445493697845e+03 3.340303131107143599e+02 1.962447268827980373e+00 1.216668445493697845e+03
1.787758731727217594e+02 4.001193581785107423e-01 1.214755445278760590e+03 1.124225281565091095e+01 6.288461980990783795e-02 1.214755445278760590e+03
1.683296307944204955e+02 1.048208527572115134e+00 1.219961313185253630e+03 3.774983146478621165e+02 2.242613572347803341e+00 1.219961313185253630e+03
