weight logl H0 sigma
1.163332908589049477e-138 -6.963247576016915446e+02 9.845406050799782038e-01 2.630420026642662501e-01
5.111939084561666765e-126 -6.672109467673608378e+02 4.741372996483343982e-01 1.669982874441833243e-02
7.006969784425215641e-118 -6.484724394870664810e+02 7.185905597488871921e-01 1.167613080053063745e-01
2.605552934160434109e-115 -6.425514446337886056e+02 9.549949044764699524e-01 2.748729136719987309e-01
5.218925931282095586e-113 -6.372491277388446633e+02 1.639581031186665427e-03 2.557588871301056388e-01
2.700798539500280000e-110 -6.309976165956410341e+02 9.913388831995039174e-01 3.092539769396744909e-01
4.256148669118023873e-109 -6.282377143042177750e+02 9.509861029883859285e-02 1.959842053816400753e-01
1.542853968837225501e-108 -6.269473599664690937e+02 7.322642053837136178e-02 2.117437979411289639e-01
1.134426206215571508e-106 -6.226471967304007649e+02 5.685297485619082991e-01 4.554059327387016687e-02
1.320262927501299968e-106 -6.224929928040545519e+02 4.613192992584864704e-01 2.254881879498971120e-02
6.479088821529261402e-106 -6.208997438218029856e+02 6.615211713404332006e-01 9.189916154905486412e-02
1.143808702398016029e-104 -6.180262898615389986e+02 9.817478974764581867e-01 3.124742425448584493e-01
4.846098110451974790e-99 -6.050670541895142378e+02 8.328774594645711460e-01 2.111912523167595035e-01
1.247128049502652718e-97 -6.018167145238975309e+02 1.382973529838164017e-01 1.797377095678862613e-01
1.305924680921762036e-95 -5.971629763277688880e+02 3.586734363130728021e-02 2.581637509908573103e-01
6.367014750374502917e-95 -5.955762569676604699e+02 6.967570869945661771e-01 1.219080180421949766e-01
1.988590778995282777e-92 -5.898297061697817298e+02 8.071149607810397253e-01 2.015941905246603216e-01
1.243597447429688618e-83 -5.695733582228206160e+02 9.453248455860312482e-01 3.291601601408431499e-01
2.902292479612827770e-83 -5.687233656345404142e+02 5.290417445115579431e-01 4.288815650297828075e-02
1.878253500890311426e-82 -5.668534391202854295e+02 6.617755378587375503e-01 1.109065936582812606e-01
1.840828950832439701e-80 -5.622658953035479499e+02 8.050124846709543203e-01 2.188155859078982912e-01
3.223123782863414623e-80 -5.617032602822766876e+02 8.791845394410169323e-01 2.807111164596114428e-01
4.254317387827695042e-80 -5.614231769672101109e+02 8.934104861781617668e-01 2.931561623348002410e-01
2.096600457277943497e-79 -5.598257089943385836e+02 8.045974674291721529e-01 2.203536037446491846e-01
9.156242185118193151e-77 -5.537439201587767457e+02 9.706561339615124018e-01 3.711829496346576995e-01
1.128507088815821099e-72 -5.443220349476384854e+02 3.353103550722066339e-01 7.587343634908993995e-02
1.267711349700149186e-71 -5.419006322656186967e+02 9.732053978211008261e-01 3.909733386721904180e-01
1.222657802580660688e-70 -5.396317333446307885e+02 1.234116298765652875e-02 3.356911677245565384e-01
5.099201222815997146e-70 -5.382011764560465963e+02 9.129151417103108512e-01 3.382289762327939098e-01
2.183477283112775814e-68 -5.344416714845424394e+02 9.758126739915927716e-01 4.058346386007463114e-01
4.298422687955288801e-68 -5.337618420358936646e+02 7.741532014102255888e-01 2.164488349799646993e-01
5.065796087109664469e-67 -5.312924937820428113e+02 1.629769559633678089e-01 2.078279406686210917e-01
2.036950436328836599e-65 -5.275958810903132417e+02 1.073684025290640998e-01 2.611857462935004426e-01
4.151173427143350387e-60 -5.153685183827885794e+02 4.861984479025416306e-02 3.352217713308411895e-01
1.370569065183941296e-59 -5.141715983079565149e+02 9.052759409528201573e-01 3.681440721030205809e-01
1.882206236252152551e-59 -5.138518797188831968e+02 9.900687735448580051e-01 4.628512087437433031e-01
2.596719905843071694e-58 -5.112249901707079403e+02 8.202709130188787778e-01 2.842947133552892192e-01
2.637269732549877088e-57 -5.089044099618138262e+02 3.456285376828583944e-01 8.444321581259706111e-02
1.807991768194380507e-55 -5.046742672566524561e+02 8.043297085750293896e-01 2.771720414512179875e-01
1.188722945405383330e-53 -5.004859342038755017e+02 9.430252757081885040e-01 4.403508496299654018e-01
3.798194329174645648e-51 -4.947166178163788572e+02 1.595830644645065410e-01 2.504717757867469530e-01
2.911000574205142357e-50 -4.926775616386349839e+02 1.734005251859773722e-01 2.389825571106074520e-01
1.063141417395771638e-49 -4.913797452810264872e+02 8.924225883801277792e-01 4.012813668585142324e-01
7.204087787281999897e-48 -4.871612397015163651e+02 9.553282839851195973e-01 4.954830656322893878e-01
6.723604250816356074e-47 -4.849251788640697214e+02 9.860240669073121467e-01 5.471633286656161221e-01
1.971558470051853103e-46 -4.838468937971326795e+02 2.394106148122895350e-01 1.840127875308689154e-01
7.763257993550266069e-46 -4.824738160380611021e+02 8.937713234439392807e-02 3.516896024827077527e-01
2.412680325461473584e-45 -4.813373947379388937e+02 1.074284579092973368e-01 3.319980347226747508e-01
6.353514749443713752e-45 -4.803666248720545582e+02 6.921180570180366365e-01 1.946194607715269198e-01
2.606069613913528400e-44 -4.789527047514050082e+02 8.124338193754749859e-01 3.313402114442252078e-01
7.776223571782878341e-44 -4.778569771244276581e+02 1.242378048324388473e-02 4.676006763644150466e-01
1.353504274787398907e-43 -4.773002658613055473e+02 9.061560067327150136e-01 4.609057540544438947e-01
2.838386888788141553e-43 -4.765572269557975460e+02 9.046728374049129995e-01 4.614049178419026287e-01
2.902758481314121020e-43 -4.765323013643526338e+02 9.957410594502098533e-01 6.011308174621479150e-01
8.852346774856928105e-43 -4.754147802535256346e+02 8.201685988679938699e-01 3.493580207537005933e-01
1.631624790902880289e-42 -4.748008014341255603e+02 4.291837007241696700e-01 6.462182168025265572e-02
4.674704447353984094e-42 -4.737457118157748255e+02 1.414090851314668829e-01 3.064595880653739890e-01
8.677589356821000945e-42 -4.731246339904683964e+02 8.891157228782264887e-02 3.759033233595852064e-01
8.889373245506372913e-42 -4.730980212107270972e+02 9.452555635781371146e-01 5.369667394408349503e-01
1.312635024865927824e-41 -4.727057560774250646e+02 1.367266337437592627e-01 3.145488418733743963e-01
1.423805371143304730e-41 -4.726219595376250027e+02 9.738892686633926488e-01 5.860898776088131479e-01
7.759791639057546867e-40 -4.686212520875138239e+02 6.194815297682482180e-01 1.393704970902719387e-01
1.450115431925145083e-39 -4.679934793162293545e+02 2.283621132252933172e-02 4.909510445198920214e-01
1.887540636824275908e-39 -4.677273477463648987e+02 9.326430802852961888e-01 5.428564629137483388e-01
3.565576761257945853e-39 -4.670887966525728530e+02 8.190098665725225047e-01 3.702134450797397447e-01
6.413994190717210109e-39 -4.664991402821661381e+02 2.912877899926036296e-02 4.875039394130226134e-01
7.974697293763015104e-39 -4.662788487866619107e+02 9.914020899675629606e-01 6.577660032489346387e-01
1.514194331955065395e-38 -4.656351538813038360e+02 9.519576775099820587e-01 5.884833471175502373e-01
2.170114354229497176e-38 -4.652727575207579775e+02 1.102648621478699020e-01 3.690720712429715888e-01
2.578033772186860968e-38 -4.650980103801422274e+02 2.833237162253510188e-02 4.952259713130698904e-01
7.286558508139760963e-38 -4.640565060341010621e+02 8.906196455085153563e-01 4.907381384156495052e-01
9.683364694715560738e-38 -4.637696279514019579e+02 2.441607492553944381e-01 2.041819028434185279e-01
1.391740549176152672e-37 -4.634043971342755412e+02 8.397549927820047166e-01 4.125936225932265167e-01
1.966832598814074856e-37 -4.630560278607666760e+02 8.364787212944694295e-01 4.088710304181140121e-01
2.017920505061183224e-37 -4.630278847635069610e+02 9.776092301385735928e-01 6.556249343483389058e-01
2.132182680201820394e-37 -4.629703061041989258e+02 9.012020314046773617e-01 5.139726071265244833e-01
7.793927085588609291e-37 -4.616716074400544585e+02 6.437358525899614659e-01 1.689902041409169220e-01
8.689825602503995822e-37 -4.615602994214102637e+02 1.462454649818838437e-01 3.292338377349055545e-01
9.481037649796162574e-37 -4.614706585247229214e+02 8.764591823632366108e-01 4.793163560122718492e-01
3.308596296726333312e-36 -4.602183431788324697e+02 9.970913766883923168e-01 7.224894777254360356e-01
3.738399800508042802e-36 -4.600937095396942595e+02 8.219113342658789234e-01 3.972991311687908977e-01
4.022878727813262691e-36 -4.600178694509367006e+02 9.743063052589897577e-01 6.741520003126648675e-01
7.299919571148338392e-36 -4.594195038682926793e+02 9.382963381395142966e-01 6.044936500156605774e-01
3.943052823318979159e-34 -4.554277417612083809e+02 6.648813137604002721e-01 1.996010559268039941e-01
1.029807469648219561e-33 -4.544652400576555920e+02 9.566147934382152052e-03 5.947485297328255482e-01
2.516817493120314067e-33 -4.535691167159150723e+02 9.969946732806406198e-01 8.076690793585787898e-01
2.707016372195713718e-33 -4.534937648610434167e+02 6.434930148991857557e-02 4.922161233430740745e-01
2.745354041253595145e-33 -4.534772018763312644e+02 8.312953735026507029e-02 4.579780891076234983e-01
1.218766528679618577e-32 -4.519841875215277014e+02 9.481523072163484667e-01 6.958445136736106651e-01
2.337647355290585465e-32 -4.513303818068688997e+02 1.447830585481874044e-01 3.633691786191458606e-01
6.845458171235030040e-32 -4.502534414350893712e+02 7.613430847629308884e-01 3.382233128388101306e-01
9.438570067189753562e-32 -4.499297223340087157e+02 9.077673065936814334e-01 6.184144406036051755e-01
1.115377672625994899e-31 -4.497602486663617469e+02 8.810844658872717394e-01 5.593011494965839381e-01
1.385369070746770222e-31 -4.495409751525510842e+02 2.349543331380266054e-01 2.395930558126285748e-01
2.723837118589195989e-31 -4.488624001422035690e+02 4.628327118957387132e-01 7.514223080570470170e-02
