H0 sigma
7.262051421270322749e+01 4.936309678288974965e+02
7.337613231374182021e+01 4.846294435544215844e+02
7.296682717528140927e+01 4.601535080325187437e+02
7.267928981195414906e+01 5.407738917582191789e+02
7.317116745057970206e+01 4.298719424343079822e+02
7.347603616663153048e+01 4.607462847808210427e+02
7.217646107900147001e+01 5.089620254983955761e+02
7.472992664736858615e+01 5.011492713537146528e+02
7.458751522528457656e+01 5.144478174587686681e+02
7.333234593413121161e+01 5.254327306919725515e+02
7.333261051076443948e+01 4.466009705873939311e+02
7.324121906990338005e+01 4.740797555514002966e+02
7.392576461371018581e+01 4.676541041931433256e+02
7.245160816640564860e+01 4.606535153153780016e+02
7.301728305445450928e+01 5.471292556251676160e+02
7.168205204764363714e+01 5.450450798484578172e+02
7.452514757687191604e+01 4.573065153813757888e+02
7.354656607743066843e+01 6.459799864374688241e+02
7.220218815906264354e+01 4.554335864121621285e+02
7.519347647271611379e+01 6.206249723253371258e+02
7.335736504798403246e+01 5.157079740847610765e+02
7.296231699853980501e+01 4.659575281238616071e+02
7.270605217330921732e+01 4.447635253388636443e+02
7.262734861368882378e+01 5.240786778407989459e+02
7.152794209020066774e+01 5.316393484204736524e+02
7.075479447008729039e+01 5.433659000329701030e+02
7.483254181946757910e+01 6.188965456109427805e+02
7.209916962622307324e+01 4.344110784717595379e+02
7.241760298747418290e+01 4.536122477085497167e+02
7.103403917215381114e+01 5.427230578253622753e+02
7.273500678906376038e+01 4.705594338799749039e+02
7.244704538429242291e+01 5.148878021262507900e+02
6.979302253986918458e+01 4.134355166459844213e+02
7.409396789987036414e+01 4.894606885513599082e+02
7.365468666683378274e+01 4.704339280452001049e+02
7.294045646400567762e+01 5.252901435856972512e+02
7.561349094186049058e+01 6.569312060936196076e+02
7.199306565864560525e+01 5.616869260885794120e+02
7.243341077215194446e+01 4.555352312606657392e+02
7.327523177504723151e+01 4.111834734703169261e+02
7.246987458839649321e+01 5.406037114127188943e+02
7.500447736204263549e+01 4.689126116234725146e+02
7.329037043876661528e+01 5.556052245733844757e+02
7.398020663695351118e+01 4.661466017960001977e+02
7.384105612574445843e+01 4.568379582346179859e+02
7.353094978253933789e+01 4.392281974428549916e+02
7.384315597241470641e+01 5.169633006412861960e+02
7.497990683095605391e+01 4.900052587752145996e+02
7.209111243408692360e+01 5.016777374949748491e+02
7.435157925485242458e+01 4.766903257209364710e+02
7.045243698974462632e+01 5.720688202050165501e+02
7.336070699686129615e+01 4.811565868344360979e+02
7.215911516745131848e+01 4.330081818022981679e+02
7.343395729025694152e+01 4.051898805460397739e+02
7.532652341387591832e+01 4.746583205989883254e+02
7.306775433792601859e+01 5.055304888986408969e+02
7.250467482842880429e+01 5.493002950321199478e+02
7.477208707617680261e+01 4.783527434570248715e+02
7.279308825974013075e+01 4.270859367378942011e+02
7.333261051076443948e+01 4.466009705873939311e+02
7.370314930805902520e+01 5.174490443853856050e+02
7.322806540747264137e+01 4.426783797416247239e+02
7.132450607854276825e+01 5.451640227292409691e+02
7.101158092042879844e+01 4.992264528966862827e+02
7.360052515701369202e+01 5.538564654843446533e+02
7.196437790941244828e+01 4.957673063440078636e+02
7.278950952081976311e+01 4.811002271039091625e+02
7.299345745451222456e+01 4.546055653146495956e+02
7.383679810022634626e+01 5.006164233144504578e+02
7.322684315494177554e+01 5.484358079852748915e+02
7.453329825695789168e+01 4.979937892054688291e+02
7.305333999715867321e+01 4.856002576802512181e+02
7.283674333832559000e+01 5.208656761140116487e+02
7.201942446595596437e+01 3.793435782561521705e+02
7.336143901124609101e+01 4.587399250507987745e+02
7.408539748133411251e+01 4.888764994203500578e+02
7.241760298747418290e+01 4.536122477085497167e+02
7.249975035595748807e+01 5.097801099170141583e+02
7.378608529831011253e+01 5.506919976891558690e+02
7.142906882459693918e+01 4.597969853901407760e+02
7.352164035557210298e+01 4.572923129107138607e+02
7.357320981948257099e+01 4.058701420144084295e+02
7.489652394783811928e+01 4.133914199932025326e+02
7.175675778235209634e+01 4.859916213827521005e+02
