weight logl H0 sigma
2.244562039135741493e-290 -1.045710470399850237e+03 5.523348618662720355e+01 2.294399437517882347e+02
4.584899447621142754e-259 -9.736135747616656317e+02 5.111406473315734900e+01 2.924421100879854407e+02
5.940577991934332599e-256 -9.664442812237452927e+02 6.233800044413814589e+01 1.625040090117299769e+02
3.301016337682586841e-251 -9.555164317902832636e+02 9.205900803232033525e+01 2.587623602997427952e+02
1.574876645862130881e-244 -9.401358895923740420e+02 5.898946034648157166e+01 2.037259001291265577e+02
4.089415094049305371e-240 -9.299688242184826095e+02 8.407228600083151093e+01 1.692920941738268539e+02
5.490107672668834621e-237 -9.227640230227015081e+02 5.150862661394973685e+01 3.001660912134687464e+02
1.331316089622048689e-229 -9.057576221525563369e+02 6.245856960602183960e+01 1.694697225787022603e+02
7.752842513518841223e-224 -8.924803051295587011e+02 5.824082186143239426e+01 2.215218190429491472e+02
3.905267901421527591e-208 -8.563221768080553602e+02 6.338175490995993755e+01 1.666735616504640234e+02
4.556884337094434883e-194 -8.239291727612055638e+02 9.559380571075270439e+01 3.430786544225176158e+02
2.656024182913417845e-193 -8.221638964622152344e+02 6.093073800525112205e+01 2.021760498474812948e+02
5.282049540249610707e-190 -8.145661573269171640e+02 9.430140421515658034e+01 3.277889567364703680e+02
8.077780303914410121e-185 -8.026259289349183064e+02 6.848504976725088511e+01 1.240947724022598777e+02
9.641437688317991122e-169 -7.656051143316486787e+02 5.428364663003816304e+01 3.111035359207830879e+02
7.923714138352440730e-163 -7.519833139562160795e+02 9.599629356579407613e+01 3.800314925886223705e+02
1.565785223339875988e-156 -7.374841909197050427e+02 8.587547678449777777e+01 2.307645584655482764e+02
1.483796590933600193e-148 -7.191147935468220567e+02 8.898687598964221479e+01 2.834990929989694450e+02
3.244187039114365854e-148 -7.183300328225371914e+02 9.726947358885959716e+01 4.194415323888309217e+02
5.636256631327380176e-141 -7.016570818358081851e+02 6.939699357783739231e+01 1.319388883221379558e+02
1.163332908589049477e-138 -6.963247576016915446e+02 9.922703025399891885e+01 4.682588037299727262e+02
5.111939084561666765e-126 -6.672109467673608378e+02 7.370686498241671814e+01 1.233797602421856681e+02
7.006969784425215641e-118 -6.484724394870664810e+02 8.592952798744435938e+01 2.634658312074288915e+02
2.605552934160434109e-115 -6.425514446337886056e+02 9.774974522382349562e+01 4.848220791407982233e+02
5.218925931282095586e-113 -6.372491277388446633e+02 5.008197905155932972e+01 4.580624419821479023e+02
2.700798539500280000e-110 -6.309976165956410341e+02 9.956694415997519343e+01 5.329555677155442481e+02
4.256148669118023873e-109 -6.282377143042177750e+02 5.475493051494193253e+01 3.743778875342961214e+02
1.542853968837225501e-108 -6.269473599664690937e+02 5.366132102691857142e+01 3.964413171175805246e+02
1.134426206215571508e-106 -6.226471967304007649e+02 7.842648742809541318e+01 1.637568305834182354e+02
1.320262927501299968e-106 -6.224929928040545519e+02 7.306596496292432619e+01 1.315683463129855966e+02
6.479088821529261402e-106 -6.208997438218029856e+02 8.307605856702166136e+01 2.286588261686767964e+02
1.143808702398016029e-104 -6.180262898615389986e+02 9.908739487382291600e+01 5.374639395628018974e+02
4.846098110451974790e-99 -6.050670541895142378e+02 9.164387297322855375e+01 3.956677532434633235e+02
1.247128049502652718e-97 -6.018167145238975309e+02 5.691486764919081764e+01 3.516327933950407783e+02
1.305924680921762036e-95 -5.971629763277688880e+02 5.179336718156536534e+01 4.614292513872002246e+02
6.367014750374502917e-95 -5.955762569676604699e+02 8.483785434972830330e+01 2.706712252590729690e+02
1.988590778995282777e-92 -5.898297061697817298e+02 9.035574803905198848e+01 3.822318667345244307e+02
1.243597447429688618e-83 -5.695733582228206160e+02 9.726624227930156508e+01 5.608242241971804560e+02
2.902292479612827770e-83 -5.687233656345404142e+02 7.645208722557789827e+01 1.600434191041696010e+02
1.878253500890311426e-82 -5.668534391202854295e+02 8.308877689293687752e+01 2.552692311215937764e+02
1.840828950832439701e-80 -5.622658953035479499e+02 9.025062423354771113e+01 4.063418202710575997e+02
3.223123782863414623e-80 -5.617032602822766876e+02 9.395922697205085683e+01 4.929955630434560021e+02
4.254317387827695042e-80 -5.614231769672101109e+02 9.467052430890808523e+01 5.104186272687203427e+02
2.096600457277943497e-79 -5.598257089943385836e+02 9.022987337145860920e+01 4.084950452425088656e+02
9.156242185118193151e-77 -5.537439201587767457e+02 9.853280669807561765e+01 6.196561294885208326e+02
1.128507088815821099e-72 -5.443220349476384854e+02 6.676551775361033947e+01 2.062228108887259168e+02
1.267711349700149186e-71 -5.419006322656186967e+02 9.866026989105503731e+01 6.473626741410665772e+02
1.222657802580660688e-70 -5.396317333446307885e+02 5.061705814938282799e+01 5.699676348143791529e+02
5.099201222815997146e-70 -5.382011764560465963e+02 9.564575708551554101e+01 5.735205667259115216e+02
2.183477283112775814e-68 -5.344416714845424394e+02 9.879063369957964369e+01 6.681684940410448235e+02
4.298422687955288801e-68 -5.337618420358936646e+02 8.870766007051128099e+01 4.030283689719505560e+02
5.065796087109664469e-67 -5.312924937820428113e+02 5.814884779816839000e+01 3.909591169360695062e+02
2.036950436328836599e-65 -5.275958810903132417e+02 5.536842012645320210e+01 4.656600448109006152e+02
4.151173427143350387e-60 -5.153685183827885794e+02 5.243099223951270460e+01 5.693104798631776475e+02
1.370569065183941296e-59 -5.141715983079565149e+02 9.526379704764100609e+01 6.154017009442287645e+02
1.882206236252152551e-59 -5.138518797188831968e+02 9.950343867724289737e+01 7.479916922412405711e+02
2.596719905843071694e-58 -5.112249901707079403e+02 9.101354565094393934e+01 4.980125986974048828e+02
2.637269732549877088e-57 -5.089044099618138262e+02 6.728142688414291683e+01 2.182205021376358900e+02
1.807991768194380507e-55 -5.046742672566524561e+02 9.021648542875146859e+01 4.880408580317051701e+02
1.188722945405383330e-53 -5.004859342038755017e+02 9.715126378540942653e+01 7.164911894819515510e+02
3.798194329174645648e-51 -4.947166178163788572e+02 5.797915322322532461e+01 4.506604861014457128e+02
2.911000574205142357e-50 -4.926775616386349839e+02 5.867002625929886506e+01 4.345755799548504115e+02
1.063141417395771638e-49 -4.913797452810264872e+02 9.462112941900639385e+01 6.617939136019199395e+02
7.204087787281999897e-48 -4.871612397015163651e+02 9.776641419925597631e+01 7.936762918852051598e+02
6.723604250816356074e-47 -4.849251788640697214e+02 9.930120334536560733e+01 8.660286601318625799e+02
1.971558470051853103e-46 -4.838468937971326795e+02 6.197053074061447830e+01 3.576179025432164735e+02
7.763257993550266069e-46 -4.824738160380611021e+02 5.446885661721969996e+01 5.923654434757909257e+02
2.412680325461473584e-45 -4.813373947379388937e+02 5.537142289546486751e+01 5.647972486117446351e+02
6.353514749443713752e-45 -4.803666248720545582e+02 8.460590285090182761e+01 3.724672450801376726e+02
2.606069613913528400e-44 -4.789527047514050082e+02 9.062169096877374841e+01 5.638762960219153229e+02
7.776223571782878341e-44 -4.778569771244276581e+02 5.062118902416219157e+01 7.546409469101810146e+02
1.353504274787398907e-43 -4.773002658613055473e+02 9.530780033663575068e+01 7.452680556762214792e+02
2.838386888788141553e-43 -4.765572269557975460e+02 9.523364187024564842e+01 7.459668849786636429e+02
2.902758481314121020e-43 -4.765323013643526338e+02 9.978705297251049444e+01 9.415831444470070437e+02
8.852346774856928105e-43 -4.754147802535256346e+02 9.100842994339969039e+01 5.891012290551808519e+02
1.631624790902880289e-42 -4.748008014341255603e+02 7.145918503620848128e+01 1.904705503523537118e+02
4.674704447353984094e-42 -4.737457118157748255e+02 5.707045425657334192e+01 5.290434232915235953e+02
8.677589356821000945e-42 -4.731246339904683964e+02 5.444557861439113111e+01 6.262646527034193014e+02
8.889373245506372913e-42 -4.730980212107270972e+02 9.726277817890685640e+01 8.517534352171688852e+02
1.312635024865927824e-41 -4.727057560774250646e+02 5.683633168718796469e+01 5.403683786227240944e+02
1.423805371143304730e-41 -4.726219595376250027e+02 9.869446343316963066e+01 9.205258286523384186e+02
7.759791639057546867e-40 -4.686212520875138239e+02 8.097407648841240757e+01 2.951186959263807239e+02
1.450115431925145083e-39 -4.679934793162293545e+02 5.114181056612646614e+01 7.873314623278488398e+02
1.887540636824275908e-39 -4.677273477463648987e+02 9.663215401426481321e+01 8.599990480792477001e+02
3.565576761257945853e-39 -4.670887966525728530e+02 9.095049332862612346e+01 6.182988231116356701e+02
6.413994190717210109e-39 -4.664991402821661381e+02 5.145643894996301526e+01 7.825055151782316898e+02
7.974697293763015104e-39 -4.662788487866619107e+02 9.957010449837815713e+01 1.020872404548508484e+03
1.514194331955065395e-38 -4.656351538813038360e+02 9.759788387549909316e+01 9.238766859645703562e+02
2.170114354229497176e-38 -4.652727575207579775e+02 5.551324310739349244e+01 6.167008997401602528e+02
2.578033772186860968e-38 -4.650980103801422274e+02 5.141661858112675532e+01 7.933163598382978989e+02
7.286558508139760963e-38 -4.640565060341010621e+02 9.453098227542577092e+01 7.870333937819093535e+02
9.683364694715560738e-38 -4.637696279514019579e+02 6.220803746276972390e+01 3.858546639807859151e+02
