H0 sigma epsilon tau
7.284778020689770983e+01 4.871282352581598047e+02 1.457332691225430854e-01 3.364020385957600467e+01
7.255754579034177709e+01 4.802461406343408044e+02 1.189951814905333277e-01 3.183771453479626956e+01
7.212249541972948919e+01 3.976867948091988296e+02 1.503826448271577965e-01 2.839863168384474434e+01
7.184503174242615842e+01 4.356322386879809301e+02 1.564769908503276519e-01 4.993130923161454859e+01
7.378143502374776119e+01 4.481783813845838154e+02 1.042823754452651963e-01 4.694764418878173728e+01
7.458571509037247438e+01 4.337644673180815289e+02 2.255463636376252023e-01 2.531904508629588335e+01
7.242617718253828230e+01 5.175189915262880049e+02 1.476464703314627203e-01 3.752460072387469125e+01
7.180016573626929244e+01 4.407228443149313648e+02 1.718686515663432612e-01 2.688706677423167690e+01
7.165495887315191226e+01 4.271541997439097145e+02 9.227051757709914259e-02 2.784050612375978773e+01
7.279046210163465958e+01 5.274690921769383749e+02 8.515187278433034024e-02 4.646783899155101238e+01
7.170109143658223161e+01 4.496402345281567818e+02 1.994083890888211641e-01 3.698012278952950993e+01
7.202611155070212590e+01 5.927179339250203611e+02 9.288851691961548529e-02 2.893779930436467041e+01
7.556827335575852089e+01 4.636824700300140876e+02 5.586512492663699841e-02 3.050036634029906679e+01
6.995716525021178711e+01 4.692155679557307053e+02 9.776639770661257889e-02 4.193311006788711381e+01
7.172525955766569439e+01 4.361724880216318070e+02 1.606008678175340765e-01 2.579634902882376579e+01
7.329161963731365859e+01 4.656988638481719818e+02 2.285622614515377404e-01 3.664298143987122813e+01
7.426700644055712530e+01 4.215631485503183171e+02 1.564529023796949747e-01 3.972109715511254535e+01
7.432139539637219627e+01 5.110244590000111202e+02 1.192560770565768424e-01 3.984719326498778003e+01
7.195164792721523384e+01 4.424131650531191440e+02 1.123794696545722810e-01 2.911104109669493312e+01
7.340795857765068888e+01 4.375928812502006622e+02 7.411752903749585508e-02 4.074075319669625372e+01
7.255627775891863962e+01 5.284030460453230944e+02 6.428580935932366736e-02 3.976344894466657109e+01
7.380702784642912206e+01 4.747212068908174842e+02 2.109348246646718106e-01 1.775350801175581239e+01
7.249281382311622224e+01 5.547564138620507492e+02 1.787820507829840366e-01 3.875615209576879749e+01
7.402251670173059495e+01 4.531601455120807032e+02 1.882763788769272750e-01 2.230138731225357418e+01
7.101890525676236621e+01 4.029058609045947605e+02 2.454321583946677265e-01 2.130678554559877114e+01
7.316900864373796765e+01 4.391195226577524409e+02 1.058234788899553025e-01 3.108679698058159957e+01
7.088756133666124981e+01 4.593132728831985219e+02 1.990113188037370140e-01 4.716103027418308358e+01
7.307684540605251300e+01 3.894122883032770233e+02 1.011057498469393884e-01 2.432727849256989217e+01
7.124839999734807350e+01 5.941671025290019088e+02 1.367180576296344596e-01 2.750873280144690014e+01
7.331203808542700529e+01 4.426311079245236328e+02 1.768681959884651211e-01 3.061696362129341509e+01
7.240782819543044013e+01 4.721905996723053249e+02 5.584788553905870034e-02 4.860632316194162428e+01
7.386381222031739924e+01 4.362904512376087496e+02 1.371904249848860669e-01 3.863985226865895584e+01
7.093887230768611118e+01 4.590231394030028582e+02 2.626008885826868755e-01 4.915794061544004023e+01
7.236910303894545393e+01 3.668854139684702318e+02 2.632723399765180550e-01 3.286250452113142728e+01
7.337928063699250458e+01 4.099419173706115203e+02 1.614629173792724026e-01 4.003883031724460295e+01
7.251984773709934018e+01 5.982900923339484507e+02 6.147774530230368933e-02 4.098070999477783971e+01
7.128755546554130262e+01 4.770611666478340567e+02 1.302468673315201053e-01 4.079994587951222940e+01
7.370788459964633432e+01 4.723787241216340362e+02 1.576457196435949726e-01 3.199870096807015329e+01
7.190873141056752615e+01 4.674899880484480832e+02 1.761142449057602477e-01 4.183887448976496160e+01
7.195306338938257795e+01 4.845179196939110398e+02 1.422457114603614958e-01 4.425947029854484782e+01
7.404263461998837670e+01 5.408062257751987545e+02 8.349785509853592524e-02 4.796823000876604937e+01
7.144672208846841954e+01 5.167389359197934482e+02 1.717721001153388327e-01 4.263924044252728862e+01
7.326375138844792900e+01 4.606989805527509816e+02 1.456887667603347369e-01 2.657575105780722780e+01
7.205938754514116340e+01 4.246651305735851452e+02 1.336968807670187998e-01 4.624417698090098838e+01
7.167759894210138327e+01 4.407457775428553646e+02 1.437236850872432581e-01 4.764828709145667318e+01
7.178123013906100880e+01 3.798676479966908914e+02 1.312114141836114301e-01 3.893302927488478105e+01
7.220238501045955104e+01 4.211791985002658976e+02 9.047594406580716786e-02 4.406294154144110564e+01
7.215469463538360628e+01 3.569090265223388201e+02 2.811388496825957817e-01 3.843976550150654958e+01
7.202821479946037186e+01 4.868247676945185276e+02 1.815280647385624779e-01 3.668438140058374586e+01
7.071086020867898014e+01 4.694633967234444185e+02 2.414149102489886178e-01 4.683440054735071101e+01
7.321547237525111029e+01 4.467790156595382882e+02 1.092304932592015471e-01 3.059555356831405959e+01
7.285868846326960124e+01 4.203632938802117565e+02 7.084923309615817621e-02 4.060057504849146426e+01
7.000701362293963825e+01 3.755610512642400067e+02 1.962002832073697911e-01 4.307507309026173203e+01
7.287037312850986837e+01 6.045982846214051278e+02 1.455556093182072408e-01 3.918783997038010369e+01
6.903934321352842574e+01 4.750705879923527846e+02 9.027824045378875228e-02 3.212867279952995858e+01
7.152668428779836063e+01 5.005231151332165496e+02 8.325480297597673274e-02 3.202460672904511796e+01
6.995157279313554000e+01 4.611057203609690305e+02 1.027041682832458835e-01 3.713469690028859560e+01
7.265951008890216656e+01 5.885095013216732696e+02 1.094921301848161554e-01 4.504656688418388910e+01
7.191228427740099960e+01 5.914770768995365415e+02 1.274858622100821237e-01 3.313912151036956288e+01
7.073505690482916464e+01 4.466937439642053391e+02 1.659715585158355045e-01 3.848586058520453435e+01
7.268505221146881468e+01 4.508779566655393864e+02 1.946827755186189557e-01 3.023752271264468305e+01
7.156528803710061482e+01 4.926058457095744529e+02 4.635807710871064913e-02 4.778317572342732689e+01
7.576302543868629868e+01 4.011906261140870242e+02 1.437834241784673728e-01 2.053942009499364474e+01
7.306300283948118590e+01 4.970252744402590110e+02 8.998374761400299016e-02 4.468140873649757339e+01
7.202772933041372028e+01 4.317097450161548409e+02 6.260174643124470639e-02 2.856702297456159556e+01
7.195341642125696069e+01 5.216980230010647119e+02 6.401526800716555998e-02 2.714514982583640190e+01
7.463490535327245823e+01 5.066257951113427680e+02 1.242240871767034405e-01 3.951632214242957275e+01
7.104136828112530111e+01 4.214069565916247484e+02 2.408170972743589322e-01 3.527061626594732502e+01
7.129347403555709661e+01 6.301500888004559329e+02 2.106536442229414163e-01 3.678480375240849298e+01
7.321297319772514811e+01 4.656089943338722037e+02 1.596470131712973972e-01 2.686001206784063200e+01
7.111982741588775525e+01 4.546255724524019115e+02 1.820668776833663793e-01 2.229291367405221536e+01
7.313382105533162303e+01 4.518583104547264497e+02 6.063079159037203930e-02 4.690618560881888754e+01
7.018492200832589845e+01 5.586669006532786170e+02 9.006302192606141510e-02 3.168014950802827556e+01
7.195006484413156045e+01 3.988267713693841188e+02 2.235043877543570479e-01 3.922595952462193480e+01
7.111641224866694699e+01 4.637652610157452955e+02 5.986437903177081743e-02 2.919315497749804678e+01
7.293741778126502595e+01 4.185431381286850296e+02 1.344744169267061418e-01 3.551315232055699767e+01
7.298760493817300699e+01 3.945751091842879532e+02 2.581199599117821597e-01 4.139578657757671465e+01
7.164331657506772899e+01 4.803249603801520493e+02 2.215851687743709275e-01 3.200843590052306809e+01
7.238664416807831969e+01 4.112373590598158444e+02 1.175404776619332070e-01 4.038756231450028622e+01
6.924304537256548997e+01 4.135499146132324313e+02 1.025544928722989940e-01 3.131091946469491560e+01
