weight logl H0 sigma epsilon tau
3.152550406133279056e-81 -5.861451143098948933e+02 9.257176257733568114e-01 1.433474030242714026e-01 2.130353097884090108e-01 7.405007685069371348e-01
5.371771686372202564e-78 -5.787019130318166162e+02 2.638177389162820186e-01 8.310808801674218760e-02 1.744361143565442696e-02 2.301718377704635721e-01
9.851954018888802425e-77 -5.757903159028430764e+02 7.982569603384160883e-01 6.432401851703828388e-02 2.058799081067773651e-01 3.343333306378578618e-01
1.414310145771448778e-76 -5.754262587401869951e+02 6.363006238174617746e-02 5.538336530741894137e-02 2.887612476031707898e-01 4.505547735412264165e-01
1.575501965913813598e-76 -5.753158266928934381e+02 2.628116173758925367e-01 2.047604572751615670e-01 8.637475050729983561e-01 4.880895905470084006e-02
1.821462077957706638e-76 -5.751682611047895080e+02 8.103723749588864766e-01 7.891265134389824354e-02 2.567364377926621977e-01 7.276725720634860117e-01
2.887386584837524299e-76 -5.747050488258128098e+02 6.987180720934293987e-04 5.556137755327250627e-02 3.474943787591993072e-01 6.916675012051057836e-01
6.308564370983684332e-76 -5.739209924887279612e+02 7.424061763045607387e-01 6.196753309846014801e-02 1.351380194230388243e-01 2.538801042877556480e-01
3.382190996508064191e-73 -5.676341216206212721e+02 7.726497510400776036e-03 2.457682128378974040e-01 5.684718160171375878e-02 9.853305225294559655e-01
8.478969751999761693e-72 -5.644099713000210841e+02 8.773185173871398401e-01 2.607031913125834599e-02 5.043181443402364739e-01 6.293695241156130882e-01
3.877788261307897887e-71 -5.628872102025831055e+02 8.343611776393381474e-01 1.819007185065667498e-01 1.073745376554799957e-01 6.431928721804812676e-01
1.002600377774862540e-70 -5.619347930623042657e+02 8.357618270802316118e-01 1.284071305319728351e-01 1.972320362978383645e-01 4.980442173041917941e-01
1.386518754024533435e-69 -5.593055088598077873e+02 9.956860304762100711e-01 2.978707601946263273e-01 1.908583663900784710e-01 8.676733544519912300e-01
2.405134594750506770e-68 -5.564496140124135763e+02 7.414460275524477062e-01 2.119458131220552932e-02 4.723807469169972739e-01 7.187878851089428700e-01
1.710556306014654954e-67 -5.544853161432019988e+02 9.390153465293953339e-01 2.594605210506455428e-01 1.690406460586142412e-01 5.611974933714007907e-01
8.054937591281971947e-67 -5.529333495171890718e+02 8.272592319967361219e-01 6.154557674993177407e-03 6.037341523869660387e-01 6.100265323717323218e-01
4.748407558250855503e-66 -5.511567403820276922e+02 8.972619465023882190e-01 1.781812719509450194e-01 3.996487165487356830e-01 9.756123515215854303e-01
6.681691733394185671e-66 -5.508126784839830634e+02 5.541412139990210539e-01 3.756304415210021119e-03 1.389111129319908766e-01 9.614203366395664974e-01
2.786794926414642568e-63 -5.447769022503937322e+02 8.504034621073488509e-01 3.125715062473666261e-01 5.454867497724755765e-01 1.254790609232092624e-02
6.074540801617779026e-63 -5.439951880158297399e+02 4.157051280471046883e-02 7.365612022100176404e-03 6.531512776693214617e-01 9.278851685340548938e-01
7.752974860101010467e-63 -5.437487177913595815e+02 9.808941960593465792e-01 3.393550148443251757e-01 1.499460332069374457e-01 6.164375223916580548e-01
8.925780900793483918e-63 -5.436053505942629727e+02 9.573989582854731673e-01 2.651965333527536162e-01 4.608159489579434220e-01 2.050005173387475788e-01
1.190828761445349249e-62 -5.433145598180821025e+02 8.346918551776695283e-01 1.618622200134850475e-01 3.126073443041279543e-01 8.016756121395498536e-01
1.819273844288263534e-62 -5.428882718861767671e+02 7.813931078690449228e-01 1.237081398939339216e-01 2.437720879364068116e-01 6.290194107108812993e-01
8.240270234844180232e-62 -5.413751761821199580e+02 7.369552227947685497e-01 2.279155022694112631e-02 4.305376399984610636e-01 3.021062004513856980e-01
1.299841456086168296e-61 -5.409168819278269211e+02 9.669494990687591551e-01 1.327982363723403392e-01 7.575620765825300529e-01 9.419865433009290134e-01
1.004680670660415407e-60 -5.388693693846219048e+02 9.560387478205338851e-01 3.879467814162456119e-01 1.840196635803825753e-02 7.040199959754398495e-01
1.105513934876685047e-60 -5.387712288087258230e+02 7.545847396350502390e-02 7.991431194712728114e-02 4.469451489619548079e-01 9.687902249418546274e-01
8.170046608786263488e-58 -5.321633943352926508e+02 1.145930035063025265e-02 3.890867153019490488e-01 2.747752658475058896e-01 2.541967078489241194e-01
1.958507846724829593e-57 -5.312866009754111474e+02 2.363578387124865010e-03 3.894661369608647394e-01 7.131587022938259413e-01 2.202534162191577272e-01
2.894214631256072135e-57 -5.308935700663436137e+02 8.987048558148382771e-01 1.204901277553647176e-01 6.012019182081123070e-01 3.019706498231344849e-01
8.065685105382074601e-57 -5.298661652000843105e+02 5.313997927533808951e-02 2.131807227438811125e-01 2.583611685800363267e-01 7.536269823336159135e-01
2.165914478305242898e-56 -5.288758560989309672e+02 7.332394830397838126e-01 2.176205964799502457e-01 5.835393260675068028e-01 8.887524614587838379e-02
5.412656207574783567e-55 -5.256548737166019691e+02 3.794553013241129813e-01 1.761007868970766443e-01 1.010544740319430090e-01 7.378302253202706495e-02
2.045681578278845692e-54 -5.243227975529640617e+02 2.608507505146429040e-02 1.223592920832325959e-01 6.031499555167811888e-01 7.363348255231992878e-01
6.390675515118778803e-54 -5.231811885998238267e+02 1.750426693546883739e-01 8.182136266692308091e-02 3.110297110866968584e-01 8.306279495494596210e-01
2.082993942934733698e-53 -5.219971372296298568e+02 7.815166800741165654e-01 9.206997196252442173e-02 4.857489565679865562e-01 3.970634655019079640e-01
1.237857163681193993e-52 -5.202124766001189755e+02 8.562168835193901817e-01 2.987035546555218968e-01 1.279101636310220336e-01 5.040260427035597735e-01
1.319297312990309719e-52 -5.201462591348417845e+02 8.593675608825709356e-01 3.242011848936056095e-01 7.206621599004414680e-02 8.779965004688736752e-01
1.477358743320165745e-52 -5.200306025305241064e+02 9.622218284297756608e-01 4.355404083963284601e-01 2.866727925517984499e-01 9.088820250410201140e-02
1.145096034573021322e-51 -5.179802847915811981e+02 8.046690044114955809e-01 1.258458826586557056e-01 5.354588935825205231e-01 5.612555392960697498e-01
2.969829814920707441e-51 -5.170247686482605332e+02 9.370420946777628934e-01 3.277499051037476852e-01 4.491104853885189430e-01 9.125812115311587869e-01
6.915987920283161182e-51 -5.161769374768737180e+02 2.254640018830593728e-01 1.350216153525614082e-01 2.333713592973051254e-01 2.596673395314945676e-01
2.819457742457672521e-49 -5.124665585355204485e+02 9.316338908736209179e-01 3.966331984155310186e-01 4.873439568469204453e-01 1.437137328237755307e-01
2.153207311578494645e-48 -5.104310595156986210e+02 9.519467625976049119e-01 3.835723882771561177e-01 2.928827679380460181e-01 4.096759282438094951e-01
6.601345371141293035e-48 -5.093082445467064190e+02 7.699353720158308434e-01 1.238804517445287745e-01 6.070469267684114323e-01 7.390398642783576610e-01
