weight logl H0 sigma epsilon tau
2.405134594750506770e-68 -5.564496140124135763e+02 8.707230137762238087e+01 1.296724138370877313e+02 6.857747341316286493e-02 3.593939425544714084e+01
1.710556306014654954e-67 -5.544853161432019988e+02 9.695076732646975870e+01 4.632447294709037351e+02 2.036471334638802547e-02 2.805987466857003909e+01
8.054937591281971947e-67 -5.529333495171890718e+02 9.136296159983680809e+01 1.086163807449904510e+02 9.773969839967269757e-02 3.050132661858661720e+01
4.748407558250855503e-66 -5.511567403820276922e+02 9.486309732511941206e+01 3.494537807313230360e+02 5.511624457353028056e-02 4.878061757607927262e+01
6.681691733394185671e-66 -5.508126784839830634e+02 7.770706069995105736e+01 1.052588261812940260e+02 1.648019566136780037e-02 4.807101683197832642e+01
2.786794926414642568e-63 -5.447769022503937322e+02 9.252017310536743366e+01 5.376001087463132535e+02 8.388579654570248179e-02 6.273953046160463121e-01
6.074540801617779026e-63 -5.439951880158297399e+02 5.207852564023552588e+01 1.103118568309402434e+02 1.109944843878499093e-01 4.639425842670274136e+01
7.752974860101010467e-63 -5.437487177913595815e+02 9.904470980296733273e+01 5.750970207820553242e+02 1.788866822505645257e-02 3.082187611958290319e+01
8.925780900793483918e-63 -5.436053505942629727e+02 9.786994791427366636e+01 4.712751466938550493e+02 6.633086090169644511e-02 1.025002586693737960e+01
1.190828761445349249e-62 -5.433145598180821025e+02 9.173459275888347975e+01 3.266071080188791029e+02 4.079451350762462042e-02 4.008378060697749135e+01
1.819273844288263534e-62 -5.428882718861767671e+02 8.906965539345225125e+01 2.731913958515074796e+02 3.056885775254002124e-02 3.145097053554406585e+01
8.240270234844180232e-62 -5.413751761821199580e+02 8.684776113973842371e+01 1.319081703177175768e+02 6.064565820165554455e-02 1.510531002256928446e+01
1.299841456086168296e-61 -5.409168819278269211e+02 9.834747495343796686e+01 2.859175309212764660e+02 1.456766353216688292e-01 4.709932716504645356e+01
1.004680670660415407e-60 -5.388693693846219048e+02 9.780193739102669781e+01 6.431254939827438193e+02 2.061581882078061898e-03 3.520099979877199559e+01
1.105513934876685047e-60 -5.387712288087258230e+02 5.377292369817524786e+01 2.118800367259781865e+02 6.369209602467995612e-02 4.843951124709273159e+01
8.170046608786263488e-58 -5.321633943352926508e+02 5.057296501753151574e+01 6.447214014227287180e+02 3.506745063125118328e-02 1.270983539244620530e+01
1.958507846724829593e-57 -5.312866009754111474e+02 5.011817891935624658e+01 6.452525917452106796e+02 1.295617557090876781e-01 1.101267081095788569e+01
2.894214631256072135e-57 -5.308935700663436137e+02 9.493524279074190986e+01 2.686861788575106402e+02 9.710088161498829640e-02 1.509853249115672469e+01
8.065685105382074601e-57 -5.298661652000843105e+02 5.265699896376690248e+01 3.984530118414335789e+02 3.266491434815047001e-02 3.768134911668079212e+01
2.165914478305242898e-56 -5.288758560989309672e+02 8.666197415198919884e+01 4.046688350719303457e+02 9.274275670509300740e-02 4.443762307293919633e+00
5.412656207574783567e-55 -5.256548737166019691e+02 6.897276506620565328e+01 3.465411016559073119e+02 1.176720079474380051e-02 3.689151126601353248e+00
2.045681578278845692e-54 -5.243227975529640617e+02 5.130425375257321718e+01 2.713030089165256413e+02 9.759199940739783641e-02 3.681674127615996639e+01
6.390675515118778803e-54 -5.231811885998238267e+02 5.875213346773441714e+01 2.145499077336922937e+02 4.055015485974174799e-02 4.153139747747297861e+01
