m0 c1 c2 c3 m_100 m_200 m_300 m_400
1.289499613294336200e+01 -1.491262124370075881e+00 3.538415662114065441e+00 -1.479725173292933960e-02 1.469679882483231204e+01 1.551994060810327447e+01 1.552043653783997179e+01 1.482453608510833476e+01
1.202797109925312569e+01 -1.346665711048071756e-01 2.602214768054547989e+00 1.410395896983596131e+00 1.466346324794729306e+01 1.540395481694768876e+01 1.552536774784733709e+01 1.499846489767583080e+01
1.124827345342162133e+01 1.560977075463902963e-01 3.096510455093950398e+00 1.758592932780519646e+00 1.468962161697924529e+01 1.550610248573865668e+01 1.558356466085273340e+01 1.490612044280071835e+01
1.004105430362859153e+01 1.205285319407265021e+00 2.888540206134520005e+00 2.873124870669951036e+00 1.458660972793260946e+01 1.540327533292937190e+01 1.551700474045473754e+01 1.482928500121469284e+01
1.255790251063853624e+01 -4.126697766622466901e-01 2.483507292239702124e+00 1.229837036203306866e+00 1.478467983214370207e+01 1.553704679990324244e+01 1.570094311752194827e+01 1.523821408209735040e+01
1.391603754228410850e+01 -2.621183658322724597e+00 3.711000289504479355e+00 -8.617173732047422874e-01 1.459803867231071095e+01 1.551455157142242136e+01 1.557954714843197230e+01 1.495041699005200542e+01
1.079029167436373449e+01 3.039864759809045580e-01 3.658925018476480773e+00 1.632520936667095413e+00 1.481755074354240520e+01 1.562376781137201220e+01 1.555866629944249624e+01 1.468320291215340490e+01
1.204960820851688830e+01 -5.201189518215780794e-01 3.182392689579318201e+00 1.010191251996708672e+00 1.472701761838495926e+01 1.552924477362831546e+01 1.558069264975493340e+01 1.491962775232729932e+01
1.220042051548342243e+01 -1.057383057686436700e+00 3.479871480599914690e+00 7.189774543089182401e-01 1.457167684976802491e+01 1.547503862221631898e+01 1.556260967634027637e+01 1.488694547903419618e+01
1.046011013638564080e+01 1.525738598061710860e+00 2.272256177983660308e+00 2.947011857697797055e+00 1.476858343321405798e+01 1.544522659903109840e+01 1.556143281203791595e+01 1.499180129806568829e+01
1.112315957640486452e+01 3.705865057660702178e-01 3.123899073695270090e+00 1.713148170258955716e+00 1.476321005683104559e+01 1.551090761781568439e+01 1.551215061031648723e+01 1.478120174242941509e+01
1.125836710816723141e+01 9.219608835743269282e-01 2.335895168922128562e+00 2.332635844297621830e+00 1.489071096586157950e+01 1.556827497754411027e+01 1.567764814261407302e+01 1.513256882760235555e+01
1.005210192905452438e+01 1.002264294990622417e+00 2.939196198467703525e+00 3.000277864536071704e+00 1.450447621767332507e+01 1.541896266406758187e+01 1.561905696895078144e+01 1.497073412511257651e+01
1.000203302450621656e+01 1.940310318792914046e+00 2.115879672716165061e+00 3.512814407335556055e+00 1.472205199302106315e+01 1.542540003485635580e+01 1.559926464818509473e+01 1.506078577216761971e+01
1.358042743015858989e+01 -1.630540968061906071e+00 2.875844048484129445e+00 -3.137034761295609542e-02 1.466921908065582159e+01 1.544827131196255365e+01 1.556130751225057196e+01 1.507267494676180419e+01
1.415910866312141714e+01 -2.688294137236271197e+00 3.751020821374499548e+00 -1.275523294496741400e+00 1.468285988543598286e+01 1.550595268264645554e+01 1.547096623830812412e+01 1.479487345352257854e+01
1.094715529874923199e+01 6.800179819906837508e-01 2.933549651705627426e+00 2.042087188524417840e+00 1.479908618708149959e+01 1.553174519533455467e+01 1.555890891433937284e+01 1.486056071902113018e+01
1.040528219990524583e+01 1.426041423880811010e+00 2.519735769840123041e+00 2.758002024359971216e+00 1.478281051384069578e+01 1.546276860267317232e+01 1.552583732275860307e+01 1.488457494305592022e+01
1.260188590067277659e+01 -8.507908813630500333e-01 2.930348856103474731e+00 8.497912390957491624e-01 1.471297619463824091e+01 1.553162844309238899e+01 1.566163646718143099e+01 1.511388153974473170e+01
1.003017380654388901e+01 8.688287634469666898e-01 3.418873372880717909e+00 2.505023119229116801e+00 1.462731959750586697e+01 1.549539178759684255e+01 1.554006151382753131e+01 1.472643163488551465e+01
1.033545987112131570e+01 1.369871220604647277e+00 2.608202434466097230e+00 2.848488394628009956e+00 1.477086633553223649e+01 1.550222674591960725e+01 1.559570469789112579e+01 1.495129491862835813e+01
1.298749494716574659e+01 -1.219032141691005933e+00 3.008364750360341233e+00 4.064477445665914956e-01 1.469852969513582863e+01 1.550300234706602431e+01 1.560529460425682124e+01 1.505363008825434079e+01
1.145659792415136735e+01 3.682319786631751413e-01 2.707294318073742545e+00 1.900478832210286129e+00 1.478773549687855393e+01 1.553993490704137415e+01 1.564249087752273404e+01 1.504896854426834452e+01
1.099571140457863017e+01 -1.329531197739708404e-01 4.059558845561934248e+00 1.103193513610774446e+00 1.481908329142490999e+01 1.564375079629424548e+01 1.550866081198224933e+01 1.454315857480854035e+01
1.080528631162285436e+01 8.025490964674730776e-01 3.050444421001238027e+00 2.031275846800568274e+00 1.486499987201674244e+01 1.557453244497457234e+01 1.555043825210368880e+01 1.479536343479173865e+01
1.045775096246628699e+01 1.044100411742407530e+00 2.810794988813150042e+00 2.681806559737330176e+00 1.473033932984070304e+01 1.552842276471894323e+01 1.564392459103548028e+01 1.498569448603604393e+01
1.138655483013984693e+01 4.620239148448952449e-01 2.603226248544018517e+00 1.984025003613584914e+00 1.473574721770129869e+01 1.547338474288586063e+01 1.558478705547919851e+01 1.501204450504170218e+01
1.239928432056280982e+01 -3.395028868912053355e-01 2.630127535127977367e+00 9.607590157526946228e-01 1.473266626261658097e+01 1.540622274537966341e+01 1.545801012934317242e+01 1.490934960596796977e+01
1.054392416285004863e+01 1.160630430566197191e+00 2.729055630617621020e+00 2.511383784248868878e+00 1.479188700591138783e+01 1.550016899765362055e+01 1.554539724762645569e+01 1.486763810718360901e+01
1.281655242708537479e+01 1.119451023819468816e-01 1.494364973792221107e+00 1.554477659486794394e+00 1.473878110150532450e+01 1.532165389799399335e+01 1.554348986111894959e+01 1.529255838211562946e+01
1.083547697433853330e+01 4.274428298691965722e-01 3.172840135530336170e+00 2.077286626295361316e+00 1.468711176836899313e+01 1.552751231931802423e+01 1.560746794919787384e+01 1.489503651764763781e+01
1.288736548979460750e+01 -9.743808983035648907e-01 2.904132706697012622e+00 5.431421846929218589e-01 1.476669793384580842e+01 1.552993869503172952e+01 1.561323974102277390e+01 1.506008508612124608e+01
1.120353419552567154e+01 7.231901958613935477e-01 2.713983447957746264e+00 1.843144427543395025e+00 1.483521067594122655e+01 1.547407827566049754e+01 1.545997091179311589e+01 1.479066594419888858e+01
1.293102788668083036e+01 -1.362039004503564854e+00 3.307955692738357101e+00 9.513298256201174752e-02 1.467917849425162480e+01 1.547056623413706866e+01 1.549205377840372755e+01 1.484820548340579549e+01
1.147603993301509995e+01 9.828828478057172191e-01 1.515749330722854893e+00 2.803094646574727733e+00 1.459110668451423010e+01 1.528810069106170921e+01 1.560650170739067910e+01 1.533150174970833923e+01
1.083627906261637897e+01 8.864518068543585372e-01 2.653305455914798827e+00 2.301276888270821885e+00 1.470721910276335365e+01 1.542303970697034643e+01 1.549647140125004796e+01 1.486683526583857429e+01
1.225737418989043626e+01 -3.111153891204878619e-01 2.606610438034170585e+00 1.199215849718735072e+00 1.467246984496146212e+01 1.540264478618235522e+01 1.551499972189628451e+01 1.499547429889798345e+01
