weight logl m0 c1 c2 c3 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -4.850356315466433443e+04 1.683053526480053108e+01 5.655203279631866309e-01 9.665217502578219211e+00 8.203288568845017892e+00 2.852234758573644413e+01 3.181430421245384110e+01 3.278303409646012767e+01 3.097260943551136592e+01
0.000000000000000000e+00 -4.770474110401551297e+04 1.309364831902593096e+01 -6.439354957353926601e+00 -7.270985370787252933e+00 -5.715052509366893574e+00 -8.610904521878151030e-01 -1.549357830967657890e+00 -4.570423621575017137e-01 2.097048328939958850e+00
0.000000000000000000e+00 -4.681610890159604605e+04 1.154401387443773963e+01 -4.793396358397581380e+00 -7.067882090153525532e+00 -4.754491032815469254e+00 -4.670848619387193423e-01 -1.314954653970170639e+00 -4.453817425620716364e-01 1.853920000881261743e+00
0.000000000000000000e+00 -4.621334499997963576e+04 1.941942645724613570e+01 -4.649565004736055940e+00 9.304570383650371923e+00 8.092862192714317615e+00 2.615482196450845720e+01 3.081246215590761750e+01 3.326311406788171610e+01 3.252654566625554367e+01
0.000000000000000000e+00 -4.571288478318772104e+04 1.770842992649063063e+01 9.879320555857379560e+00 3.482414787927844202e+00 7.186757255160355129e+00 3.183331845572953611e+01 3.154194414784219447e+01 3.033128700194128768e+01 2.834439916597813891e+01
0.000000000000000000e+00 -4.378939319531411456e+04 1.743102397837932926e+01 -2.050639856127006055e+00 8.655900750885002992e+00 9.316783662241622466e+00 2.628486306255712179e+01 3.049406372555389666e+01 3.262611701513900897e+01 3.172035290771707849e+01
0.000000000000000000e+00 -4.315883852615410433e+04 1.050536990549286109e+01 -1.192251705017666197e+00 -7.716818315070135270e+00 -4.185348374660740056e+00 1.284359531268229659e+00 -4.731277335753283353e-01 -3.853227899863682637e-01 1.478180905122199462e+00
0.000000000000000000e+00 -4.222466257125474658e+04 1.653843446946979157e+01 8.540715018856793961e+00 3.574499864969675755e+00 8.973739643762442597e+00 3.014342079537235719e+01 3.073598807546492040e+01 3.038498117269190502e+01 2.883607796059518691e+01
0.000000000000000000e+00 -4.213518307681594160e+04 1.946321922980940400e+01 5.895587712426614502e+00 4.621358676947799893e+00 5.300528615090719597e+00 3.046522153627330809e+01 3.087536572910568111e+01 3.013327113019372661e+01 2.836462460490552573e+01
0.000000000000000000e+00 -4.208591500993249065e+04 1.250387590313689756e+01 -9.744955418988814344e+00 -8.895614213126115999e+00 1.658887387278070946e+00 -3.407807176267530380e+00 -1.296186487743971938e+00 2.953763073403306905e+00 7.448464231421492165e+00
0.000000000000000000e+00 -4.128341056323285011e+04 1.454893402414230508e+01 -8.873249128646278905e-01 -9.192247363761495649e+00 -7.801617937966900840e+00 3.120928197694077255e+00 8.657642086059169628e-02 -7.361716898828731814e-01 1.051849859985992452e+00
0.000000000000000000e+00 -4.073340110641573119e+04 1.312075677014937192e+01 9.221375859505968720e+00 8.272690053394121890e+00 6.837897976347882434e+00 3.077915620146045939e+01 3.113388877770976393e+01 2.944954632785589155e+01 2.622427241595803338e+01
0.000000000000000000e+00 -4.071714638095045666e+04 1.565079360958387866e+01 -7.946720887532925381e+00 -5.660493940935149126e+00 -8.635172962135088781e+00 8.390384624343578679e-01 -6.712734727527092105e-02 4.549893036975785066e-01 2.506885801037455508e+00
0.000000000000000000e+00 -4.025111044788986328e+04 1.755466606927667073e+01 6.003273082428176366e+00 4.202077304382703105e+00 8.092860025756912989e+00 2.918822315077551366e+01 3.030648028716397135e+01 3.035388759903286982e+01 2.900866947758145997e+01
0.000000000000000000e+00 -3.939647543697866058e+04 1.527845319556442938e+01 -1.933124692965952462e+00 -8.218497909245737532e+00 -8.838508355270818129e+00 3.450234147598781220e+00 5.266295873892392621e-01 -4.018957015202193617e-01 1.193553903697658569e+00
0.000000000000000000e+00 -3.935810245696064521e+04 1.685693078286793423e+01 6.519045048908608919e+00 7.871067017239788299e+00 3.570372555989074215e+00 3.071529036877949892e+01 3.084753891612257348e+01 2.907038982729963550e+01 2.608360361759208956e+01
0.000000000000000000e+00 -3.817022354422231729e+04 1.883846470862496147e+01 6.026981611232304914e+00 4.120681131082351456e+00 5.711211726461474569e+00 2.964790462579240682e+01 3.007871998865315888e+01 2.947175415276096544e+01 2.786465914340519490e+01
0.000000000000000000e+00 -3.804742786970487941e+04 1.067092205531065829e+01 -6.513773973887282409e-01 -2.972994974885397212e+00 -9.477021627961015326e+00 4.395686208239572679e+00 1.554742537747088704e+00 -5.276503130717991041e-01 -6.974665206594714562e-01
0.000000000000000000e+00 -3.793073555672051589e+04 1.813407178123722474e+01 2.659093106622272273e-01 7.306996115007112991e+00 6.885225080068792636e+00 2.705244267351842069e+01 2.977845015594812494e+01 3.074499114048720827e+01 2.948720094733265640e+01
0.000000000000000000e+00 -3.772767872957575310e+04 1.546714747028662984e+01 -5.253403013078859374e+00 -5.937789978210615160e+00 -9.204025463791483119e+00 2.602844742798250621e+00 7.604838602516323931e-01 3.990119929883420014e-01 1.950699549044896841e+00
0.000000000000000000e+00 -3.586958713923757750e+04 1.273954792042179562e+01 7.777612071020001849e+00 9.493150910486409799e+00 5.558448276081948691e+00 2.978550670438766801e+01 3.032142831120344084e+01 2.854755853052591519e+01 2.510846861352864323e+01
0.000000000000000000e+00 -3.568141711232429952e+04 1.695370328337402555e+01 5.886339091833413306e+00 9.490809057292960205e+00 6.530343060552432632e-01 3.073599809429298091e+01 3.041084280179563848e+01 2.781662814170374531e+01 2.415983363637582571e+01
0.000000000000000000e+00 -3.528374760750374116e+04 1.033542150780631630e+01 4.759442538157752978e+00 -6.914141436193883550e+00 -6.979692242405826086e+00 6.167932096388005547e+00 2.074630553768070484e+00 -3.806789153202636555e-01 -1.937889972906781111e-01
0.000000000000000000e+00 -3.496544229992161854e+04 1.362338089786279482e+01 -4.348489899992142860e+00 -6.960136861993735380e+00 -5.114820178881805290e+00 1.983013816756740155e+00 9.234563306644325564e-01 1.555520735132764898e+00 3.698520204118725729e+00
0.000000000000000000e+00 -3.478074880803984706e+04 1.894720002246324952e+01 3.573232499350014635e+00 5.018880125894821020e+00 5.319227677027152268e+00 2.825661319068750288e+01 2.935962988560443421e+01 2.923060688448655497e+01 2.779411680563781673e+01
0.000000000000000000e+00 -3.475224418196178158e+04 1.930966526710421505e+01 4.319007935817346322e+00 5.822177708953482522e+00 3.112613216895915969e+00 2.926974774794730649e+01 2.963934905654723195e+01 2.859676716731065227e+01 2.653812193307089373e+01
0.000000000000000000e+00 -3.421767975397445844e+04 1.553427023876368729e+01 9.140778561479873332e+00 8.254904802531452646e+00 1.282256228697477241e+00 3.130219457427830676e+01 3.011106520878913884e+01 2.691836162183447101e+01 2.306044917882658751e+01
0.000000000000000000e+00 -3.400478861622887780e+04 1.020584018918019709e+01 7.206239343258523888e+00 -7.071123037767663710e+00 -7.781868552908566272e+00 7.798677083904438589e+00 2.785580387133632208e+00 -5.623555005429263787e-01 -8.896228421440763867e-01
