m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
1.499979732333127735e+01 1.007807200067316415e+02 1.305417583626272915e+00 -1.069862636419536273e-01 5.773002667586908387e-01 -5.795608900326776336e-02 1.617473365756565329e+01 1.614917166287868611e+01 1.612155283364007374e+01 1.609188591275213298e+01
1.508921652482409215e+01 1.998680955314920880e+02 -2.312313786890207723e-02 1.252447589512586390e+00 -5.355487677850767625e-02 7.153546657160507749e-01 1.636785377789976081e+01 1.632420859558738258e+01 1.637392172040710392e+01 1.632979007025346618e+01
1.498724572447527947e+01 1.009403489116559740e+02 1.347399076201494239e+00 2.319407548594476509e-01 7.300371300097872052e-01 4.821278351595914557e-02 1.651435205919680271e+01 1.645458143168188414e+01 1.638758406441125359e+01 1.631372522908498013e+01
1.509017652814942423e+01 1.003006042939856997e+02 1.307323226832306062e+00 8.626190969400937547e-02 5.969933354496532729e-01 -1.754375078637870899e-02 1.647288801588885931e+01 1.646143167696023824e+01 1.644939620370238131e+01 1.643678548903539749e+01
1.499435607557117223e+01 1.992942840864531036e+02 -9.887678168235147780e-02 1.140691410722190824e+00 5.098539454097306134e-02 9.120683457354132884e-01 1.625335978492862310e+01 1.607677254621294338e+01 1.629046110765900934e+01 1.611508634551370278e+01
1.501438979086964487e+01 1.994652102652078440e+02 -9.323623208785747352e-02 1.224056554444231892e+00 -7.819081536474392635e-02 7.927483089296298857e-01 1.634551815561081511e+01 1.616991569015152308e+01 1.637211233363878904e+01 1.619322922302447409e+01
1.504764718011920976e+01 1.006311514264270954e+02 1.250303550637369199e+00 1.332183894858296469e-02 7.615718754279221514e-01 1.345619554666139805e-01 1.626966190282709590e+01 1.622614122875590681e+01 1.618082772218466303e+01 1.613384111136293342e+01
1.506498353973785775e+01 1.972950490664090921e+02 -1.728481340302501224e-02 1.185148097652390931e+00 -1.003875656312640530e-01 1.055280538339328444e+00 1.635812163540225583e+01 1.638764125700464902e+01 1.651054324811447316e+01 1.650269853580062218e+01
1.510856462273356904e+01 1.977508235757480577e+02 -8.738083780985306248e-02 1.233021957435147087e+00 -3.536622203970374301e-02 8.914009281922794514e-01 1.649067639928212614e+01 1.636630290483823913e+01 1.659366870373789737e+01 1.645137931735014902e+01
1.504397981540700258e+01 9.982439465752995034e+01 1.246649886848187450e+00 1.379491022122341093e-01 9.048255892364025499e-01 8.702095616519400778e-02 1.644039333165560990e+01 1.645198601239365033e+01 1.646335476286973076e+01 1.647449755199874133e+01
1.501747873374977615e+01 1.963566752547246779e+02 -1.078232070697495715e-01 1.050999678915683688e+00 -1.542491245823747192e-01 1.068575350245415834e+00 1.630226536672042670e+01 1.616190740740373855e+01 1.650402365547731165e+01 1.629615411045461926e+01
