weight logl m0 p a1 a2 b1 b2 m_100 m_200 m_300 m_400
0.000000000000000000e+00 -2.900327639350254321e+04 1.796710775007036176e+01 1.695507392459982725e+02 5.760066663512295904e+00 -8.515821995028225899e+00 -9.629520012865251388e+00 -6.315272139810479857e+00 8.895907649092588798e+00 1.223806171394850395e+01 3.801250407028526013e+01 1.474025564497892127e+01
0.000000000000000000e+00 -2.821727375905855297e+04 1.975575613692749499e+01 1.015700922581939949e+02 9.197501959930228566e+00 -1.865154756410909442e+00 9.996735764920732237e+00 4.609879499888014820e+00 2.522054428338458720e+01 2.337814746880542671e+01 2.159949171255734157e+01 1.991887289948732587e+01
0.000000000000000000e+00 -2.821597036647966888e+04 1.144445182767917224e+01 1.222752851159171144e+02 -9.707679016565290198e+00 -9.444730319764715887e-01 -7.202002498601616232e+00 8.588988262604839719e+00 8.144989301139727189e+00 3.189431238016144476e+01 1.313765639200113533e+01 4.241120100804476323e+00
0.000000000000000000e+00 -2.820811746141270851e+04 1.019501020222114995e+01 8.030947433181731299e+01 -4.285595591077497879e+00 -9.801614200942141863e+00 2.179973600463672057e+00 6.078660953042252402e+00 2.239568539243523304e+01 4.140658284844311865e+00 1.915083288025546437e+01 -5.295647753399046920e+00
0.000000000000000000e+00 -2.799795495032538020e+04 1.116523798558917946e+01 1.755053919296009042e+02 8.898417671921038163e+00 7.853221718690004849e+00 -5.883247897191196785e+00 -9.927947593014012639e+00 2.996232850168849993e+00 1.141531834514559307e+00 2.904975958871556685e+00 -1.842239843330339966e-02
0.000000000000000000e+00 -2.753350613058661111e+04 1.062269235989004201e+01 1.687322442374151592e+02 2.825525534572275177e-01 1.340398433196396510e+00 9.308270414078418042e+00 8.081868618508128321e+00 1.322200728979422202e+01 2.423276739859973361e+01 -2.533355590448355343e+00 9.045671072923026301e+00
0.000000000000000000e+00 -2.753096072812943748e+04 1.277223303932755627e+01 1.409811473779370488e+02 -8.247265199940761349e+00 8.021443988464231012e+00 -4.037872083746416152e+00 9.681343106374324492e+00 1.650547984640348886e+01 1.390768790118174891e+01 1.351989212022904496e+01 -3.563277462373513060e-01
0.000000000000000000e+00 -2.719479235344235713e+04 1.238364837689569242e+01 1.006630383708550198e+02 -4.584302601644345998e+00 -7.071318173861880219e+00 9.363834314316804353e+00 8.626871398245661737e+00 -3.444947058869960443e-01 -1.355373404784515401e+00 -2.299612269612323345e+00 -3.172624387041411254e+00
0.000000000000000000e+00 -2.717713187522667067e+04 1.813107680679789269e+01 1.282423762551687219e+02 -7.809402883580220944e+00 4.169115971825750222e+00 3.928942268862233078e+00 9.707515476116611808e+00 5.389703545279637353e+00 3.362450376129987717e+01 1.505836578502778700e+01 2.507105223623103640e+01
0.000000000000000000e+00 -2.677080815605099633e+04 1.189101333676418193e+01 1.208578256772993171e+02 -3.233828997657486326e+00 5.073428941473647313e+00 5.791301142091908716e+00 -8.305516865590242048e+00 9.268292127078121112e+00 -6.616107103322867999e-01 2.253362174257857475e+01 2.041237153376225422e+01
0.000000000000000000e+00 -2.664015376966536132e+04 1.738368751571210780e+01 1.998895326438522204e+02 4.348954022608415571e+00 -8.344931161088899430e+00 9.807585741233513232e+00 -5.922500742313470568e+00 4.652266539742671014e+00 1.338081102881660556e+01 4.577537325778031629e+00 1.337426327315103336e+01
0.000000000000000000e+00 -2.659694107646212797e+04 1.260940208204882929e+01 1.953374469649105549e+02 8.281061847122842323e+00 -4.834634631213732270e+00 4.205031155615408522e-01 -9.052411659856982595e+00 -1.812805528894779528e+00 1.356682762925938057e+01 -3.847161201672482989e+00 1.154387976990783571e+01
